flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2864.0,2819.0,2915.0,3147.0,3054.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2860.0,2829.0,2909.0,3151.0,3053.0,0.829346,-0.115967,-0.546509,0.0047,-1.0,1.0,2.0,7736.0,-1565.0,-684.0,318.0,52.0,-3761.0,3547.0,-610.0,-1135.0,0.905399,-0.19749,0.375716,15446.0,-3238.0,-1214.0,-17.0,32.0,47.0
2863.0,2815.0,2903.0,3155.0,3043.0,0.827576,-0.116882,-0.549011,0.005005,0.0,1.0,1.0,7727.0,-1647.0,-678.0,292.0,-17.0,-3707.0,3486.0,-673.0,-1102.0,0.907527,-0.198953,0.369832,15490.0,-3516.0,-1302.0,3.0,24.0,39.0
2863.0,2829.0,2899.0,3155.0,3027.0,0.826721,-0.117249,-0.550171,0.005188,0.0,1.0,1.0,7737.0,-1665.0,-663.0,294.0,-30.0,-3669.0,3454.0,-679.0,-1073.0,0.908459,-0.199572,0.36706,15520.0,-3426.0,-1238.0,16.0,28.0,35.0
2869.0,2815.0,2899.0,3139.0,3059.0,0.825012,-0.11792,-0.552612,0.005432,-1.0,1.0,1.0,7735.0,-1691.0,-641.0,275.0,-47.0,-3601.0,3389.0,-686.0,-1041.0,0.910543,-0.200574,0.361389,15476.0,-3532.0,-1200.0,0.0,27.0,27.0
2864.0,2822.0,2897.0,3157.0,3055.0,0.824219,-0.118286,-0.553772,0.005554,0.0,1.0,1.0,7728.0,-1732.0,-633.0,260.0,-84.0,-3571.0,3354.0,-719.0,-1027.0,0.911545,-0.201139,0.358712,15422.0,-3696.0,-1238.0,4.0,26.0,25.0
2867.0,2826.0,2897.0,3153.0,3047.0,0.82251,-0.118958,-0.556152,0.00592,0.0,0.0,1.0,7711.0,-1746.0,-609.0,227.0,-88.0,-3501.0,3283.0,-715.0,-1011.0,0.913473,-0.202273,0.353101,15484.0,-3456.0,-1140.0,14.0,10.0,23.0
2869.0,2826.0,2911.0,3147.0,3059.0,0.821594,-0.119263,-0.557373,0.005981,0.0,0.0,0.0,7737.0,-1737.0,-609.0,245.0,-76.0,-3477.0,3272.0,-697.0,-978.0,0.914442,-0.202639,0.350165,15638.0,-3416.0,-1232.0,9.0,15.0,17.0
2861.0,2807.0,2902.0,3163.0,3039.0,0.819946,-0.119873,-0.559753,0.006104,0.0,1.0,0.0,7741.0,-1738.0,-627.0,233.0,-71.0,-3450.0,3250.0,-689.0,-961.0,0.916472,-0.203412,0.344656,15404.0,-3466.0,-1372.0,2.0,23.0,13.0
2877.0,2821.0,2905.0,3147.0,3057.0,0.819092,-0.120178,-0.560913,0.006165,0.0,0.0,0.0,7738.0,-1740.0,-640.0,222.0,-70.0,-3440.0,3239.0,-689.0,-958.0,0.917397,-0.20379,0.341883,15476.0,-3518.0,-1352.0,3.0,20.0,8.0
2871.0,2823.0,2895.0,3166.0,3047.0,0.817383,-0.120728,-0.563293,0.006165,0.0,0.0,0.0,7731.0,-1723.0,-643.0,199.0,-49.0,-3397.0,3199.0,-665.0,-949.0,0.919364,-0.204306,0.336278,15424.0,-3346.0,-1306.0,2.0,19.0,7.0
2862.0,2822.0,2918.0,3167.0,3035.0,0.816528,-0.121033,-0.564453,0.006165,-1.0,0.0,0.0,7722.0,-1701.0,-638.0,182.0,-24.0,-3370.0,3174.0,-639.0,-951.0,0.920292,-0.204612,0.3335,15424.0,-3262.0,-1238.0,-12.0,15.0,9.0
2867.0,2827.0,2893.0,3135.0,3055.0,0.814758,-0.121826,-0.566833,0.006104,-2.0,0.0,0.0,7731.0,-1701.0,-645.0,176.0,-18.0,-3329.0,3140.0,-629.0,-925.0,0.922177,-0.205437,0.327727,15518.0,-3394.0,-1318.0,-28.0,3.0,16.0
2865.0,2823.0,2896.0,3155.0,3057.0,0.813843,-0.122192,-0.568054,0.006104,-2.0,0.0,0.0,7737.0,-1692.0,-648.0,174.0,-5.0,-3308.0,3124.0,-613.0,-912.0,0.923122,-0.205825,0.324761,15516.0,-3308.0,-1332.0,-26.0,4.0,19.0
2864.0,2823.0,2915.0,3151.0,3039.0,0.812073,-0.122986,-0.570374,0.00592,-2.0,0.0,0.0,7756.0,-1667.0,-664.0,179.0,24.0,-3277.0,3106.0,-582.0,-884.0,0.924913,-0.206501,0.319046,15538.0,-3246.0,-1438.0,-29.0,12.0,8.0
2863.0,2818.0,2911.0,3152.0,3055.0,0.811218,-0.123352,-0.571533,0.005859,-2.0,0.0,0.0,7749.0,-1643.0,-671.0,164.0,51.0,-3261.0,3092.0,-556.0,-889.0,0.925831,-0.206829,0.316243,15436.0,-3116.0,-1368.0,-35.0,13.0,11.0
2877.0,2821.0,2903.0,3163.0,3055.0,0.809448,-0.124329,-0.573853,0.005554,-3.0,0.0,0.0,7727.0,-1599.0,-681.0,127.0,102.0,-3224.0,3056.0,-510.0,-904.0,0.927627,-0.20765,0.310473,15360.0,-3118.0,-1404.0,-62.0,2.0,20.0
