flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2908.0,2767.0,2858.0,3099.0,2999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2909.0,2769.0,2847.0,3089.0,2997.0,0.850464,-0.109863,-0.514404,-0.001282,-2.0,-3.0,-1.0,7744.0,-1683.0,486.0,573.0,-162.0,-3172.0,3025.0,-691.0,-885.0,0.875246,-0.185551,0.446609,15422.0,-3474.0,704.0,-40.0,-57.0,-7.0
2899.0,2768.0,2835.0,3071.0,2989.0,0.848572,-0.110657,-0.517395,-0.001526,-2.0,-2.0,-1.0,7727.0,-1669.0,394.0,530.0,-143.0,-3211.0,3047.0,-688.0,-921.0,0.878431,-0.186221,0.440134,15436.0,-3260.0,512.0,-36.0,-39.0,-22.0
2915.0,2775.0,2859.0,3088.0,2999.0,0.847656,-0.111023,-0.51886,-0.001709,-2.0,-2.0,-2.0,7732.0,-1653.0,358.0,522.0,-125.0,-3221.0,3058.0,-675.0,-924.0,0.880009,-0.186445,0.436982,15494.0,-3226.0,528.0,-36.0,-27.0,-25.0
2910.0,2773.0,2847.0,3095.0,2992.0,0.845886,-0.111633,-0.521484,-0.002075,-1.0,-1.0,-2.0,7746.0,-1650.0,321.0,514.0,-120.0,-3210.0,3050.0,-672.0,-907.0,0.882696,-0.186694,0.43112,15526.0,-3298.0,576.0,-12.0,-2.0,-28.0
2907.0,2770.0,2843.0,3095.0,2995.0,0.84436,-0.111938,-0.523926,-0.00238,0.0,0.0,-2.0,7757.0,-1590.0,340.0,504.0,-61.0,-3149.0,3004.0,-605.0,-883.0,0.885297,-0.186539,0.425922,15562.0,-3056.0,784.0,1.0,11.0,-26.0
2915.0,2768.0,2845.0,3091.0,2997.0,0.843628,-0.112061,-0.525085,-0.002502,0.0,0.0,-1.0,7753.0,-1584.0,360.0,490.0,-56.0,-3108.0,2964.0,-594.0,-871.0,0.886514,-0.186447,0.423442,15484.0,-3158.0,822.0,1.0,10.0,-17.0
2903.0,2771.0,2846.0,3071.0,2993.0,0.842163,-0.112366,-0.527405,-0.002502,1.0,-1.0,-1.0,7730.0,-1571.0,390.0,448.0,-42.0,-3038.0,2890.0,-572.0,-865.0,0.888884,-0.186621,0.418463,15372.0,-3130.0,858.0,24.0,-10.0,-5.0
2915.0,2769.0,2841.0,3087.0,2997.0,0.84137,-0.112427,-0.528625,-0.002441,1.0,-2.0,-1.0,7730.0,-1567.0,399.0,438.0,-38.0,-3007.0,2861.0,-563.0,-853.0,0.890088,-0.186604,0.415824,15472.0,-3106.0,818.0,30.0,-24.0,-3.0
2910.0,2779.0,2847.0,3091.0,2973.0,0.839783,-0.11261,-0.531128,-0.002319,0.0,-1.0,0.0,7778.0,-1547.0,404.0,465.0,-17.0,-2958.0,2837.0,-529.0,-795.0,0.892586,-0.186672,0.410462,15730.0,-2946.0,790.0,20.0,-10.0,5.0
2917.0,2769.0,2855.0,3071.0,2995.0,0.83905,-0.112793,-0.532227,-0.002319,0.0,0.0,0.0,7779.0,-1533.0,387.0,458.0,-2.0,-2955.0,2835.0,-515.0,-796.0,0.893653,-0.186809,0.408023,15512.0,-3036.0,628.0,8.0,17.0,7.0
2911.0,2771.0,2847.0,3089.0,2995.0,0.837708,-0.113281,-0.534302,-0.002197,0.0,1.0,0.0,7704.0,-1555.0,325.0,366.0,-19.0,-2980.0,2820.0,-548.0,-870.0,0.895675,-0.187445,0.403448,15206.0,-3090.0,562.0,8.0,25.0,19.0
2907.0,2769.0,2750.0,3089.0,2994.0,0.836975,-0.113525,-0.535278,-0.002075,0.0,0.0,1.0,7700.0,-1545.0,320.0,355.0,-6.0,-2965.0,2806.0,-533.0,-869.0,0.8965,-0.187814,0.401121,15454.0,-3006.0,640.0,11.0,19.0,27.0
2911.0,2771.0,2855.0,3088.0,2994.0,0.835632,-0.114014,-0.537292,-0.00177,0.0,1.0,1.0,7736.0,-1568.0,327.0,376.0,-22.0,-2921.0,2777.0,-538.0,-816.0,0.898362,-0.188645,0.396602,15474.0,-3354.0,698.0,18.0,31.0,40.0
2911.0,2769.0,2844.0,3089.0,2993.0,0.835022,-0.114319,-0.538269,-0.001343,1.0,0.0,3.0,7709.0,-1616.0,324.0,342.0,-63.0,-2907.0,2748.0,-579.0,-827.0,0.89924,-0.189472,0.394461,15290.0,-3442.0,672.0,45.0,14.0,87.0
2899.0,2767.0,2839.0,3071.0,2989.0,0.833679,-0.11499,-0.5401,-0.000183,-1.0,0.0,5.0,7746.0,-1419.0,436.0,368.0,150.0,-2759.0,2656.0,-337.0,-773.0,0.900583,-0.191532,0.39009,15636.0,-2378.0,1178.0,-14.0,12.0,120.0
2911.0,2769.0,2847.0,3088.0,2993.0,0.833069,-0.11554,-0.540955,0.0,-2.0,1.0,3.0,7767.0,-1440.0,453.0,383.0,136.0,-2725.0,2631.0,-344.0,-738.0,0.901305,-0.192505,0.388022,15640.0,-3210.0,962.0,-45.0,25.0,90.0
2913.0,2771.0,2854.0,3093.0,2995.0,0.831848,-0.11615,-0.542664,0.000732,3.0,1.0,2.0,7758.0,-1560.0,446.0,363.0,29.0,-2699.0,2589.0,-444.0,-714.0,0.902657,-0.194033,0.383997,15444.0,-3186.0,888.0,74.0,34.0,54.0
2905.0,2769.0,2850.0,3088.0,2987.0,0.83136,-0.116089,-0.543518,0.00116,3.0,1.0,2.0,7739.0,-1540.0,444.0,337.0,51.0,-2687.0,2573.0,-422.0,-732.0,0.903449,-0.194284,0.382272,15302.0,-2950.0,846.0,91.0,34.0,47.0
2914.0,2775.0,2851.0,3087.0,2997.0,0.830139,-0.116272,-0.545288,0.001831,0.0,0.0,2.0,7685.0,-1539.0,411.0,272.0,58.0,-2687.0,2551.0,-421.0,-781.0,0.904904,-0.195041,0.378276,15262.0,-3262.0,696.0,21.0,10.0,61.0
2913.0,2775.0,2847.0,3118.0,2995.0,0.829468,-0.116577,-0.546204,0.002136,0.0,0.0,2.0,7686.0,-1585.0,403.0,267.0,18.0,-2677.0,2536.0,-459.0,-768.0,0.905619,-0.195728,0.376093,15394.0,-3444.0,772.0,16.0,10.0,64.0
2913.0,2771.0,2851.0,3089.0,2994.0,0.828308,-0.117126,-0.547913,0.002869,1.0,1.0,2.0,7719.0,-1647.0,437.0,288.0,-31.0,-2611.0,2482.0,-490.0,-704.0,0.907009,-0.197177,0.372176,15552.0,-3392.0,1054.0,39.0,36.0,60.0
2911.0,2768.0,2851.0,3071.0,2989.0,0.827759,-0.117371,-0.548645,0.003174,1.0,2.0,2.0,7737.0,-1652.0,475.0,302.0,-31.0,-2559.0,2442.0,-477.0,-667.0,0.907546,-0.197792,0.370407,15598.0,-3332.0,1224.0,38.0,46.0,61.0
2915.0,2770.0,2851.0,3088.0,2993.0,0.826843,-0.117981,-0.549927,0.003845,0.0,2.0,3.0,7733.0,-1688.0,531.0,290.0,-55.0,-2478.0,2363.0,-486.0,-635.0,0.908499,-0.199333,0.367346,15380.0,-3576.0,1182.0,11.0,54.0,72.0
2909.0,2771.0,2846.0,3087.0,2993.0,0.826355,-0.118347,-0.550537,0.004211,0.0,2.0,3.0,7702.0,-1721.0,540.0,256.0,-80.0,-2456.0,2328.0,-511.0,-649.0,0.908881,-0.200231,0.365783,15182.0,-3610.0,1134.0,18.0,47.0,74.0
2911.0,2769.0,2851.0,3091.0,2995.0,0.825256,-0.119141,-0.552002,0.004944,0.0,0.0,2.0,7648.0,-1778.0,540.0,194.0,-122.0,-2426.0,2273.0,-555.0,-677.0,0.909908,-0.202101,0.362172,15358.0,-3672.0,1066.0,10.0,6.0,61.0
2911.0,2769.0,2854.0,3091.0,2999.0,0.824585,-0.119568,-0.552856,0.005188,-1.0,-1.0,2.0,7682.0,-1797.0,537.0,223.0,-134.0,-2412.0,2272.0,-560.0,-638.0,0.910514,-0.202924,0.360021,15584.0,-3678.0,1062.0,-5.0,-2.0,52.0
2910.0,2773.0,2847.0,3071.0,2983.0,0.823242,-0.120422,-0.554688,0.005432,-2.0,-1.0,1.0,7749.0,-1826.0,515.0,278.0,-152.0,-2397.0,2280.0,-568.0,-567.0,0.911976,-0.2043,0.355577,15646.0,-3820.0,952.0,-25.0,-2.0,26.0
2907.0,2774.0,2823.0,3090.0,2997.0,0.822632,-0.120789,-0.555603,0.005493,-1.0,-1.0,0.0,7763.0,-1838.0,504.0,285.0,-160.0,-2391.0,2277.0,-575.0,-552.0,0.912786,-0.204833,0.353469,15602.0,-3690.0,926.0,-10.0,-1.0,10.0
2909.0,2775.0,2854.0,3090.0,2993.0,0.82135,-0.121216,-0.557373,0.005432,-1.0,0.0,-1.0,7775.0,-1818.0,501.0,285.0,-137.0,-2360.0,2254.0,-547.0,-535.0,0.91428,-0.205177,0.349288,15520.0,-3586.0,1004.0,-4.0,6.0,-18.0
2911.0,2771.0,2879.0,3087.0,2989.0,0.82074,-0.121399,-0.558228,0.005371,0.0,0.0,-2.0,7754.0,-1819.0,502.0,258.0,-137.0,-2342.0,2228.0,-548.0,-549.0,0.915015,-0.20527,0.347287,15354.0,-3646.0,1006.0,5.0,9.0,-23.0
2911.0,2749.0,2843.0,3093.0,2998.0,0.819519,-0.121582,-0.559998,0.005188,0.0,-1.0,-2.0,7701.0,-1771.0,513.0,192.0,-90.0,-2298.0,2172.0,-504.0,-594.0,0.916596,-0.205088,0.343259,15348.0,-3366.0,1036.0,1.0,-9.0,-27.0
2911.0,2775.0,2853.0,3091.0,3003.0,0.818909,-0.121704,-0.560913,0.005066,-1.0,-1.0,-2.0,7697.0,-1758.0,523.0,181.0,-78.0,-2272.0,2147.0,-489.0,-593.0,0.91744,-0.205012,0.341202,15390.0,-3420.0,1084.0,-8.0,-12.0,-32.0
2919.0,2778.0,2846.0,3089.0,2995.0,0.817627,-0.121887,-0.562744,0.004761,-1.0,-1.0,-2.0,7681.0,-1725.0,529.0,151.0,-48.0,-2231.0,2104.0,-457.0,-603.0,0.919069,-0.204675,0.336999,15300.0,-3296.0,1058.0,0.0,-19.0,-33.0
2907.0,2768.0,2847.0,3093.0,2997.0,0.816956,-0.121948,-0.56366,0.004578,-1.0,-2.0,-2.0,7687.0,-1706.0,529.0,151.0,-31.0,-2214.0,2092.0,-437.0,-596.0,0.919853,-0.204413,0.334854,15432.0,-3302.0,1084.0,-7.0,-27.0,-27.0
2907.0,2768.0,2845.0,3089.0,2999.0,0.815552,-0.122253,-0.565613,0.004395,-1.0,-2.0,-1.0,7711.0,-1683.0,530.0,162.0,-8.0,-2175.0,2066.0,-407.0,-567.0,0.921499,-0.204379,0.33028,15480.0,-3364.0,1032.0,-11.0,-33.0,-4.0
2918.0,2769.0,2849.0,3089.0,2995.0,0.81488,-0.122498,-0.566528,0.004395,-1.0,-2.0,0.0,7730.0,-1686.0,523.0,175.0,-9.0,-2164.0,2061.0,-404.0,-546.0,0.922229,-0.204621,0.328089,15602.0,-3390.0,1036.0,-8.0,-30.0,4.0
2903.0,2763.0,2861.0,3087.0,2994.0,0.813538,-0.122925,-0.568359,0.004578,0.0,-1.0,0.0,7721.0,-1738.0,484.0,154.0,-56.0,-2167.0,2053.0,-453.0,-547.0,0.923638,-0.205211,0.323721,15354.0,-3602.0,856.0,6.0,-17.0,14.0
