flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2865.0,2814.0,2894.0,3139.0,3037.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2867.0,2813.0,2897.0,3147.0,3030.0,0.87793,-0.146973,-0.455688,-0.003235,-1.0,0.0,0.0,7379.0,-2259.0,1858.0,816.0,-169.0,-2578.0,2513.0,-729.0,-699.0,0.801076,-0.255115,0.541518,14694.0,-4478.0,3614.0,-2.0,6.0,4.0
2871.0,2807.0,2896.0,3143.0,3037.0,0.876709,-0.147644,-0.457825,-0.003235,-1.0,-1.0,0.0,7347.0,-2281.0,1835.0,762.0,-184.0,-2565.0,2473.0,-748.0,-718.0,0.803713,-0.25592,0.537227,14616.0,-4630.0,3558.0,-5.0,-18.0,3.0
2871.0,2811.0,2894.0,3143.0,3031.0,0.876038,-0.14801,-0.458984,-0.003174,0.0,-2.0,0.0,7344.0,-2302.0,1828.0,748.0,-201.0,-2553.0,2455.0,-764.0,-711.0,0.805115,-0.256412,0.534878,14664.0,-4702.0,3578.0,5.0,-27.0,6.0
2871.0,2811.0,2899.0,3143.0,3027.0,0.874695,-0.148499,-0.461304,-0.002991,0.0,-2.0,0.0,7347.0,-2293.0,1813.0,728.0,-187.0,-2530.0,2430.0,-747.0,-705.0,0.807888,-0.257023,0.530247,14718.0,-4496.0,3594.0,16.0,-34.0,4.0
2873.0,2807.0,2894.0,3143.0,3035.0,0.874023,-0.148743,-0.462463,-0.002991,0.0,-2.0,0.0,7353.0,-2277.0,1812.0,723.0,-169.0,-2512.0,2418.0,-725.0,-697.0,0.809297,-0.257243,0.527929,14732.0,-4472.0,3592.0,8.0,-33.0,3.0
2870.0,2813.0,2903.0,3141.0,3025.0,0.872742,-0.149414,-0.464783,-0.00293,-1.0,-1.0,0.0,7371.0,-2286.0,1777.0,717.0,-171.0,-2510.0,2416.0,-728.0,-687.0,0.812146,-0.258076,0.523339,14770.0,-4634.0,3434.0,-8.0,-17.0,5.0
2871.0,2807.0,2897.0,3143.0,3029.0,0.87207,-0.14978,-0.465881,-0.00293,-1.0,-1.0,0.0,7367.0,-2293.0,1768.0,703.0,-175.0,-2500.0,2401.0,-732.0,-685.0,0.81344,-0.258508,0.521036,14696.0,-4626.0,3490.0,-4.0,-12.0,3.0
2873.0,2812.0,2896.0,3139.0,3031.0,0.87085,-0.150452,-0.467957,-0.002991,-1.0,-1.0,-1.0,7368.0,-2313.0,1740.0,683.0,-189.0,-2493.0,2385.0,-748.0,-682.0,0.815939,-0.259242,0.516769,14786.0,-4736.0,3462.0,-6.0,-7.0,-4.0
2873.0,2814.0,2895.0,3143.0,3031.0,0.870239,-0.150818,-0.468933,-0.002991,-1.0,0.0,0.0,7370.0,-2319.0,1736.0,676.0,-191.0,-2480.0,2372.0,-748.0,-674.0,0.81707,-0.25969,0.514681,14746.0,-4660.0,3470.0,-8.0,2.0,0.0
2871.0,2814.0,2895.0,3141.0,3031.0,0.86908,-0.15155,-0.470886,-0.003113,-1.0,0.0,-1.0,7365.0,-2312.0,1737.0,652.0,-178.0,-2445.0,2335.0,-731.0,-667.0,0.819419,-0.260487,0.510608,14710.0,-4598.0,3498.0,-18.0,5.0,-6.0
2869.0,2806.0,2895.0,3143.0,3031.0,0.868469,-0.151917,-0.471802,-0.003174,-2.0,0.0,-1.0,7360.0,-2323.0,1745.0,638.0,-185.0,-2421.0,2308.0,-734.0,-659.0,0.820455,-0.260875,0.508573,14700.0,-4738.0,3572.0,-23.0,2.0,-7.0
2869.0,2811.0,2895.0,3139.0,3037.0,0.867371,-0.152649,-0.473694,-0.003296,-1.0,0.0,-1.0,7369.0,-2355.0,1764.0,629.0,-211.0,-2370.0,2260.0,-748.0,-623.0,0.822742,-0.261684,0.504655,14740.0,-4762.0,3530.0,-7.0,4.0,-7.0
2874.0,2811.0,2895.0,3141.0,3031.0,0.866821,-0.152954,-0.474609,-0.003357,0.0,0.0,-1.0,7363.0,-2346.0,1768.0,614.0,-199.0,-2350.0,2238.0,-734.0,-623.0,0.82383,-0.261981,0.502741,14704.0,-4600.0,3548.0,2.0,1.0,-5.0
2874.0,2815.0,2897.0,3147.0,3039.0,0.865601,-0.153503,-0.476562,-0.003357,-1.0,-1.0,-1.0,7346.0,-2310.0,1770.0,578.0,-159.0,-2314.0,2197.0,-692.0,-634.0,0.826056,-0.262546,0.4986,14686.0,-4570.0,3550.0,-9.0,-18.0,-1.0
2870.0,2805.0,2893.0,3147.0,3031.0,0.86499,-0.153809,-0.477539,-0.003418,-1.0,-2.0,-1.0,7352.0,-2293.0,1781.0,575.0,-139.0,-2286.0,2177.0,-667.0,-622.0,0.827185,-0.262821,0.496519,14716.0,-4452.0,3706.0,-12.0,-24.0,-2.0
