flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2875.0,2767.0,2906.0,3151.0,3043.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2878.0,2765.0,2891.0,3153.0,3039.0,0.879761,0.03302,-0.474243,-0.000244,-1.0,0.0,0.0,7659.0,576.0,1809.0,823.0,98.0,-2680.0,2686.0,226.0,-776.0,0.834425,0.058331,0.547982,15304.0,1140.0,3628.0,-4.0,20.0,5.0
2865.0,2766.0,2899.0,3151.0,3045.0,0.878601,0.033203,-0.476318,-0.000122,0.0,0.0,0.0,7637.0,573.0,1815.0,780.0,94.0,-2641.0,2633.0,222.0,-778.0,0.83698,0.058461,0.543958,15226.0,1206.0,3664.0,7.0,14.0,9.0
2877.0,2769.0,2897.0,3143.0,3047.0,0.878052,0.033325,-0.477356,-0.000122,0.0,0.0,0.0,7636.0,581.0,1838.0,768.0,100.0,-2602.0,2596.0,227.0,-760.0,0.838278,0.058639,0.541996,15272.0,1216.0,3812.0,10.0,10.0,9.0
2877.0,2763.0,2906.0,3135.0,3025.0,0.876953,0.033508,-0.479431,0.0,-1.0,0.0,0.0,7623.0,588.0,1862.0,734.0,106.0,-2545.0,2533.0,231.0,-745.0,0.840877,0.05877,0.53807,15186.0,1164.0,3772.0,-3.0,4.0,11.0
2875.0,2767.0,2896.0,3151.0,3039.0,0.876343,0.033569,-0.480469,0.0,-1.0,-1.0,0.0,7621.0,578.0,1877.0,722.0,96.0,-2513.0,2501.0,220.0,-733.0,0.842111,0.058836,0.536,15242.0,1080.0,3844.0,-7.0,-1.0,10.0
2879.0,2771.0,2896.0,3153.0,3031.0,0.875183,0.033569,-0.482605,6.1e-05,-1.0,-1.0,0.0,7602.0,543.0,1874.0,681.0,62.0,-2483.0,2459.0,185.0,-741.0,0.84474,0.0587,0.531911,15140.0,988.0,3718.0,-3.0,-11.0,8.0
2869.0,2768.0,2909.0,3151.0,3031.0,0.874573,0.03363,-0.483704,0.000122,0.0,-1.0,0.0,7608.0,529.0,1873.0,676.0,48.0,-2466.0,2444.0,171.0,-731.0,0.846076,0.058706,0.529777,15302.0,996.0,3774.0,10.0,-18.0,5.0
2875.0,2764.0,2907.0,3143.0,3031.0,0.873413,0.033936,-0.48584,0.000244,0.0,-1.0,0.0,7636.0,549.0,1873.0,683.0,65.0,-2433.0,2423.0,187.0,-695.0,0.848694,0.059042,0.525658,15324.0,1236.0,3754.0,19.0,-2.0,2.0
2871.0,2768.0,2915.0,3152.0,3035.0,0.872803,0.034058,-0.486816,0.000244,0.0,0.0,0.0,7630.0,565.0,1868.0,668.0,79.0,-2421.0,2405.0,201.0,-695.0,0.849806,0.059213,0.523635,15188.0,1224.0,3658.0,5.0,2.0,3.0
2880.0,2763.0,2896.0,3150.0,3027.0,0.871704,0.034241,-0.488831,0.000244,-1.0,-1.0,0.0,7602.0,567.0,1854.0,620.0,79.0,-2403.0,2368.0,202.0,-715.0,0.852248,0.059457,0.51974,15182.0,1116.0,3656.0,-1.0,-10.0,6.0
2882.0,2759.0,2899.0,3152.0,3037.0,0.871094,0.034302,-0.489868,0.000305,0.0,-1.0,0.0,7601.0,566.0,1849.0,609.0,78.0,-2391.0,2354.0,201.0,-713.0,0.853463,0.059461,0.517657,15196.0,1146.0,3694.0,2.0,-13.0,4.0
2875.0,2763.0,2887.0,3135.0,3039.0,0.869934,0.034424,-0.492004,0.000305,-1.0,-1.0,0.0,7612.0,557.0,1835.0,599.0,68.0,-2371.0,2336.0,190.0,-700.0,0.856044,0.059593,0.513532,15256.0,1028.0,3620.0,-5.0,-16.0,4.0
2871.0,2763.0,2907.0,3151.0,3035.0,0.869324,0.034485,-0.493042,0.000305,0.0,-1.0,0.0,7624.0,545.0,1819.0,601.0,56.0,-2370.0,2338.0,178.0,-693.0,0.857247,0.059656,0.511444,15312.0,1038.0,3528.0,3.0,-11.0,4.0
2879.0,2763.0,2901.0,3147.0,3035.0,0.868164,0.034729,-0.495056,0.000366,0.0,-1.0,0.0,7626.0,555.0,1793.0,584.0,63.0,-2363.0,2326.0,186.0,-693.0,0.859605,0.059938,0.507422,15254.0,1232.0,3488.0,12.0,0.0,1.0
2883.0,2767.0,2909.0,3149.0,3051.0,0.867615,0.034851,-0.496033,0.000366,-1.0,0.0,0.0,7630.0,574.0,1786.0,578.0,81.0,-2354.0,2316.0,204.0,-687.0,0.860756,0.060111,0.505492,15270.0,1262.0,3590.0,0.0,5.0,3.0
2877.0,2771.0,2903.0,3151.0,3015.0,0.866516,0.034912,-0.497864,0.000305,-1.0,0.0,0.0,7638.0,564.0,1767.0,569.0,70.0,-2343.0,2305.0,192.0,-680.0,0.862835,0.0602,0.501763,15284.0,1054.0,3472.0,-12.0,8.0,0.0
2870.0,2775.0,2907.0,3147.0,3031.0,0.866028,0.034912,-0.498779,0.000305,-1.0,0.0,0.0,7635.0,552.0,1766.0,557.0,59.0,-2330.0,2290.0,181.0,-680.0,0.863935,0.060165,0.500005,15234.0,1052.0,3514.0,-5.0,11.0,2.0
2869.0,2769.0,2898.0,3151.0,3031.0,0.864929,0.035034,-0.50061,0.000305,0.0,0.0,0.0,7635.0,560.0,1788.0,540.0,66.0,-2277.0,2238.0,185.0,-658.0,0.866006,0.060299,0.496265,15328.0,1140.0,3654.0,1.0,4.0,4.0
2877.0,2755.0,2897.0,3147.0,3015.0,0.864441,0.035156,-0.501465,0.000366,0.0,0.0,0.0,7638.0,570.0,1810.0,535.0,75.0,-2241.0,2206.0,193.0,-639.0,0.866999,0.060414,0.494555,15282.0,1228.0,3754.0,1.0,11.0,3.0
2883.0,2769.0,2897.0,3143.0,3025.0,0.863953,0.035217,-0.502319,0.000305,-1.0,0.0,0.0,7631.0,582.0,1821.0,520.0,86.0,-2216.0,2177.0,203.0,-635.0,0.867982,0.060546,0.492849,15216.0,1240.0,3696.0,-3.0,8.0,3.0
2879.0,2767.0,2911.0,3150.0,3039.0,0.862915,0.035339,-0.504028,0.000305,-1.0,0.0,0.0,7631.0,588.0,1836.0,504.0,90.0,-2172.0,2133.0,205.0,-618.0,0.869889,0.060682,0.489329,15270.0,1164.0,3704.0,-5.0,1.0,4.0
2867.0,2771.0,2903.0,3155.0,3023.0,0.862427,0.0354,-0.504944,0.000305,-1.0,0.0,0.0,7629.0,582.0,1836.0,493.0,84.0,-2158.0,2118.0,198.0,-617.0,0.870976,0.060752,0.487559,15246.0,1122.0,3662.0,0.0,1.0,5.0
2864.0,2769.0,2894.0,3151.0,3051.0,0.861389,0.035522,-0.506714,0.000366,0.0,-1.0,0.0,7619.0,581.0,1838.0,467.0,82.0,-2126.0,2080.0,196.0,-616.0,0.872982,0.060826,0.483971,15196.0,1170.0,3744.0,4.0,-9.0,6.0
2870.0,2769.0,2899.0,3155.0,3039.0,0.86084,0.035645,-0.507568,0.000366,-1.0,-1.0,0.0,7615.0,591.0,1838.0,456.0,91.0,-2111.0,2062.0,204.0,-613.0,0.873896,0.060997,0.482149,15208.0,1242.0,3654.0,0.0,-13.0,10.0
2879.0,2770.0,2902.0,3151.0,3030.0,0.859741,0.035645,-0.50946,0.000366,-1.0,-1.0,0.0,7632.0,570.0,1825.0,455.0,70.0,-2093.0,2049.0,182.0,-598.0,0.876034,0.060917,0.478335,15328.0,1006.0,3652.0,-9.0,-13.0,9.0
2864.0,2767.0,2910.0,3158.0,3035.0,0.859192,0.035645,-0.510315,0.000427,-1.0,-1.0,0.0,7636.0,557.0,1813.0,452.0,58.0,-2090.0,2047.0,170.0,-596.0,0.876947,0.060815,0.476519,15260.0,1054.0,3542.0,-1.0,-5.0,9.0
2871.0,2755.0,2909.0,3145.0,3031.0,0.858215,0.035767,-0.512085,0.000488,0.0,-1.0,0.0,7627.0,552.0,1814.0,426.0,53.0,-2061.0,2012.0,165.0,-597.0,0.878993,0.060891,0.473024,15266.0,1104.0,3654.0,6.0,-7.0,8.0
2882.0,2753.0,2909.0,3157.0,3047.0,0.857666,0.035828,-0.512939,0.000549,0.0,-1.0,0.0,7633.0,556.0,1805.0,424.0,57.0,-2055.0,2006.0,169.0,-591.0,0.879901,0.060893,0.471201,15304.0,1126.0,3570.0,2.0,-2.0,7.0
2879.0,2774.0,2907.0,3157.0,3035.0,0.856689,0.03595,-0.514526,0.000549,-1.0,0.0,0.0,7631.0,569.0,1798.0,408.0,69.0,-2034.0,1982.0,180.0,-587.0,0.881618,0.06103,0.467887,15250.0,1134.0,3576.0,-12.0,6.0,5.0
2865.0,2768.0,2882.0,3127.0,3031.0,0.856201,0.035889,-0.51532,0.000488,-1.0,0.0,0.0,7628.0,554.0,1792.0,398.0,54.0,-2027.0,1973.0,165.0,-590.0,0.88247,0.060953,0.466238,15232.0,1034.0,3558.0,-11.0,6.0,4.0
2879.0,2757.0,2905.0,3134.0,3031.0,0.855286,0.036011,-0.516846,0.000549,0.0,0.0,0.0,7617.0,544.0,1800.0,374.0,44.0,-1993.0,1934.0,154.0,-589.0,0.884141,0.061031,0.463088,15196.0,1090.0,3644.0,4.0,6.0,5.0
2881.0,2774.0,2911.0,3147.0,3031.0,0.854858,0.036072,-0.517639,0.000549,0.0,0.0,0.0,7617.0,556.0,1805.0,366.0,55.0,-1975.0,1915.0,164.0,-584.0,0.885056,0.061104,0.461532,15240.0,1188.0,3654.0,3.0,2.0,7.0
2879.0,2767.0,2915.0,3151.0,3039.0,0.853882,0.036133,-0.519165,0.00061,-1.0,-1.0,0.0,7615.0,558.0,1825.0,351.0,57.0,-1929.0,1869.0,164.0,-569.0,0.886655,0.061073,0.458277,15176.0,1130.0,3702.0,-1.0,-1.0,7.0
2873.0,2759.0,2886.0,3135.0,3039.0,0.853394,0.036194,-0.519958,0.00061,-1.0,-1.0,0.0,7598.0,564.0,1828.0,327.0,63.0,-1912.0,1844.0,170.0,-578.0,0.887503,0.06114,0.456614,15108.0,1170.0,3684.0,-1.0,-19.0,5.0
2883.0,2768.0,2905.0,3142.0,3027.0,0.852356,0.036316,-0.521667,0.00061,-1.0,-2.0,0.0,7643.0,567.0,1868.0,357.0,65.0,-1843.0,1799.0,166.0,-513.0,0.889337,0.061271,0.453055,15488.0,1160.0,3846.0,-3.0,-23.0,1.0
