flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2923.0,2820.0,2909.0,3159.0,3051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2923.0,2819.0,2911.0,3159.0,3049.0,0.868225,-0.086121,-0.488647,-0.000427,-1.0,0.0,-1.0,7669.0,-1425.0,1244.0,717.0,-203.0,-2914.0,2829.0,-577.0,-840.0,0.848586,-0.149127,0.507622,15268.0,-3012.0,2336.0,-7.0,3.0,-8.0
2927.0,2823.0,2911.0,3155.0,3055.0,0.866882,-0.086426,-0.490906,-0.000427,1.0,1.0,-1.0,7702.0,-1415.0,1270.0,729.0,-190.0,-2850.0,2786.0,-554.0,-784.0,0.851189,-0.149422,0.503027,15584.0,-2626.0,2710.0,24.0,25.0,-20.0
2924.0,2821.0,2911.0,3152.0,3047.0,0.866394,-0.086426,-0.491821,-0.000549,0.0,2.0,-1.0,7711.0,-1363.0,1293.0,728.0,-140.0,-2813.0,2760.0,-499.0,-768.0,0.852317,-0.149217,0.501281,15432.0,-2420.0,2716.0,14.0,51.0,-21.0
2923.0,2822.0,2907.0,3153.0,3055.0,0.865356,-0.086731,-0.493591,-0.000793,-1.0,1.0,-1.0,7690.0,-1304.0,1340.0,690.0,-80.0,-2737.0,2684.0,-433.0,-760.0,0.854402,-0.149323,0.497688,15344.0,-2444.0,2816.0,-11.0,44.0,-9.0
2926.0,2821.0,2905.0,3153.0,3051.0,0.864807,-0.086914,-0.494507,-0.000916,-1.0,1.0,-1.0,7686.0,-1281.0,1363.0,678.0,-56.0,-2698.0,2648.0,-405.0,-749.0,0.855465,-0.149422,0.495801,15306.0,-2432.0,2814.0,-15.0,34.0,-5.0
2927.0,2821.0,2903.0,3155.0,3047.0,0.863586,-0.087463,-0.496582,-0.000977,-2.0,-1.0,1.0,7672.0,-1278.0,1395.0,644.0,-48.0,-2631.0,2578.0,-392.0,-733.0,0.857854,-0.150094,0.491539,15380.0,-2664.0,2844.0,-27.0,-11.0,23.0
2925.0,2819.0,2903.0,3158.0,3055.0,0.862854,-0.08783,-0.497681,-0.000916,-1.0,-1.0,1.0,7680.0,-1302.0,1405.0,642.0,-67.0,-2601.0,2551.0,-407.0,-710.0,0.859012,-0.150657,0.489118,15352.0,-2742.0,2856.0,-21.0,-22.0,26.0
2927.0,2815.0,2899.0,3167.0,3047.0,0.86145,-0.088501,-0.500061,-0.000793,-1.0,-2.0,0.0,7705.0,-1376.0,1397.0,645.0,-133.0,-2569.0,2523.0,-468.0,-667.0,0.861696,-0.151685,0.484204,15544.0,-3042.0,2776.0,-7.0,-29.0,13.0
2927.0,2815.0,2907.0,3163.0,3056.0,0.860779,-0.088745,-0.50116,-0.000671,0.0,-1.0,0.0,7707.0,-1414.0,1374.0,638.0,-167.0,-2573.0,2522.0,-503.0,-664.0,0.862894,-0.152107,0.481904,15392.0,-3018.0,2592.0,17.0,-13.0,1.0
2917.0,2819.0,2911.0,3155.0,3047.0,0.859558,-0.088745,-0.503296,-0.000549,1.0,0.0,-1.0,7683.0,-1406.0,1316.0,594.0,-160.0,-2596.0,2524.0,-502.0,-701.0,0.865322,-0.15201,0.477658,15274.0,-2648.0,2432.0,42.0,17.0,-17.0
2925.0,2818.0,2902.0,3155.0,3053.0,0.859009,-0.088745,-0.504211,-0.000549,1.0,1.0,-1.0,7649.0,-1361.0,1288.0,551.0,-116.0,-2609.0,2520.0,-464.0,-746.0,0.866342,-0.151912,0.475792,15068.0,-2430.0,2420.0,23.0,24.0,-18.0
2925.0,2815.0,2902.0,3151.0,3055.0,0.857788,-0.089111,-0.506165,-0.000793,-2.0,0.0,-1.0,7599.0,-1335.0,1247.0,484.0,-89.0,-2616.0,2499.0,-446.0,-799.0,0.868505,-0.152074,0.471658,15112.0,-2770.0,2418.0,-26.0,9.0,-6.0
