flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2883.0,2815.0,2847.0,3091.0,2983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2877.0,2807.0,2834.0,3071.0,2983.0,0.89856,-0.10321,-0.426514,0.003479,-1.0,0.0,0.0,7187.0,-1712.0,2764.0,913.0,-168.0,-2272.0,2310.0,-492.0,-666.0,0.765778,-0.188449,0.614855,14430.0,-3460.0,5664.0,-22.0,10.0,11.0
2871.0,2805.0,2835.0,3089.0,2994.0,0.897583,-0.103882,-0.428345,0.003479,-1.0,0.0,0.0,7206.0,-1723.0,2783.0,912.0,-170.0,-2225.0,2275.0,-487.0,-627.0,0.768227,-0.189466,0.611397,14498.0,-3486.0,5612.0,-22.0,10.0,13.0
2877.0,2815.0,2839.0,3071.0,2989.0,0.897156,-0.104248,-0.42926,0.003479,-1.0,0.0,0.0,7220.0,-1736.0,2783.0,916.0,-179.0,-2212.0,2268.0,-494.0,-609.0,0.769501,-0.19004,0.609769,14544.0,-3560.0,5604.0,-13.0,13.0,13.0
2875.0,2817.0,2847.0,3088.0,2991.0,0.89624,-0.104736,-0.430969,0.00354,-1.0,1.0,0.0,7239.0,-1751.0,2770.0,916.0,-188.0,-2198.0,2259.0,-501.0,-590.0,0.771762,-0.190789,0.606555,14424.0,-3526.0,5422.0,-2.0,32.0,7.0
2867.0,2807.0,2838.0,3091.0,2987.0,0.895813,-0.105042,-0.431763,0.00354,-1.0,1.0,0.0,7216.0,-1762.0,2757.0,885.0,-195.0,-2199.0,2241.0,-511.0,-609.0,0.772814,-0.191252,0.605041,14260.0,-3574.0,5458.0,0.0,28.0,8.0
2879.0,2811.0,2830.0,3071.0,2990.0,0.894897,-0.10553,-0.433533,0.003662,0.0,0.0,0.0,7177.0,-1775.0,2753.0,826.0,-201.0,-2176.0,2188.0,-519.0,-630.0,0.775162,-0.192052,0.601768,14298.0,-3544.0,5530.0,4.0,2.0,10.0
2871.0,2815.0,2833.0,3019.0,2991.0,0.894409,-0.105713,-0.434509,0.003662,0.0,-1.0,0.0,7174.0,-1764.0,2755.0,813.0,-188.0,-2160.0,2170.0,-505.0,-628.0,0.776484,-0.192284,0.600008,14328.0,-3468.0,5526.0,6.0,-6.0,6.0
2879.0,2811.0,2835.0,3088.0,2991.0,0.893494,-0.106079,-0.43634,0.003723,0.0,0.0,0.0,7203.0,-1755.0,2771.0,821.0,-175.0,-2117.0,2145.0,-484.0,-589.0,0.778945,-0.192811,0.596699,14484.0,-3410.0,5576.0,11.0,2.0,7.0
2875.0,2811.0,2831.0,3103.0,2993.0,0.893005,-0.106262,-0.437256,0.003723,-1.0,0.0,0.0,7197.0,-1723.0,2771.0,805.0,-141.0,-2103.0,2128.0,-449.0,-596.0,0.780152,-0.193041,0.594988,14308.0,-3238.0,5534.0,0.0,8.0,6.0
2874.0,2815.0,2839.0,3095.0,2991.0,0.89209,-0.106812,-0.439026,0.003662,-2.0,-1.0,0.0,7193.0,-1716.0,2778.0,782.0,-128.0,-2069.0,2091.0,-434.0,-587.0,0.782519,-0.193786,0.591685,14510.0,-3492.0,5650.0,-27.0,-9.0,4.0
2871.0,2815.0,2843.0,3089.0,2989.0,0.891602,-0.107178,-0.440002,0.003601,-2.0,-1.0,0.0,7212.0,-1741.0,2776.0,790.0,-149.0,-2056.0,2085.0,-452.0,-564.0,0.783842,-0.194289,0.589877,14508.0,-3634.0,5522.0,-23.0,-5.0,2.0
2875.0,2813.0,2847.0,3091.0,2991.0,0.890625,-0.107727,-0.441772,0.003601,-1.0,-1.0,0.0,7196.0,-1772.0,2754.0,756.0,-173.0,-2050.0,2060.0,-479.0,-574.0,0.786131,-0.195071,0.586458,14300.0,-3544.0,5512.0,-3.0,-5.0,0.0
2881.0,2811.0,2822.0,3089.0,2995.0,0.890137,-0.107971,-0.442688,0.003601,-1.0,-1.0,-1.0,7191.0,-1776.0,2755.0,741.0,-175.0,-2035.0,2040.0,-480.0,-572.0,0.787328,-0.195407,0.584726,14374.0,-3580.0,5528.0,-1.0,-12.0,-4.0
2875.0,2809.0,2838.0,3091.0,2991.0,0.88916,-0.108337,-0.444519,0.00354,-1.0,-1.0,-1.0,7203.0,-1782.0,2762.0,733.0,-177.0,-1999.0,2009.0,-476.0,-548.0,0.78973,-0.195806,0.581284,14406.0,-3516.0,5576.0,0.0,-6.0,-1.0
2875.0,2813.0,2832.0,3091.0,2993.0,0.888733,-0.108521,-0.445374,0.00354,-1.0,-1.0,-1.0,7198.0,-1775.0,2769.0,719.0,-169.0,-1980.0,1987.0,-466.0,-546.0,0.790868,-0.196045,0.579724,14380.0,-3516.0,5558.0,-5.0,-5.0,-3.0
2871.0,2815.0,2837.0,3071.0,2991.0,0.887817,-0.108948,-0.447144,0.003418,-1.0,-1.0,-1.0,7204.0,-1752.0,2788.0,705.0,-142.0,-1934.0,1947.0,-433.0,-527.0,0.793219,-0.196508,0.576424,14422.0,-3440.0,5678.0,-16.0,-9.0,-14.0
2870.0,2815.0,2847.0,3088.0,2987.0,0.887329,-0.109192,-0.447998,0.003296,-1.0,-1.0,-1.0,7204.0,-1761.0,2790.0,696.0,-149.0,-1918.0,1929.0,-439.0,-520.0,0.794324,-0.196731,0.574739,14412.0,-3636.0,5578.0,-17.0,-12.0,-16.0
2873.0,2815.0,2838.0,3088.0,2991.0,0.886353,-0.109558,-0.449768,0.003174,0.0,-1.0,-1.0,7199.0,-1755.0,2793.0,673.0,-140.0,-1887.0,1893.0,-427.0,-514.0,0.796611,-0.197069,0.571337,14352.0,-3438.0,5556.0,3.0,-21.0,-11.0
2876.0,2813.0,2835.0,3093.0,2987.0,0.885864,-0.10968,-0.450745,0.003113,0.0,-2.0,-1.0,7202.0,-1741.0,2783.0,665.0,-126.0,-1882.0,1887.0,-413.0,-516.0,0.797914,-0.19713,0.569565,14408.0,-3396.0,5522.0,4.0,-26.0,-8.0
2879.0,2811.0,2839.0,3091.0,2993.0,0.884888,-0.109985,-0.452637,0.003052,-1.0,-2.0,-1.0,7210.0,-1721.0,2770.0,653.0,-103.0,-1867.0,1872.0,-390.0,-513.0,0.800394,-0.197412,0.566059,14438.0,-3392.0,5498.0,-7.0,-29.0,-1.0
2877.0,2806.0,2832.0,3093.0,2993.0,0.884399,-0.110229,-0.453552,0.003052,-1.0,-2.0,0.0,7210.0,-1719.0,2760.0,643.0,-99.0,-1862.0,1864.0,-386.0,-515.0,0.80157,-0.197742,0.564311,14408.0,-3440.0,5460.0,-11.0,-29.0,2.0
2877.0,2807.0,2835.0,3089.0,2990.0,0.883362,-0.110657,-0.455444,0.003052,-1.0,-2.0,0.0,7220.0,-1733.0,2738.0,633.0,-108.0,-1854.0,1853.0,-395.0,-509.0,0.803969,-0.19828,0.560663,14496.0,-3560.0,5402.0,-8.0,-30.0,1.0
