flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2882.0,2831.0,2879.0,3139.0,2987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2893.0,2823.0,2885.0,3135.0,2991.0,0.90155,-0.068359,-0.427246,0.003601,-1.0,0.0,1.0,7199.0,-1120.0,2879.0,892.0,-85.0,-2245.0,2292.0,-296.0,-706.0,0.769875,-0.126336,0.625594,14334.0,-2200.0,5868.0,-14.0,5.0,35.0
2891.0,2811.0,2897.0,3135.0,2987.0,0.900574,-0.069092,-0.429138,0.003845,-2.0,0.0,1.0,7233.0,-1163.0,2937.0,905.0,-116.0,-2159.0,2235.0,-316.0,-629.0,0.77241,-0.127745,0.622115,14656.0,-2526.0,6112.0,-27.0,3.0,36.0
2887.0,2818.0,2898.0,3151.0,2963.0,0.900146,-0.069397,-0.429993,0.003967,-1.0,0.0,1.0,7244.0,-1209.0,2962.0,906.0,-157.0,-2121.0,2205.0,-352.0,-595.0,0.773562,-0.128347,0.62057,14500.0,-2690.0,6088.0,-11.0,19.0,28.0
2893.0,2830.0,2902.0,3138.0,2991.0,0.899292,-0.069763,-0.431702,0.004211,0.0,0.0,0.0,7209.0,-1218.0,2985.0,853.0,-160.0,-2073.0,2137.0,-353.0,-597.0,0.775864,-0.129111,0.617511,14354.0,-2384.0,6054.0,18.0,1.0,16.0
2879.0,2823.0,2897.0,3135.0,2991.0,0.898865,-0.069885,-0.432617,0.004333,0.0,-1.0,0.0,7209.0,-1213.0,2997.0,842.0,-153.0,-2048.0,2112.0,-343.0,-587.0,0.777123,-0.129384,0.615935,14438.0,-2404.0,6020.0,16.0,-8.0,10.0
2887.0,2819.0,2890.0,3135.0,2991.0,0.897888,-0.070129,-0.434509,0.004517,0.0,-1.0,0.0,7214.0,-1190.0,3002.0,827.0,-126.0,-2015.0,2081.0,-313.0,-573.0,0.779648,-0.129862,0.612507,14494.0,-2274.0,6038.0,1.0,-19.0,20.0
2891.0,2835.0,2895.0,3143.0,2995.0,0.8974,-0.070374,-0.435486,0.004578,-1.0,-1.0,0.0,7221.0,-1182.0,3004.0,823.0,-114.0,-1999.0,2068.0,-300.0,-563.0,0.780966,-0.130293,0.610747,14456.0,-2312.0,6024.0,-14.0,-18.0,20.0
2889.0,2825.0,2891.0,3135.0,2993.0,0.896423,-0.070923,-0.437378,0.004639,-1.0,-1.0,0.0,7210.0,-1224.0,2966.0,791.0,-149.0,-2008.0,2056.0,-339.0,-580.0,0.783494,-0.131212,0.607267,14420.0,-2644.0,5784.0,-12.0,-13.0,9.0
2895.0,2831.0,2897.0,3139.0,2991.0,0.895935,-0.071106,-0.438354,0.0047,0.0,-1.0,0.0,7214.0,-1241.0,2943.0,784.0,-163.0,-2017.0,2059.0,-354.0,-584.0,0.784806,-0.131533,0.605511,14434.0,-2538.0,5726.0,8.0,-10.0,1.0
2895.0,2831.0,2890.0,3134.0,2987.0,0.89502,-0.071228,-0.440247,0.004761,0.0,-1.0,-1.0,7217.0,-1223.0,2905.0,766.0,-144.0,-2028.0,2060.0,-338.0,-599.0,0.78738,-0.131693,0.602192,14488.0,-2338.0,5744.0,17.0,-10.0,-3.0
2887.0,2829.0,2887.0,3143.0,2991.0,0.894531,-0.071289,-0.441223,0.004761,0.0,-1.0,0.0,7224.0,-1208.0,2892.0,762.0,-128.0,-2026.0,2058.0,-322.0,-598.0,0.788697,-0.131742,0.600449,14514.0,-2344.0,5750.0,5.0,-10.0,3.0
2887.0,2829.0,2897.0,3135.0,2991.0,0.893616,-0.071655,-0.442993,0.004822,-1.0,-1.0,0.0,7234.0,-1224.0,2890.0,753.0,-139.0,-2002.0,2036.0,-331.0,-581.0,0.79104,-0.132337,0.597195,14426.0,-2554.0,5848.0,-1.0,-3.0,10.0
2883.0,2827.0,2887.0,3134.0,2992.0,0.893188,-0.071838,-0.443848,0.004883,0.0,-1.0,0.0,7230.0,-1230.0,2902.0,740.0,-143.0,-1977.0,2009.0,-333.0,-572.0,0.792178,-0.132665,0.595648,14472.0,-2472.0,5900.0,4.0,-1.0,8.0
2887.0,2827.0,2903.0,3171.0,2991.0,0.892334,-0.072083,-0.445557,0.004944,0.0,0.0,0.0,7233.0,-1215.0,2912.0,724.0,-125.0,-1942.0,1975.0,-312.0,-558.0,0.794458,-0.133049,0.592568,14462.0,-2372.0,5816.0,4.0,2.0,4.0
2887.0,2831.0,2891.0,3143.0,2991.0,0.891907,-0.072205,-0.446411,0.005005,0.0,-1.0,0.0,7235.0,-1213.0,2915.0,717.0,-121.0,-1926.0,1959.0,-306.0,-551.0,0.795591,-0.133268,0.591026,14488.0,-2422.0,5864.0,6.0,-3.0,1.0
2885.0,2827.0,2893.0,3135.0,2997.0,0.891052,-0.072327,-0.448059,0.005066,0.0,-1.0,0.0,7240.0,-1192.0,2923.0,704.0,-98.0,-1893.0,1928.0,-280.0,-538.0,0.797755,-0.133433,0.588012,14518.0,-2274.0,5888.0,10.0,-7.0,3.0
2887.0,2829.0,2893.0,3143.0,2989.0,0.890625,-0.072449,-0.448914,0.005066,0.0,-1.0,0.0,7241.0,-1192.0,2916.0,696.0,-97.0,-1888.0,1921.0,-279.0,-538.0,0.798893,-0.133598,0.586466,14506.0,-2406.0,5762.0,6.0,-4.0,4.0
2887.0,2823.0,2887.0,3143.0,2989.0,0.889771,-0.072571,-0.450562,0.005188,0.0,-1.0,0.0,7247.0,-1187.0,2912.0,684.0,-90.0,-1867.0,1899.0,-270.0,-529.0,0.80104,-0.133818,0.583446,14488.0,-2312.0,5768.0,13.0,0.0,4.0
2887.0,2831.0,2896.0,3143.0,2991.0,0.889343,-0.072632,-0.451355,0.005188,0.0,0.0,0.0,7235.0,-1172.0,2907.0,664.0,-75.0,-1860.0,1883.0,-256.0,-539.0,0.802065,-0.133873,0.581962,14400.0,-2254.0,5800.0,9.0,3.0,2.0
2891.0,2829.0,2897.0,3139.0,2995.0,0.88855,-0.072876,-0.452942,0.005188,-1.0,-1.0,0.0,7231.0,-1169.0,2914.0,643.0,-69.0,-1829.0,1848.0,-248.0,-532.0,0.804167,-0.134208,0.57908,14478.0,-2314.0,5850.0,-5.0,0.0,7.0
