flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2887.0,2815.0,2887.0,3142.0,2979.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2891.0,2815.0,2895.0,3127.0,2987.0,0.684448,-0.480774,-0.313599,-0.449524,282.0,148.0,-103.0,4633.0,2704.0,1306.0,-2424.0,5785.0,-1487.0,4332.0,135.0,-4771.0,0.861523,-0.37619,0.341053,10824.0,11032.0,4096.0,6460.0,3403.0,-2356.0
2887.0,2815.0,2881.0,3135.0,2983.0,0.718079,-0.399109,-0.335327,-0.461121,329.0,161.0,-81.0,5178.0,4085.0,1766.0,-1782.0,6247.0,-1973.0,5409.0,562.0,-4063.0,0.849657,-0.263931,0.456537,12016.0,11456.0,4570.0,7540.0,3694.0,-1854.0
2890.0,2811.0,2891.0,3127.0,2987.0,0.75531,-0.303101,-0.357788,-0.457886,405.0,168.0,-52.0,5608.0,5654.0,1987.0,-1093.0,6720.0,-2602.0,6434.0,1142.0,-3227.0,0.818053,-0.130218,0.56027,12238.0,17672.0,4408.0,9291.0,3865.0,-1184.0
2887.0,2815.0,2891.0,3139.0,2993.0,0.78949,-0.190674,-0.383911,-0.43927,457.0,158.0,-35.0,5524.0,8942.0,1994.0,-814.0,8645.0,-3187.0,8399.0,3091.0,-2332.0,0.773702,0.036211,0.632508,10268.0,29222.0,3836.0,10475.0,3624.0,-781.0
2891.0,2819.0,2895.0,3134.0,2990.0,0.802185,-0.130859,-0.398071,-0.425354,466.0,146.0,-29.0,5584.0,10793.0,2025.0,-559.0,9738.0,-3290.0,9215.0,4399.0,-1300.0,0.749977,0.128696,0.648842,11942.0,32767.0,4502.0,10689.0,3351.0,-659.0
2889.0,2822.0,2897.0,3135.0,2991.0,0.81897,-0.013855,-0.423645,-0.386841,453.0,136.0,9.0,6500.0,13365.0,2387.0,727.0,10865.0,-2861.0,9214.0,6154.0,1993.0,0.704624,0.305073,0.64069,16128.0,32767.0,5648.0,10394.0,3116.0,227.0
2887.0,2823.0,2893.0,3131.0,2991.0,0.827881,0.086243,-0.44104,-0.335693,392.0,115.0,65.0,7103.0,14754.0,2479.0,1595.0,11158.0,-2404.0,7862.0,7101.0,4536.0,0.672355,0.438906,0.596123,16250.0,32767.0,5348.0,9001.0,2657.0,1506.0
2887.0,2819.0,2877.0,3135.0,2987.0,0.8302,0.127197,-0.447815,-0.30658,359.0,106.0,95.0,7564.0,15186.0,2626.0,2111.0,11206.0,-2014.0,6949.0,7293.0,5707.0,0.66556,0.48578,0.566506,17750.0,32767.0,5992.0,8226.0,2441.0,2193.0
2887.0,2818.0,2879.0,3131.0,2983.0,0.833069,0.192139,-0.456177,-0.246948,279.0,91.0,126.0,7614.0,15737.0,3180.0,2165.0,11268.0,-997.0,4513.0,7885.0,7077.0,0.665157,0.545434,0.509973,13878.0,32767.0,8438.0,6403.0,2085.0,2901.0
2891.0,2822.0,2896.0,3139.0,2993.0,0.833862,0.215515,-0.458557,-0.218994,233.0,76.0,140.0,7516.0,15908.0,3688.0,2024.0,11318.0,-297.0,3130.0,8088.0,7553.0,0.670354,0.560263,0.486563,14740.0,32767.0,10432.0,5350.0,1754.0,3208.0
2887.0,2823.0,2890.0,3139.0,2991.0,0.83728,0.243408,-0.460571,-0.165955,144.0,75.0,168.0,8034.0,16127.0,4970.0,2377.0,11535.0,1224.0,813.0,8026.0,8665.0,0.690465,0.56047,0.457206,17072.0,32767.0,13362.0,3312.0,1736.0,3867.0
2891.0,2831.0,2897.0,3147.0,2991.0,0.845032,0.252319,-0.457153,-0.115112,84.0,77.0,190.0,7281.0,14873.0,5307.0,1427.0,10517.0,1582.0,-901.0,7784.0,7330.0,0.714528,0.531684,0.454675,10696.0,24048.0,10884.0,1928.0,1786.0,4353.0
2887.0,2815.0,2885.0,3133.0,2991.0,0.848877,0.252258,-0.455444,-0.090759,67.0,67.0,190.0,6474.0,13681.0,5207.0,514.0,9495.0,1456.0,-1618.0,7428.0,5891.0,0.727443,0.510944,0.457766,7884.0,19752.0,9542.0,1550.0,1552.0,4368.0
2883.0,2814.0,2885.0,3131.0,2991.0,0.854004,0.246521,-0.45575,-0.045593,44.0,34.0,184.0,5070.0,10792.0,4765.0,-1122.0,7002.0,972.0,-2457.0,6091.0,2841.0,0.755944,0.462618,0.462921,6352.0,12668.0,7652.0,1015.0,801.0,4222.0
2882.0,2814.0,2881.0,3131.0,2987.0,1.4375,-1.717712,-1.857178,0.829163,178.0,-16205.0,8754.0,-31348.0,-24641.0,8203.0,13783.0,-24492.0,-27468.0,8088.0,23759.0,3174.0,2.49086,-8.018228,-3.645728,6542.0,6054.0,5720.0,734.0,307.0,3750.0
2890.0,2828.0,2896.0,3139.0,2991.0,0.855225,0.231323,-0.463562,0.012024,32.0,10.0,150.0,4001.0,6182.0,3676.0,-2540.0,3032.0,-118.0,-2067.0,3247.0,-916.0,0.798462,0.384519,0.463154,6720.0,3324.0,4842.0,743.0,234.0,3441.0
2891.0,2823.0,2893.0,3143.0,2991.0,0.853821,0.222656,-0.468384,0.044861,32.0,12.0,127.0,3548.0,3855.0,2709.0,-3167.0,1084.0,-1076.0,-1234.0,1844.0,-2726.0,0.819809,0.338193,0.462063,5570.0,2290.0,2532.0,742.0,284.0,2922.0
2891.0,2815.0,2885.0,3135.0,2983.0,0.853027,0.218445,-0.470215,0.059265,23.0,12.0,119.0,3218.0,3231.0,2289.0,-3565.0,634.0,-1498.0,-994.0,1582.0,-3443.0,0.828105,0.316944,0.462348,4296.0,3260.0,2104.0,527.0,291.0,2726.0
2887.0,2815.0,2884.0,3131.0,2983.0,0.852051,0.206482,-0.47406,0.081543,-19.0,4.0,101.0,2426.0,2535.0,1517.0,-4467.0,285.0,-2294.0,-719.0,1495.0,-4748.0,0.841521,0.274554,0.465272,2828.0,2738.0,778.0,-421.0,96.0,2314.0
2887.0,2823.0,2899.0,3135.0,2989.0,0.851807,0.19812,-0.476624,0.08905,-36.0,0.0,87.0,2211.0,1940.0,1146.0,-4729.0,-129.0,-2680.0,-379.0,1190.0,-5291.0,0.847268,0.252633,0.467083,3432.0,-196.0,238.0,-809.0,12.0,2013.0
2887.0,2825.0,2895.0,3139.0,2991.0,0.851562,0.181702,-0.481567,0.099365,-34.0,0.0,53.0,1993.0,217.0,310.0,-5021.0,-1534.0,-3541.0,711.0,61.0,-6291.0,0.856279,0.213759,0.47011,3552.0,-5112.0,-1814.0,-773.0,12.0,1230.0
2887.0,2819.0,2893.0,3131.0,2987.0,0.851135,0.175781,-0.483704,0.103027,-20.0,0.0,37.0,1991.0,-609.0,-7.0,-5050.0,-2243.0,-3858.0,1232.0,-544.0,-6602.0,0.859615,0.199558,0.470178,4126.0,-5788.0,-1700.0,-453.0,4.0,868.0
2886.0,2818.0,2886.0,3135.0,2989.0,0.850464,0.171692,-0.485352,0.107971,7.0,7.0,4.0,2007.0,-1191.0,-332.0,-5059.0,-2724.0,-4181.0,1693.0,-926.0,-6838.0,0.862624,0.187228,0.469902,3510.0,-2464.0,-1406.0,169.0,167.0,107.0
2887.0,2818.0,2887.0,3135.0,2989.0,0.850647,0.173889,-0.484497,0.107056,2.0,5.0,-20.0,1840.0,-681.0,-359.0,-5217.0,-2254.0,-4209.0,1454.0,-455.0,-6906.0,0.861504,0.1921,0.470086,3410.0,736.0,-458.0,57.0,133.0,-445.0
