flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2877.0,2755.0,2847.0,3141.0,3029.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2887.0,2763.0,2847.0,3139.0,3043.0,0.856934,0.240967,-0.455505,-0.010498,-1.0,1.0,0.0,6911.0,3824.0,635.0,557.0,362.0,-3206.0,2771.0,1480.0,-918.0,0.775616,0.422549,0.468895,13506.0,7380.0,1168.0,-3.0,37.0,7.0
2881.0,2766.0,2851.0,3139.0,3027.0,0.855469,0.242065,-0.457642,-0.010376,0.0,0.0,0.0,6835.0,3778.0,629.0,461.0,307.0,-3171.0,2704.0,1443.0,-982.0,0.777973,0.423656,0.463903,13522.0,7534.0,1314.0,1.0,1.0,10.0
2887.0,2759.0,2859.0,3139.0,3031.0,0.854736,0.242676,-0.45874,-0.010315,-1.0,-1.0,0.0,6835.0,3770.0,642.0,451.0,294.0,-3137.0,2676.0,1422.0,-971.0,0.779198,0.424311,0.461346,13694.0,7496.0,1390.0,-2.0,-5.0,6.0
2878.0,2763.0,2851.0,3147.0,3043.0,0.85321,0.243896,-0.460938,-0.010193,1.0,-1.0,0.0,6835.0,3763.0,664.0,432.0,276.0,-3072.0,2622.0,1388.0,-946.0,0.781581,0.425587,0.456123,13656.0,7604.0,1458.0,25.0,-10.0,9.0
2883.0,2761.0,2851.0,3143.0,3027.0,0.852356,0.244629,-0.462036,-0.010132,1.0,-1.0,0.0,6855.0,3771.0,678.0,443.0,278.0,-3035.0,2601.0,1374.0,-910.0,0.782681,0.426384,0.453293,13892.0,7568.0,1410.0,36.0,-17.0,6.0
2879.0,2762.0,2855.0,3147.0,3031.0,0.850769,0.246094,-0.464233,-0.009888,1.0,-1.0,0.0,6907.0,3817.0,695.0,475.0,311.0,-2973.0,2567.0,1374.0,-825.0,0.785044,0.427918,0.447831,13862.0,7814.0,1472.0,40.0,-1.0,11.0
2885.0,2766.0,2849.0,3142.0,3039.0,0.849976,0.246826,-0.465332,-0.009705,1.0,-1.0,0.0,6901.0,3806.0,684.0,460.0,294.0,-2962.0,2555.0,1360.0,-830.0,0.786251,0.428624,0.445096,13770.0,7508.0,1360.0,37.0,-6.0,18.0
2887.0,2737.0,2847.0,3135.0,3039.0,0.848328,0.248291,-0.467529,-0.009155,3.0,-1.0,1.0,6896.0,3809.0,698.0,435.0,287.0,-2902.0,2497.0,1341.0,-809.0,0.78869,0.429825,0.439512,13740.0,7780.0,1448.0,69.0,-5.0,42.0
2883.0,2763.0,2850.0,3143.0,3037.0,0.847534,0.249023,-0.468628,-0.008789,2.0,-1.0,2.0,6873.0,3863.0,687.0,401.0,337.0,-2890.0,2459.0,1391.0,-800.0,0.789979,0.430349,0.436767,13628.0,8082.0,1308.0,50.0,-9.0,53.0
