flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2815.0,2771.0,2908.0,3151.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2819.0,2765.0,2897.0,3147.0,3047.0,0.890686,-0.028259,-0.453735,0.005005,0.0,-2.0,-1.0,7477.0,-531.0,2409.0,857.0,-81.0,-2397.0,2440.0,-161.0,-709.0,0.807989,-0.054882,0.586672,15302.0,-762.0,5014.0,2.0,-38.0,-3.0
2821.0,2770.0,2911.0,3155.0,3051.0,0.889587,-0.028625,-0.455811,0.004639,-3.0,1.0,-1.0,7562.0,-461.0,2442.0,920.0,-9.0,-2332.0,2429.0,-86.0,-612.0,0.810701,-0.055158,0.582805,15226.0,-740.0,4932.0,-65.0,24.0,-15.0
2823.0,2770.0,2871.0,3139.0,3047.0,0.889099,-0.028992,-0.456665,0.004333,-4.0,1.0,-2.0,7548.0,-483.0,2413.0,897.0,-28.0,-2347.0,2428.0,-108.0,-634.0,0.81179,-0.055511,0.581133,14962.0,-1172.0,4638.0,-91.0,40.0,-27.0
2815.0,2771.0,2879.0,3147.0,3037.0,0.888184,-0.029846,-0.458435,0.003662,-3.0,1.0,-2.0,7470.0,-596.0,2356.0,800.0,-134.0,-2377.0,2397.0,-224.0,-714.0,0.81413,-0.056375,0.57783,14550.0,-1692.0,4504.0,-65.0,26.0,-34.0
2815.0,2768.0,2896.0,3151.0,3047.0,0.887695,-0.030151,-0.459473,0.00354,-1.0,-1.0,-1.0,7421.0,-668.0,2339.0,740.0,-202.0,-2379.0,2364.0,-296.0,-755.0,0.81553,-0.056784,0.575991,14604.0,-1686.0,4632.0,-16.0,-12.0,-18.0
2815.0,2768.0,2901.0,3143.0,3047.0,0.886475,-0.03009,-0.461731,0.003784,2.0,-2.0,-1.0,7454.0,-617.0,2393.0,749.0,-151.0,-2290.0,2301.0,-239.0,-687.0,0.818398,-0.056843,0.571751,15098.0,-818.0,5046.0,49.0,-28.0,-2.0
2811.0,2763.0,2895.0,3135.0,3031.0,0.885986,-0.029907,-0.462769,0.003784,0.0,-1.0,-1.0,7469.0,-538.0,2426.0,753.0,-75.0,-2242.0,2267.0,-159.0,-656.0,0.819787,-0.056497,0.569937,15046.0,-636.0,5052.0,21.0,-19.0,-7.0
2823.0,2766.0,2895.0,3147.0,3054.0,0.884888,-0.030029,-0.464844,0.003662,-1.0,-1.0,-1.0,7540.0,-500.0,2447.0,802.0,-36.0,-2190.0,2256.0,-117.0,-578.0,0.822449,-0.05655,0.566058,15320.0,-902.0,4886.0,-18.0,-8.0,-2.0
2823.0,2767.0,2896.0,3149.0,3039.0,0.884399,-0.030151,-0.465759,0.00354,-1.0,0.0,-1.0,7567.0,-492.0,2452.0,819.0,-28.0,-2171.0,2252.0,-108.0,-549.0,0.823621,-0.056629,0.564334,15274.0,-938.0,4872.0,-22.0,21.0,-17.0
2815.0,2768.0,2907.0,3147.0,3052.0,0.883484,-0.030396,-0.467407,0.003235,-1.0,0.0,-1.0,7473.0,-574.0,2376.0,708.0,-109.0,-2221.0,2230.0,-197.0,-655.0,0.825697,-0.056732,0.561161,14404.0,-1380.0,4492.0,-5.0,15.0,-20.0
2821.0,2763.0,2877.0,3143.0,3035.0,0.882935,-0.030457,-0.468445,0.003235,0.0,-2.0,-1.0,7450.0,-564.0,2368.0,675.0,-98.0,-2213.0,2207.0,-187.0,-673.0,0.827015,-0.056813,0.559216,14940.0,-998.0,4822.0,10.0,-27.0,-15.0
2815.0,2765.0,2891.0,3135.0,3039.0,0.881897,-0.030579,-0.470459,0.002991,-2.0,-1.0,-1.0,7462.0,-535.0,2378.0,665.0,-70.0,-2172.0,2171.0,-158.0,-650.0,0.82961,-0.056748,0.555484,14886.0,-1202.0,4664.0,-31.0,-17.0,-12.0
2815.0,2769.0,2913.0,3139.0,3039.0,0.881348,-0.030823,-0.471497,0.00293,-1.0,-2.0,-1.0,7434.0,-568.0,2356.0,627.0,-100.0,-2178.0,2156.0,-190.0,-678.0,0.830924,-0.057094,0.553523,14686.0,-1314.0,4604.0,-20.0,-26.0,-4.0
2815.0,2771.0,2887.0,3149.0,3071.0,0.880188,-0.030884,-0.473572,0.00293,0.0,-1.0,-1.0,7513.0,-528.0,2387.0,685.0,-59.0,-2114.0,2139.0,-144.0,-587.0,0.833483,-0.057142,0.549515,15412.0,-734.0,4894.0,3.0,-21.0,-9.0
2815.0,2764.0,2894.0,3139.0,3037.0,0.8797,-0.030945,-0.474487,0.002747,-2.0,0.0,-1.0,7556.0,-483.0,2405.0,718.0,-15.0,-2082.0,2132.0,-98.0,-540.0,0.834643,-0.057051,0.547783,15276.0,-760.0,4870.0,-27.0,13.0,-15.0
2818.0,2774.0,2895.0,3143.0,3031.0,0.878784,-0.031372,-0.476135,0.002441,-2.0,0.0,-1.0,7493.0,-573.0,2374.0,638.0,-102.0,-2087.0,2092.0,-190.0,-596.0,0.836687,-0.057463,0.544579,14698.0,-1534.0,4682.0,-23.0,7.0,-16.0
2815.0,2768.0,2910.0,3151.0,3043.0,0.878296,-0.031433,-0.47699,0.002441,0.0,-1.0,-1.0,7452.0,-579.0,2384.0,589.0,-107.0,-2063.0,2047.0,-195.0,-620.0,0.837723,-0.057544,0.542902,14696.0,-1050.0,4904.0,18.0,-18.0,-16.0
2815.0,2768.0,2896.0,3150.0,3043.0,0.877258,-0.031433,-0.479004,0.002258,-1.0,-2.0,-1.0,7458.0,-501.0,2408.0,574.0,-31.0,-2008.0,1997.0,-117.0,-598.0,0.840278,-0.057313,0.539154,14824.0,-886.0,4728.0,-22.0,-35.0,-10.0
2815.0,2767.0,2893.0,3147.0,3039.0,0.876648,-0.031616,-0.480042,0.002136,-2.0,-3.0,-1.0,7432.0,-483.0,2404.0,538.0,-12.0,-1995.0,1969.0,-100.0,-618.0,0.84152,-0.057484,0.537077,14704.0,-846.0,4788.0,-45.0,-56.0,-7.0
2815.0,2757.0,2887.0,3139.0,3039.0,0.875305,-0.032166,-0.482422,0.001587,-4.0,-4.0,-2.0,7482.0,-475.0,2376.0,564.0,-1.0,-1985.0,1978.0,-90.0,-580.0,0.844431,-0.05784,0.532396,15382.0,-952.0,4674.0,-74.0,-71.0,-36.0
2815.0,2770.0,2896.0,3147.0,3047.0,0.874695,-0.032471,-0.483521,0.001099,-5.0,-2.0,-3.0,7538.0,-457.0,2373.0,609.0,17.0,-1970.0,1991.0,-72.0,-530.0,0.845794,-0.057866,0.530246,15380.0,-740.0,4804.0,-93.0,-35.0,-55.0
2815.0,2768.0,2899.0,3147.0,3039.0,0.873718,-0.033447,-0.485229,-0.000183,-6.0,1.0,-4.0,7576.0,-577.0,2311.0,629.0,-99.0,-2004.0,2028.0,-196.0,-516.0,0.84792,-0.058269,0.526817,14934.0,-1882.0,4242.0,-126.0,36.0,-69.0
2815.0,2766.0,2899.0,3143.0,3039.0,0.873291,-0.033875,-0.485962,-0.000549,-3.0,1.0,-3.0,7519.0,-688.0,2257.0,565.0,-207.0,-2046.0,2027.0,-310.0,-583.0,0.84881,-0.058631,0.525331,14724.0,-1992.0,4292.0,-60.0,23.0,-56.0
2822.0,2800.0,2882.0,3109.0,3037.0,0.872437,-0.033875,-0.487549,-0.000732,1.0,0.0,-2.0,7481.0,-650.0,2288.0,511.0,-171.0,-1990.0,1955.0,-273.0,-594.0,0.85076,-0.058393,0.522295,14950.0,-768.0,4860.0,36.0,3.0,-36.0
