flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2887.0,2821.0,2881.0,3135.0,3055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2907.0,2822.0,2895.0,3131.0,3055.0,0.866455,0.005676,-0.499268,0.000671,-1.0,0.0,-1.0,7776.0,-2.0,1085.0,688.0,-77.0,-3022.0,2960.0,-48.0,-920.0,0.865193,0.009166,0.501445,15442.0,-68.0,2162.0,-8.0,17.0,-9.0
2909.0,2819.0,2886.0,3123.0,3057.0,0.865173,0.005737,-0.501465,0.000549,0.0,1.0,-1.0,7815.0,12.0,1144.0,706.0,-64.0,-2927.0,2891.0,-36.0,-842.0,0.867714,0.009377,0.497025,15772.0,148.0,2522.0,17.0,32.0,-19.0
2879.0,2819.0,2879.0,3127.0,3047.0,0.864624,0.00592,-0.50238,0.000549,0.0,1.0,-1.0,7800.0,48.0,1176.0,683.0,-31.0,-2880.0,2840.0,-3.0,-832.0,0.868747,0.009686,0.495154,15410.0,338.0,2522.0,22.0,44.0,-17.0
2899.0,2811.0,2861.0,3127.0,3027.0,0.863342,0.006165,-0.504517,0.000549,0.0,-1.0,0.0,7775.0,129.0,1237.0,638.0,46.0,-2783.0,2737.0,73.0,-809.0,0.871148,0.01009,0.490785,15688.0,462.0,2684.0,6.0,-6.0,1.0
2907.0,2819.0,2870.0,3126.0,3063.0,0.862732,0.006226,-0.505615,0.000549,0.0,-1.0,0.0,7793.0,147.0,1246.0,646.0,63.0,-2756.0,2719.0,90.0,-782.0,0.872428,0.010187,0.488621,15668.0,352.0,2496.0,1.0,-2.0,9.0
2902.0,2811.0,2894.0,3127.0,3063.0,0.861389,0.006287,-0.507935,0.000671,0.0,-1.0,0.0,7785.0,135.0,1224.0,616.0,51.0,-2740.0,2695.0,79.0,-786.0,0.875067,0.010148,0.483955,15620.0,210.0,2328.0,6.0,-12.0,16.0
2899.0,2806.0,2879.0,3125.0,3071.0,0.860657,0.006287,-0.509094,0.000732,0.0,-1.0,0.0,7810.0,127.0,1201.0,631.0,44.0,-2743.0,2707.0,72.0,-767.0,0.87632,0.010076,0.481514,15746.0,222.0,2190.0,5.0,0.0,18.0
2907.0,2827.0,2871.0,3117.0,3047.0,0.859375,0.006165,-0.51123,0.000854,-1.0,0.0,0.0,7784.0,89.0,1146.0,585.0,9.0,-2762.0,2705.0,37.0,-803.0,0.878688,0.009722,0.477131,15410.0,14.0,2198.0,-13.0,19.0,10.0
2901.0,2823.0,2867.0,3121.0,3067.0,0.858765,0.006042,-0.512268,0.000854,-1.0,0.0,0.0,7774.0,55.0,1131.0,566.0,-22.0,-2760.0,2697.0,6.0,-813.0,0.879846,0.009503,0.475022,15522.0,-120.0,2210.0,-9.0,19.0,4.0
2907.0,2831.0,2879.0,3126.0,3053.0,0.857666,0.006104,-0.514221,0.000916,0.0,1.0,-1.0,7771.0,45.0,1154.0,545.0,-33.0,-2705.0,2643.0,-4.0,-793.0,0.882071,0.009528,0.471131,15550.0,144.0,2470.0,10.0,34.0,-1.0
2897.0,2822.0,2864.0,3135.0,3055.0,0.857117,0.006104,-0.515076,0.000977,0.0,1.0,0.0,7770.0,47.0,1184.0,536.0,-30.0,-2660.0,2600.0,-1.0,-775.0,0.882972,0.009457,0.46931,15522.0,108.0,2562.0,7.0,31.0,4.0
2907.0,2815.0,2899.0,3133.0,3058.0,0.855957,0.006165,-0.516968,0.001038,0.0,0.0,0.0,7783.0,77.0,1259.0,532.0,0.0,-2553.0,2506.0,27.0,-717.0,0.885017,0.00948,0.46537,15596.0,266.0,2730.0,4.0,11.0,3.0
2896.0,2825.0,2885.0,3127.0,3063.0,0.855408,0.006165,-0.517944,0.001038,-1.0,0.0,0.0,7795.0,87.0,1291.0,535.0,9.0,-2505.0,2467.0,35.0,-686.0,0.88612,0.009472,0.463419,15666.0,226.0,2774.0,0.0,3.0,7.0
2905.0,2823.0,2881.0,3139.0,3067.0,0.854187,0.006165,-0.519958,0.001099,0.0,-1.0,0.0,7794.0,64.0,1277.0,517.0,-12.0,-2485.0,2444.0,14.0,-682.0,0.888297,0.009389,0.459242,15584.0,-20.0,2470.0,2.0,-10.0,4.0
2897.0,2805.0,2875.0,3123.0,3071.0,0.853516,0.006165,-0.520996,0.00116,0.0,-1.0,0.0,7797.0,45.0,1261.0,511.0,-31.0,-2482.0,2441.0,-4.0,-680.0,0.889371,0.009315,0.457015,15558.0,40.0,2386.0,16.0,-4.0,2.0
2911.0,2815.0,2897.0,3121.0,3047.0,0.852295,0.006348,-0.52301,0.001282,0.0,0.0,-1.0,7782.0,72.0,1221.0,478.0,-5.0,-2488.0,2434.0,23.0,-700.0,0.891534,0.009479,0.452828,15486.0,260.0,2294.0,6.0,5.0,-1.0
2911.0,2819.0,2887.0,3131.0,3051.0,0.851685,0.006348,-0.523926,0.001221,-1.0,0.0,-1.0,7781.0,63.0,1204.0,470.0,-15.0,-2489.0,2433.0,12.0,-702.0,0.892455,0.009533,0.45083,15538.0,40.0,2354.0,-6.0,12.0,-1.0
2895.0,2823.0,2890.0,3135.0,3043.0,0.850586,0.006287,-0.525818,0.001221,-1.0,0.0,0.0,7734.0,53.0,1189.0,406.0,-24.0,-2472.0,2392.0,3.0,-741.0,0.894522,0.009411,0.446974,15342.0,84.0,2404.0,-4.0,4.0,3.0
2906.0,2831.0,2871.0,3139.0,3051.0,0.849976,0.006226,-0.526794,0.001282,-1.0,-1.0,0.0,7731.0,53.0,1197.0,394.0,-22.0,-2447.0,2366.0,5.0,-736.0,0.895541,0.009233,0.444909,15510.0,122.0,2470.0,-3.0,-10.0,5.0
2889.0,2831.0,2880.0,3111.0,3031.0,0.848755,0.006226,-0.528748,0.001343,-1.0,-1.0,0.0,7768.0,74.0,1229.0,415.0,0.0,-2381.0,2319.0,26.0,-676.0,0.897571,0.009148,0.440774,15540.0,172.0,2512.0,-1.0,-7.0,6.0
2895.0,2807.0,2885.0,3119.0,3087.0,0.848145,0.006226,-0.529724,0.001343,0.0,-1.0,0.0,7781.0,61.0,1232.0,419.0,-13.0,-2361.0,2305.0,13.0,-659.0,0.898582,0.009138,0.438705,15702.0,38.0,2472.0,1.0,-11.0,0.0
2903.0,2815.0,2883.0,3125.0,3063.0,0.846985,0.006348,-0.531555,0.001343,0.0,1.0,-1.0,7845.0,66.0,1250.0,468.0,-10.0,-2311.0,2284.0,16.0,-583.0,0.900455,0.009325,0.434794,15818.0,190.0,2546.0,11.0,23.0,-13.0
2903.0,2815.0,2875.0,3111.0,3071.0,0.846497,0.006409,-0.532349,0.001221,-1.0,1.0,-1.0,7822.0,79.0,1237.0,438.0,0.0,-2311.0,2272.0,25.0,-606.0,0.901278,0.00955,0.433122,15414.0,188.0,2392.0,-6.0,35.0,-13.0
2895.0,2811.0,2879.0,3117.0,3071.0,0.845459,0.006409,-0.533997,0.00116,0.0,0.0,-1.0,7749.0,36.0,1221.0,351.0,-42.0,-2298.0,2226.0,-15.0,-670.0,0.902959,0.009598,0.429609,15430.0,12.0,2430.0,3.0,6.0,-11.0
2910.0,2815.0,2896.0,3141.0,3031.0,0.84491,0.00647,-0.534851,0.001099,0.0,0.0,-1.0,7748.0,61.0,1235.0,343.0,-18.0,-2269.0,2197.0,7.0,-660.0,0.903816,0.009757,0.427766,15480.0,338.0,2550.0,3.0,4.0,-9.0
2894.0,2807.0,2879.0,3135.0,3063.0,0.843811,0.006348,-0.536621,0.000977,-2.0,-1.0,0.0,7732.0,95.0,1225.0,313.0,15.0,-2248.0,2168.0,39.0,-669.0,0.905626,0.009664,0.424016,15534.0,148.0,2416.0,-26.0,-15.0,7.0
2927.0,2827.0,2881.0,3155.0,3071.0,0.843201,0.006287,-0.537598,0.000977,-1.0,-1.0,0.0,7771.0,88.0,1230.0,343.0,9.0,-2226.0,2162.0,33.0,-628.0,0.906618,0.009552,0.421938,15774.0,152.0,2480.0,-16.0,-11.0,6.0
2895.0,2815.0,2862.0,3119.0,3047.0,0.842041,0.006165,-0.539307,0.000916,-1.0,0.0,0.0,7805.0,105.0,1236.0,364.0,28.0,-2189.0,2140.0,51.0,-584.0,0.908248,0.009394,0.418144,15678.0,256.0,2482.0,-14.0,3.0,8.0
2902.0,2835.0,2885.0,3147.0,3071.0,0.841553,0.006104,-0.540161,0.000854,-1.0,0.0,0.0,7820.0,100.0,1239.0,372.0,23.0,-2172.0,2129.0,45.0,-565.0,0.909159,0.00935,0.4164,15748.0,164.0,2498.0,-12.0,9.0,9.0
