flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2903.0,2801.0,2867.0,3139.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2887.0,2790.0,2864.0,3165.0,3043.0,0.862183,0.00116,-0.506531,0.008362,-1.0,1.0,-1.0,7828.0,-83.0,945.0,672.0,-29.0,-3043.0,2985.0,11.0,-894.0,0.873463,-0.006471,0.486854,15424.0,-238.0,1800.0,-16.0,36.0,-1.0
2891.0,2805.0,2867.0,3150.0,3067.0,0.86084,0.001038,-0.508789,0.008484,0.0,0.0,0.0,7783.0,-139.0,965.0,606.0,-82.0,-2985.0,2908.0,-42.0,-908.0,0.875989,-0.006847,0.48225,15546.0,-324.0,2102.0,16.0,9.0,5.0
2895.0,2806.0,2881.0,3165.0,3053.0,0.860168,0.00116,-0.509888,0.008545,1.0,0.0,0.0,7772.0,-118.0,986.0,585.0,-62.0,-2945.0,2864.0,-22.0,-899.0,0.877198,-0.006719,0.479976,15468.0,-82.0,2072.0,28.0,7.0,2.0
2903.0,2815.0,2877.0,3154.0,3063.0,0.858765,0.001343,-0.512207,0.008728,0.0,-1.0,0.0,7778.0,-72.0,1042.0,571.0,-17.0,-2850.0,2778.0,22.0,-851.0,0.879754,-0.006635,0.475195,15590.0,-56.0,2206.0,11.0,-15.0,11.0
2899.0,2791.0,2859.0,3163.0,3031.0,0.858032,0.001343,-0.513489,0.008789,0.0,-2.0,0.0,7817.0,-65.0,1060.0,598.0,-9.0,-2811.0,2759.0,31.0,-801.0,0.881203,-0.006722,0.472624,15904.0,-116.0,2252.0,3.0,-23.0,14.0
2895.0,2795.0,2865.0,3157.0,3039.0,0.856689,0.001343,-0.515747,0.00885,0.0,0.0,0.0,7868.0,-55.0,1047.0,628.0,0.0,-2786.0,2755.0,40.0,-748.0,0.883694,-0.006828,0.467998,15712.0,-14.0,1940.0,2.0,14.0,4.0
2887.0,2805.0,2850.0,3167.0,3039.0,0.856018,0.001282,-0.516846,0.008789,-1.0,0.0,0.0,7858.0,-65.0,1018.0,609.0,-8.0,-2797.0,2758.0,31.0,-763.0,0.884881,-0.006891,0.465713,15626.0,-248.0,1842.0,-11.0,16.0,3.0
2885.0,2815.0,2851.0,3147.0,3054.0,0.854736,0.001221,-0.518982,0.00885,0.0,0.0,-1.0,7812.0,-118.0,971.0,544.0,-59.0,-2808.0,2742.0,-19.0,-812.0,0.887207,-0.007099,0.461309,15586.0,-330.0,1898.0,8.0,9.0,-6.0
2896.0,2799.0,2871.0,3151.0,3035.0,0.854065,0.001282,-0.520081,0.00885,0.0,0.0,-1.0,7806.0,-118.0,964.0,528.0,-60.0,-2796.0,2727.0,-20.0,-813.0,0.888388,-0.007016,0.45902,15612.0,-194.0,1932.0,10.0,11.0,-6.0
2874.0,2799.0,2885.0,3171.0,3019.0,0.852783,0.001221,-0.522156,0.008789,-1.0,0.0,-1.0,7805.0,-106.0,979.0,509.0,-47.0,-2745.0,2676.0,-9.0,-794.0,0.890593,-0.007097,0.454668,15594.0,-302.0,2018.0,-16.0,8.0,-4.0
2882.0,2811.0,2871.0,3153.0,3043.0,0.852173,0.00116,-0.523193,0.008728,-1.0,0.0,-1.0,7791.0,-121.0,998.0,486.0,-62.0,-2709.0,2636.0,-25.0,-792.0,0.891723,-0.007156,0.452542,15466.0,-300.0,2092.0,-7.0,3.0,-5.0
2878.0,2819.0,2855.0,3163.0,3043.0,0.85083,0.00116,-0.525391,0.008728,0.0,-1.0,-1.0,7828.0,-123.0,1035.0,503.0,-64.0,-2634.0,2581.0,-27.0,-729.0,0.894057,-0.007198,0.447951,15792.0,-200.0,2186.0,5.0,-7.0,-4.0
2885.0,2789.0,2879.0,3147.0,3025.0,0.850159,0.00116,-0.526428,0.008728,0.0,-1.0,0.0,7837.0,-101.0,1047.0,504.0,-41.0,-2604.0,2556.0,-5.0,-709.0,0.895115,-0.007218,0.445718,15712.0,-54.0,2152.0,7.0,-4.0,3.0
2896.0,2805.0,2863.0,3147.0,3059.0,0.848877,0.00116,-0.528564,0.00885,0.0,-1.0,0.0,7807.0,-79.0,1050.0,455.0,-18.0,-2565.0,2502.0,17.0,-723.0,0.897393,-0.007387,0.441289,15508.0,-86.0,2036.0,7.0,-14.0,12.0
2889.0,2815.0,2870.0,3155.0,3057.0,0.848145,0.001221,-0.529663,0.008911,0.0,-2.0,0.0,7796.0,-69.0,1035.0,435.0,-8.0,-2560.0,2490.0,27.0,-732.0,0.898483,-0.007369,0.438884,15502.0,-82.0,1950.0,7.0,-23.0,13.0
2891.0,2809.0,2863.0,3167.0,3046.0,0.84668,0.001221,-0.531982,0.008972,0.0,-2.0,0.0,7771.0,-65.0,973.0,391.0,-3.0,-2581.0,2494.0,32.0,-767.0,0.900859,-0.007479,0.43394,15516.0,-158.0,1728.0,1.0,-37.0,9.0
2885.0,2821.0,2851.0,3131.0,3025.0,0.845947,0.00116,-0.533203,0.009033,-1.0,-2.0,0.0,7783.0,-74.0,959.0,392.0,-11.0,-2575.0,2492.0,24.0,-757.0,0.902144,-0.007671,0.431401,15676.0,-214.0,1826.0,-1.0,-37.0,6.0
