flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2877.0,2829.0,2915.0,3139.0,3037.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2883.0,2813.0,2898.0,3141.0,3039.0,0.895813,-0.046265,-0.441956,0.000549,-1.0,-1.0,0.0,7375.0,-766.0,2603.0,888.0,-82.0,-2353.0,2401.0,-238.0,-713.0,0.791768,-0.083374,0.605016,14710.0,-1636.0,5200.0,-15.0,-9.0,10.0
2879.0,2819.0,2890.0,3119.0,3045.0,0.894775,-0.04657,-0.444092,0.000671,0.0,-1.0,0.0,7393.0,-788.0,2602.0,883.0,-100.0,-2323.0,2376.0,-254.0,-686.0,0.794662,-0.083935,0.601237,14820.0,-1552.0,5180.0,7.0,-7.0,9.0
2891.0,2831.0,2890.0,3147.0,3043.0,0.894226,-0.046692,-0.445129,0.000732,0.0,-1.0,0.0,7399.0,-778.0,2610.0,877.0,-88.0,-2299.0,2356.0,-240.0,-672.0,0.796024,-0.084158,0.59932,14828.0,-1498.0,5290.0,7.0,-7.0,10.0
2865.0,2827.0,2897.0,3133.0,3030.0,0.89325,-0.046814,-0.447144,0.000854,0.0,0.0,0.0,7433.0,-778.0,2616.0,889.0,-86.0,-2264.0,2338.0,-234.0,-631.0,0.798742,-0.084397,0.595767,14938.0,-1520.0,5268.0,10.0,15.0,9.0
2871.0,2813.0,2891.0,3143.0,3025.0,0.892761,-0.046875,-0.447998,0.000916,0.0,0.0,0.0,7413.0,-778.0,2614.0,860.0,-85.0,-2253.0,2313.0,-233.0,-643.0,0.799825,-0.084517,0.594124,14634.0,-1574.0,5214.0,6.0,21.0,4.0
2883.0,2813.0,2891.0,3135.0,3037.0,0.891846,-0.047058,-0.449829,0.000916,0.0,0.0,-1.0,7381.0,-781.0,2611.0,808.0,-86.0,-2229.0,2266.0,-235.0,-661.0,0.80227,-0.084761,0.590829,14704.0,-1554.0,5212.0,3.0,5.0,-3.0
2879.0,2819.0,2887.0,3131.0,3039.0,0.891357,-0.04718,-0.450806,0.000916,0.0,0.0,-1.0,7377.0,-781.0,2618.0,794.0,-85.0,-2207.0,2241.0,-233.0,-654.0,0.803572,-0.084934,0.589067,14724.0,-1550.0,5320.0,1.0,4.0,-6.0
2885.0,2827.0,2898.0,3139.0,3035.0,0.890442,-0.047363,-0.452637,0.000854,-1.0,-1.0,-1.0,7365.0,-778.0,2625.0,762.0,-80.0,-2173.0,2198.0,-227.0,-651.0,0.806012,-0.085122,0.585764,14744.0,-1562.0,5272.0,-6.0,-3.0,-4.0
2883.0,2834.0,2895.0,3135.0,3023.0,0.889954,-0.047485,-0.453613,0.000793,-1.0,-1.0,-1.0,7368.0,-773.0,2626.0,754.0,-74.0,-2158.0,2183.0,-220.0,-645.0,0.807314,-0.085239,0.583998,14780.0,-1484.0,5264.0,-5.0,-5.0,-7.0
2895.0,2819.0,2896.0,3131.0,3026.0,0.888977,-0.047729,-0.455505,0.000671,-1.0,0.0,-1.0,7390.0,-766.0,2636.0,756.0,-65.0,-2119.0,2155.0,-209.0,-612.0,0.809804,-0.085472,0.580517,14806.0,-1596.0,5280.0,-20.0,1.0,-5.0
2886.0,2826.0,2898.0,3141.0,3039.0,0.888489,-0.047913,-0.45636,0.00061,-1.0,0.0,0.0,7389.0,-773.0,2635.0,746.0,-70.0,-2106.0,2140.0,-214.0,-608.0,0.810883,-0.085697,0.578853,14738.0,-1594.0,5232.0,-21.0,3.0,4.0
2886.0,2833.0,2895.0,3143.0,3007.0,0.887512,-0.048218,-0.458191,0.00061,0.0,0.0,0.0,7407.0,-791.0,2627.0,744.0,-85.0,-2086.0,2124.0,-228.0,-587.0,0.813241,-0.086147,0.575414,14842.0,-1600.0,5262.0,3.0,6.0,1.0
2879.0,2815.0,2879.0,3131.0,3029.0,0.887085,-0.048279,-0.459045,0.00061,0.0,0.0,0.0,7399.0,-781.0,2626.0,727.0,-74.0,-2075.0,2107.0,-217.0,-592.0,0.814366,-0.086215,0.573867,14714.0,-1474.0,5198.0,14.0,8.0,6.0
2891.0,2825.0,2891.0,3131.0,3034.0,0.886169,-0.04834,-0.460815,0.000793,0.0,0.0,0.0,7412.0,-736.0,2625.0,722.0,-28.0,-2049.0,2087.0,-168.0,-577.0,0.816644,-0.086406,0.570609,14896.0,-1324.0,5268.0,6.0,2.0,16.0
2885.0,2823.0,2895.0,3141.0,3035.0,0.885681,-0.048462,-0.46167,0.000854,-1.0,0.0,0.0,7411.0,-722.0,2628.0,712.0,-12.0,-2032.0,2069.0,-151.0,-572.0,0.817702,-0.086633,0.568944,14796.0,-1370.0,5312.0,-4.0,4.0,14.0
