flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2867.0,2758.0,2866.0,3140.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2866.0,2751.0,2861.0,3142.0,3045.0,0.970947,0.231506,-0.059631,0.001404,-2.0,1.0,0.0,1152.0,4525.0,6603.0,198.0,843.0,-651.0,245.0,1040.0,-174.0,0.116448,0.449393,0.885589,2366.0,8838.0,13028.0,-30.0,36.0,0.0
2879.0,2751.0,2866.0,3143.0,3030.0,0.970764,0.232239,-0.05957,0.001526,-1.0,0.0,0.0,1105.0,4473.0,6560.0,151.0,780.0,-689.0,205.0,1002.0,-240.0,0.116366,0.450716,0.884902,1980.0,8852.0,13058.0,-8.0,9.0,12.0
2873.0,2756.0,2879.0,3135.0,3031.0,0.970703,0.232666,-0.059692,0.001587,-1.0,-1.0,0.0,1093.0,4479.0,6570.0,137.0,780.0,-676.0,189.0,997.0,-229.0,0.116626,0.45151,0.88457,2176.0,9010.0,13238.0,-5.0,-14.0,13.0
2873.0,2763.0,2865.0,3135.0,3023.0,0.970459,0.233521,-0.059998,0.001648,-1.0,-1.0,0.0,1095.0,4499.0,6600.0,134.0,787.0,-638.0,182.0,987.0,-191.0,0.11722,0.453046,0.883662,2252.0,9156.0,13348.0,0.0,-5.0,5.0
2862.0,2763.0,2862.0,3150.0,3043.0,0.970337,0.234009,-0.060059,0.001648,-1.0,0.0,-1.0,1099.0,4524.0,6610.0,137.0,805.0,-625.0,183.0,997.0,-170.0,0.117325,0.453937,0.883189,2198.0,9178.0,13242.0,-9.0,12.0,-3.0
2862.0,2751.0,2871.0,3139.0,3015.0,0.970154,0.234741,-0.060059,0.001587,-1.0,0.0,-1.0,1097.0,4529.0,6602.0,136.0,799.0,-627.0,182.0,993.0,-173.0,0.117277,0.45528,0.88249,2284.0,9078.0,13198.0,-18.0,16.0,-6.0
2867.0,2755.0,2871.0,3143.0,3031.0,0.970093,0.235107,-0.060059,0.001587,-2.0,0.0,-1.0,1109.0,4537.0,6600.0,148.0,801.0,-626.0,194.0,994.0,-169.0,0.117271,0.455961,0.8822,2258.0,9094.0,13168.0,-29.0,22.0,-4.0
2871.0,2763.0,2843.0,3134.0,3043.0,0.969971,0.235657,-0.060059,0.001526,-2.0,0.0,-1.0,1082.0,4480.0,6567.0,121.0,736.0,-655.0,172.0,950.0,-226.0,0.117229,0.456977,0.881704,2004.0,8744.0,12996.0,-26.0,2.0,-1.0
2864.0,2768.0,2879.0,3133.0,3043.0,0.969849,0.236023,-0.060181,0.001526,-1.0,-2.0,0.0,1066.0,4459.0,6574.0,103.0,710.0,-645.0,154.0,923.0,-231.0,0.117453,0.457629,0.88128,2060.0,8828.0,13258.0,-6.0,-24.0,7.0
2898.0,2747.0,2867.0,3133.0,3023.0,0.969604,0.236877,-0.060669,0.001526,0.0,-2.0,0.0,1067.0,4476.0,6627.0,97.0,714.0,-584.0,141.0,899.0,-174.0,0.118373,0.45917,0.880344,2184.0,9134.0,13502.0,15.0,-34.0,9.0
2864.0,2765.0,2890.0,3143.0,3031.0,0.969482,0.237366,-0.060913,0.001526,0.0,-1.0,0.0,1080.0,4493.0,6656.0,106.0,724.0,-551.0,146.0,893.0,-139.0,0.118833,0.460058,0.879846,2216.0,9032.0,13478.0,6.0,-14.0,7.0
2867.0,2767.0,2885.0,3127.0,3039.0,0.969238,0.23822,-0.061035,0.001587,0.0,0.0,0.0,1080.0,4518.0,6666.0,104.0,736.0,-534.0,142.0,896.0,-117.0,0.119071,0.461591,0.878951,2200.0,9180.0,13326.0,1.0,1.0,4.0
2869.0,2747.0,2879.0,3148.0,3015.0,0.969177,0.238586,-0.061157,0.001587,-1.0,0.0,0.0,1100.0,4529.0,6652.0,122.0,742.0,-545.0,161.0,906.0,-121.0,0.119302,0.462271,0.878643,2322.0,9056.0,13200.0,-16.0,3.0,5.0
