flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2855.0,2783.0,2895.0,3152.0,3047.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2871.0,2768.0,2903.0,3151.0,3023.0,0.980835,0.090393,0.172119,-0.00885,-1.0,0.0,-1.0,-3547.0,1811.0,7258.0,-767.0,383.0,-314.0,-808.0,422.0,36.0,-0.339241,0.174275,0.92432,-7060.0,3576.0,14414.0,-13.0,8.0,-12.0
2853.0,2769.0,2896.0,3127.0,3053.0,0.980652,0.090698,0.172974,-0.008911,0.0,0.0,-1.0,-3545.0,1797.0,7264.0,-752.0,365.0,-302.0,-790.0,403.0,41.0,-0.34087,0.174804,0.923611,-6976.0,3658.0,14578.0,3.0,4.0,-3.0
2859.0,2774.0,2903.0,3159.0,3029.0,0.980591,0.090881,0.17334,-0.008911,0.0,0.0,-1.0,-3547.0,1804.0,7244.0,-748.0,369.0,-319.0,-792.0,410.0,25.0,-0.341571,0.175146,0.923332,-7098.0,3680.0,14328.0,5.0,6.0,-5.0
2859.0,2767.0,2901.0,3135.0,3071.0,0.980408,0.091248,0.174011,-0.008972,0.0,-1.0,-1.0,-3544.0,1781.0,7264.0,-735.0,340.0,-294.0,-773.0,377.0,40.0,-0.342841,0.175797,0.922674,-7116.0,3518.0,14572.0,11.0,-12.0,-2.0
2847.0,2769.0,2917.0,3179.0,3031.0,0.980347,0.091492,0.174255,-0.009033,0.0,-2.0,0.0,-3539.0,1776.0,7275.0,-726.0,332.0,-281.0,-760.0,367.0,48.0,-0.343314,0.176239,0.922426,-7010.0,3562.0,14636.0,17.0,-23.0,5.0
2865.0,2782.0,2903.0,3159.0,3062.0,0.980225,0.09198,0.174866,-0.008972,0.0,0.0,0.0,-3528.0,1807.0,7266.0,-706.0,355.0,-286.0,-742.0,391.0,42.0,-0.344466,0.177184,0.921882,-7062.0,3786.0,14430.0,3.0,8.0,3.0
2882.0,2789.0,2885.0,3147.0,3043.0,0.980103,0.092163,0.175354,-0.008972,-1.0,1.0,-1.0,-3536.0,1831.0,7242.0,-706.0,376.0,-306.0,-748.0,415.0,28.0,-0.345384,0.177512,0.921438,-7124.0,3784.0,14354.0,-14.0,26.0,-4.0
2854.0,2775.0,2896.0,3135.0,3051.0,0.979919,0.092346,0.176453,-0.008911,-1.0,1.0,-1.0,-3566.0,1839.0,7219.0,-719.0,382.0,-323.0,-766.0,424.0,20.0,-0.347465,0.177839,0.920658,-7270.0,3680.0,14380.0,-22.0,33.0,-2.0
2859.0,2773.0,2896.0,3163.0,3030.0,0.979797,0.092468,0.176941,-0.008911,-1.0,0.0,0.0,-3583.0,1826.0,7220.0,-729.0,367.0,-318.0,-774.0,408.0,26.0,-0.34838,0.178047,0.920224,-7246.0,3570.0,14418.0,-13.0,19.0,5.0
