flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2879.0,2806.0,2877.0,3155.0,3007.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2882.0,2800.0,2875.0,3151.0,3043.0,0.96582,0.063416,-0.251282,-0.000427,-1.0,0.0,-1.0,4826.0,1253.0,6157.0,850.0,247.0,-934.0,1188.0,331.0,-365.0,0.485332,0.122711,0.865645,9544.0,2530.0,12270.0,0.0,5.0,-9.0
2881.0,2800.0,2875.0,3151.0,3051.0,0.965515,0.06366,-0.252441,-0.000549,-1.0,-1.0,-1.0,4822.0,1237.0,6143.0,829.0,227.0,-938.0,1173.0,312.0,-378.0,0.487402,0.123206,0.864441,9678.0,2418.0,12230.0,-4.0,-8.0,-9.0
2893.0,2802.0,2871.0,3159.0,3039.0,0.965332,0.063843,-0.253052,-0.00061,0.0,-1.0,-1.0,4828.0,1247.0,6142.0,826.0,234.0,-933.0,1168.0,319.0,-373.0,0.48848,0.123568,0.863755,9692.0,2604.0,12282.0,1.0,-11.0,-12.0
2883.0,2805.0,2866.0,3153.0,3055.0,0.965027,0.064087,-0.254211,-0.000793,-1.0,-1.0,-1.0,4861.0,1258.0,6153.0,842.0,241.0,-912.0,1173.0,322.0,-343.0,0.49054,0.124095,0.862547,9812.0,2450.0,12324.0,-20.0,-1.0,-9.0
2881.0,2803.0,2865.0,3150.0,3051.0,0.964844,0.064148,-0.2547,-0.000793,-1.0,0.0,-1.0,4856.0,1243.0,6147.0,830.0,225.0,-913.0,1164.0,307.0,-351.0,0.491389,0.12419,0.861937,9666.0,2366.0,12256.0,-13.0,7.0,-6.0
2879.0,2800.0,2875.0,3153.0,3047.0,0.9646,0.064453,-0.255676,-0.000793,0.0,0.0,0.0,4874.0,1249.0,6178.0,834.0,227.0,-874.0,1148.0,304.0,-312.0,0.493148,0.124749,0.860928,9820.0,2584.0,12482.0,11.0,11.0,2.0
2894.0,2803.0,2869.0,3157.0,3053.0,0.964478,0.064636,-0.256165,-0.000793,0.0,0.0,0.0,4876.0,1262.0,6181.0,828.0,237.0,-867.0,1140.0,314.0,-307.0,0.494027,0.125087,0.860419,9732.0,2584.0,12336.0,9.0,20.0,4.0
2879.0,2798.0,2867.0,3153.0,3039.0,0.964233,0.065002,-0.256958,-0.000732,0.0,0.0,-1.0,4825.0,1260.0,6161.0,766.0,230.0,-879.0,1093.0,311.0,-347.0,0.49544,0.125731,0.859494,9382.0,2480.0,12196.0,8.0,16.0,-2.0
2879.0,2803.0,2871.0,3151.0,3038.0,0.96405,0.065247,-0.257385,-0.000732,0.0,-1.0,-1.0,4795.0,1257.0,6148.0,730.0,223.0,-888.0,1066.0,306.0,-372.0,0.496169,0.126179,0.858889,9446.0,2504.0,12240.0,16.0,-9.0,-5.0
2879.0,2799.0,2879.0,3147.0,3053.0,0.963745,0.065735,-0.258606,-0.000732,0.0,-1.0,0.0,4821.0,1291.0,6171.0,738.0,249.0,-854.0,1056.0,328.0,-332.0,0.498364,0.127082,0.857607,9754.0,2716.0,12354.0,17.0,-22.0,6.0
