flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2885.0,2829.0,2886.0,3131.0,3043.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2877.0,2833.0,2893.0,3147.0,3056.0,0.863708,-0.005188,-0.503906,0.002869,0.0,0.0,0.0,7784.0,-132.0,1048.0,653.0,-34.0,-2982.0,2917.0,-45.0,-898.0,0.870426,-0.011853,0.492052,15364.0,-378.0,1932.0,4.0,7.0,7.0
2887.0,2815.0,2910.0,3126.0,3025.0,0.862244,-0.005188,-0.50647,0.003052,0.0,-2.0,0.0,7776.0,-159.0,1044.0,621.0,-60.0,-2944.0,2873.0,-70.0,-890.0,0.873369,-0.012038,0.486935,15760.0,-374.0,2152.0,18.0,-27.0,9.0
2891.0,2827.0,2895.0,3135.0,3027.0,0.861511,-0.005188,-0.50769,0.003174,0.0,-1.0,0.0,7819.0,-156.0,1053.0,653.0,-56.0,-2915.0,2866.0,-65.0,-840.0,0.874729,-0.012162,0.484435,15872.0,-274.0,2158.0,19.0,-11.0,5.0
2886.0,2807.0,2903.0,3131.0,3037.0,0.860168,-0.005127,-0.51001,0.003235,0.0,0.0,-1.0,7835.0,-150.0,1054.0,647.0,-50.0,-2876.0,2833.0,-58.0,-811.0,0.877355,-0.01212,0.479764,15660.0,-358.0,2122.0,2.0,12.0,-2.0
2883.0,2823.0,2883.0,3163.0,3043.0,0.859497,-0.005127,-0.511108,0.003174,-1.0,0.0,-1.0,7834.0,-156.0,1051.0,636.0,-57.0,-2860.0,2816.0,-66.0,-806.0,0.87856,-0.012058,0.477487,15666.0,-348.0,2068.0,-3.0,18.0,-7.0
2906.0,2827.0,2883.0,3115.0,3024.0,0.858276,-0.005188,-0.513184,0.003113,0.0,0.0,-1.0,7805.0,-178.0,1056.0,588.0,-78.0,-2820.0,2762.0,-87.0,-815.0,0.880874,-0.0121,0.473264,15460.0,-408.0,2172.0,1.0,19.0,-11.0
2883.0,2814.0,2917.0,3135.0,3051.0,0.857605,-0.005188,-0.514221,0.003113,0.0,0.0,-1.0,7793.0,-191.0,1061.0,567.0,-91.0,-2797.0,2734.0,-100.0,-816.0,0.881965,-0.0121,0.471046,15566.0,-472.0,2172.0,7.0,3.0,-12.0
2916.0,2817.0,2893.0,3135.0,3023.0,0.856262,-0.005127,-0.516418,0.003113,0.0,-1.0,-1.0,7779.0,-155.0,1077.0,534.0,-56.0,-2744.0,2675.0,-65.0,-807.0,0.884347,-0.011995,0.46648,15446.0,-154.0,2178.0,6.0,-7.0,-9.0
2894.0,2832.0,2893.0,3147.0,3039.0,0.855591,-0.005066,-0.517578,0.002991,-1.0,-1.0,-1.0,7781.0,-132.0,1082.0,525.0,-35.0,-2720.0,2652.0,-44.0,-797.0,0.88564,-0.011765,0.464132,15598.0,-156.0,2182.0,-10.0,-18.0,-9.0
2891.0,2837.0,2887.0,3152.0,3051.0,0.854187,-0.005188,-0.519897,0.00293,-1.0,-1.0,-1.0,7821.0,-121.0,1089.0,545.0,-23.0,-2673.0,2624.0,-32.0,-743.0,0.888149,-0.011909,0.459324,15760.0,-164.0,2200.0,-4.0,-7.0,-6.0
2893.0,2831.0,2897.0,3123.0,3051.0,0.853577,-0.005127,-0.520935,0.002869,-1.0,0.0,-1.0,7851.0,-93.0,1099.0,565.0,3.0,-2646.0,2611.0,-6.0,-707.0,0.889287,-0.011741,0.457202,15890.0,-6.0,2292.0,-4.0,10.0,-9.0
2889.0,2823.0,2909.0,3119.0,3039.0,0.852417,-0.005249,-0.522766,0.002686,-2.0,1.0,0.0,7833.0,-80.0,1094.0,532.0,16.0,-2619.0,2575.0,5.0,-713.0,0.891201,-0.011757,0.45331,15460.0,-298.0,2120.0,-28.0,33.0,2.0
2867.0,2815.0,2899.0,3158.0,3039.0,0.851868,-0.005432,-0.523743,0.002625,-1.0,0.0,0.0,7785.0,-104.0,1080.0,475.0,-5.0,-2617.0,2549.0,-17.0,-757.0,0.89229,-0.012004,0.45135,15276.0,-314.0,2108.0,-19.0,21.0,7.0
2883.0,2801.0,2903.0,3143.0,3026.0,0.850586,-0.005615,-0.525818,0.002686,-1.0,-1.0,0.0,7736.0,-144.0,1045.0,408.0,-42.0,-2616.0,2522.0,-55.0,-803.0,0.894476,-0.012377,0.446988,15460.0,-410.0,1986.0,0.0,-17.0,8.0
2893.0,2841.0,2898.0,3139.0,3051.0,0.849854,-0.005676,-0.526917,0.002808,0.0,-1.0,0.0,7745.0,-169.0,1042.0,408.0,-65.0,-2600.0,2509.0,-77.0,-789.0,0.895572,-0.012607,0.444586,15578.0,-502.0,2086.0,14.0,-20.0,6.0
2897.0,2834.0,2894.0,3119.0,3029.0,0.848511,-0.005493,-0.529053,0.002991,1.0,-1.0,-1.0,7802.0,-156.0,1055.0,447.0,-53.0,-2549.0,2485.0,-63.0,-719.0,0.897781,-0.012487,0.440052,15830.0,-206.0,2162.0,28.0,-4.0,-3.0
2878.0,2837.0,2891.0,3135.0,3059.0,0.847961,-0.005371,-0.530029,0.002991,0.0,0.0,-1.0,7854.0,-147.0,1073.0,490.0,-46.0,-2515.0,2475.0,-55.0,-660.0,0.898857,-0.012279,0.438088,16022.0,-232.0,2292.0,21.0,18.0,-9.0
2870.0,2827.0,2893.0,3159.0,3017.0,0.846863,-0.00531,-0.531738,0.002991,-1.0,1.0,-1.0,7811.0,-116.0,1055.0,433.0,-16.0,-2503.0,2442.0,-25.0,-697.0,0.900587,-0.012174,0.434412,15352.0,-186.0,2004.0,-6.0,29.0,-6.0
2864.0,2837.0,2885.0,3107.0,3039.0,0.846313,-0.005371,-0.532654,0.00293,-1.0,0.0,0.0,7791.0,-129.0,1062.0,405.0,-28.0,-2481.0,2412.0,-38.0,-707.0,0.901553,-0.012212,0.432506,15514.0,-362.0,2178.0,-15.0,8.0,0.0
2895.0,2835.0,2889.0,3149.0,3024.0,0.845093,-0.005554,-0.534607,0.002869,-1.0,-1.0,0.0,7791.0,-138.0,1086.0,389.0,-35.0,-2423.0,2356.0,-46.0,-685.0,0.903553,-0.012455,0.428355,15606.0,-286.0,2276.0,-13.0,-9.0,3.0
2893.0,2826.0,2895.0,3135.0,3030.0,0.844482,-0.005676,-0.535583,0.002869,-1.0,-1.0,0.0,7802.0,-156.0,1092.0,391.0,-52.0,-2400.0,2337.0,-63.0,-668.0,0.904549,-0.01266,0.426277,15646.0,-436.0,2230.0,-5.0,-7.0,0.0
2871.0,2819.0,2897.0,3120.0,3029.0,0.843262,-0.005676,-0.537476,0.00293,0.0,-1.0,-1.0,7793.0,-159.0,1116.0,367.0,-54.0,-2342.0,2277.0,-64.0,-655.0,0.906432,-0.012722,0.422187,15610.0,-198.0,2346.0,13.0,-13.0,-1.0
2871.0,2831.0,2906.0,3135.0,3053.0,0.842651,-0.005615,-0.538452,0.002991,-1.0,-1.0,0.0,7827.0,-132.0,1125.0,393.0,-28.0,-2316.0,2266.0,-38.0,-615.0,0.907421,-0.012684,0.420108,15926.0,-106.0,2296.0,-2.0,-13.0,1.0
2886.0,2839.0,2907.0,3134.0,3023.0,0.841492,-0.005798,-0.540222,0.00293,-1.0,0.0,0.0,7838.0,-163.0,1081.0,390.0,-57.0,-2328.0,2278.0,-67.0,-613.0,0.909151,-0.012924,0.416243,15478.0,-470.0,2002.0,-10.0,20.0,2.0
2881.0,2815.0,2891.0,3127.0,3055.0,0.840942,-0.005859,-0.541077,0.00293,0.0,0.0,-1.0,7828.0,-185.0,1068.0,373.0,-78.0,-2326.0,2271.0,-89.0,-623.0,0.909994,-0.013025,0.414394,15626.0,-492.0,2060.0,1.0,16.0,-4.0
2863.0,2815.0,2877.0,3143.0,3007.0,0.839844,-0.005859,-0.542786,0.002991,0.0,-1.0,-1.0,7771.0,-168.0,1062.0,302.0,-60.0,-2302.0,2222.0,-71.0,-669.0,0.911675,-0.013089,0.410696,15432.0,-234.0,2116.0,8.0,-1.0,-5.0
2879.0,2832.0,2891.0,3115.0,3055.0,0.839233,-0.005798,-0.543701,0.002991,-1.0,-1.0,-1.0,7763.0,-151.0,1068.0,287.0,-44.0,-2279.0,2197.0,-55.0,-668.0,0.91255,-0.012984,0.408677,15488.0,-218.0,2204.0,0.0,-11.0,-2.0
2863.0,2811.0,2871.0,3131.0,3039.0,0.838074,-0.005859,-0.545532,0.002991,0.0,-1.0,-1.0,7786.0,-165.0,1070.0,295.0,-57.0,-2245.0,2172.0,-68.0,-638.0,0.914357,-0.013084,0.404737,15702.0,-400.0,2124.0,9.0,-7.0,-8.0
2895.0,2805.0,2892.0,3138.0,3025.0,0.837524,-0.005737,-0.546387,0.002991,1.0,0.0,-1.0,7810.0,-163.0,1077.0,312.0,-57.0,-2223.0,2160.0,-67.0,-609.0,0.91519,-0.012878,0.402885,15772.0,-306.0,2182.0,23.0,7.0,-16.0
