flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2887.0,2823.0,2891.0,3135.0,3029.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2894.0,2815.0,2898.0,3151.0,3043.0,0.886841,0.030334,-0.46106,0.004517,0.0,-1.0,0.0,7523.0,447.0,2191.0,821.0,40.0,-2503.0,2516.0,168.0,-760.0,0.818047,0.049639,0.573011,15128.0,890.0,4496.0,4.0,-18.0,0.0
2895.0,2823.0,2898.0,3151.0,3038.0,0.88562,0.030518,-0.463318,0.004578,0.0,-1.0,0.0,7518.0,419.0,2187.0,792.0,10.0,-2472.0,2479.0,138.0,-755.0,0.820927,0.049812,0.568749,15004.0,726.0,4328.0,20.0,-21.0,7.0
2885.0,2819.0,2896.0,3127.0,3037.0,0.88501,0.03064,-0.464478,0.0047,1.0,-2.0,0.0,7525.0,423.0,2182.0,787.0,14.0,-2459.0,2467.0,142.0,-745.0,0.822422,0.049867,0.566586,15134.0,928.0,4338.0,31.0,-25.0,9.0
2887.0,2814.0,2899.0,3131.0,3039.0,0.88385,0.031006,-0.466736,0.004761,0.0,-1.0,-1.0,7578.0,476.0,2172.0,816.0,63.0,-2435.0,2466.0,190.0,-692.0,0.825344,0.050365,0.56241,15274.0,968.0,4260.0,2.0,0.0,-1.0
2886.0,2827.0,2911.0,3151.0,3039.0,0.883301,0.031067,-0.467773,0.004761,-1.0,0.0,0.0,7565.0,460.0,2148.0,792.0,46.0,-2443.0,2461.0,174.0,-712.0,0.826665,0.050429,0.560466,14976.0,784.0,4110.0,-6.0,6.0,3.0
2892.0,2823.0,2897.0,3141.0,3045.0,0.882141,0.031067,-0.46991,0.004883,0.0,-1.0,0.0,7527.0,402.0,2130.0,732.0,-9.0,-2428.0,2421.0,120.0,-744.0,0.829357,0.050222,0.556417,15044.0,644.0,4258.0,5.0,-9.0,5.0
2875.0,2815.0,2895.0,3135.0,3045.0,0.881592,0.031128,-0.470947,0.004944,0.0,-1.0,0.0,7535.0,378.0,2128.0,730.0,-33.0,-2414.0,2411.0,95.0,-733.0,0.830674,0.050228,0.554468,15126.0,608.0,4292.0,13.0,-3.0,6.0
2885.0,2819.0,2897.0,3127.0,3037.0,0.880493,0.031372,-0.472961,0.005188,1.0,-1.0,0.0,7517.0,372.0,2131.0,691.0,-40.0,-2379.0,2363.0,88.0,-736.0,0.833204,0.050338,0.550618,15026.0,778.0,4334.0,24.0,0.0,6.0
2896.0,2823.0,2899.0,3152.0,3051.0,0.879944,0.031494,-0.473938,0.005249,0.0,-1.0,-1.0,7522.0,386.0,2143.0,686.0,-27.0,-2352.0,2339.0,100.0,-719.0,0.834408,0.050451,0.54872,15102.0,832.0,4348.0,16.0,-5.0,-1.0
2893.0,2814.0,2896.0,3143.0,3039.0,0.878967,0.031738,-0.47583,0.005249,0.0,0.0,-1.0,7560.0,418.0,2162.0,704.0,1.0,-2304.0,2311.0,126.0,-666.0,0.836811,0.050799,0.545189,15162.0,1034.0,4384.0,12.0,16.0,-9.0
2887.0,2823.0,2895.0,3135.0,3039.0,0.878479,0.03186,-0.476685,0.005188,0.0,0.0,-1.0,7558.0,443.0,2179.0,694.0,24.0,-2273.0,2280.0,147.0,-652.0,0.837845,0.051031,0.543509,15066.0,1022.0,4458.0,5.0,17.0,-11.0
2887.0,2815.0,2897.0,3127.0,3037.0,0.877502,0.031921,-0.478455,0.005127,-1.0,0.0,0.0,7564.0,458.0,2212.0,682.0,39.0,-2212.0,2224.0,158.0,-619.0,0.840017,0.051116,0.540099,15158.0,918.0,4478.0,-14.0,7.0,6.0
2886.0,2826.0,2899.0,3153.0,3039.0,0.877014,0.031921,-0.47937,0.005127,-1.0,0.0,0.0,7563.0,452.0,2213.0,672.0,33.0,-2197.0,2208.0,152.0,-615.0,0.841156,0.051076,0.538365,15066.0,854.0,4436.0,-7.0,5.0,6.0
2890.0,2813.0,2911.0,3153.0,3038.0,0.875977,0.032043,-0.481262,0.005249,0.0,-2.0,0.0,7523.0,431.0,2219.0,613.0,12.0,-2161.0,2149.0,130.0,-637.0,0.843485,0.051086,0.534722,14994.0,870.0,4518.0,10.0,-24.0,3.0
2893.0,2815.0,2887.0,3143.0,3039.0,0.875427,0.032166,-0.482239,0.005249,0.0,-2.0,0.0,7537.0,432.0,2232.0,617.0,12.0,-2132.0,2128.0,129.0,-614.0,0.844668,0.051255,0.532812,15182.0,890.0,4526.0,12.0,-28.0,3.0
2887.0,2823.0,2898.0,3121.0,3031.0,0.874329,0.032349,-0.484253,0.00531,0.0,-1.0,-1.0,7553.0,440.0,2241.0,613.0,18.0,-2092.0,2095.0,133.0,-586.0,0.847136,0.051424,0.528931,15160.0,918.0,4448.0,9.0,-20.0,-4.0
2879.0,2821.0,2915.0,3163.0,3029.0,0.873779,0.032471,-0.485168,0.00531,0.0,-1.0,-1.0,7557.0,445.0,2231.0,608.0,22.0,-2086.0,2088.0,137.0,-582.0,0.848205,0.051592,0.527076,15134.0,932.0,4390.0,9.0,-14.0,-4.0
2885.0,2813.0,2907.0,3126.0,3054.0,0.872681,0.032654,-0.487122,0.005249,0.0,-1.0,-1.0,7566.0,439.0,2185.0,598.0,14.0,-2101.0,2099.0,130.0,-589.0,0.850546,0.051879,0.523245,15190.0,816.0,4268.0,3.0,-16.0,-5.0
2891.0,2823.0,2897.0,3134.0,3035.0,0.872131,0.032715,-0.488098,0.005249,-1.0,-1.0,-1.0,7567.0,430.0,2161.0,589.0,4.0,-2109.0,2102.0,121.0,-597.0,0.851715,0.051939,0.521331,15134.0,808.0,4166.0,0.0,-11.0,-6.0
