flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2875.0,2765.0,2831.0,3135.0,3035.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2871.0,2771.0,2847.0,3121.0,3047.0,0.87146,0.043762,-0.488464,0.003662,0.0,-1.0,0.0,7660.0,648.0,1222.0,683.0,52.0,-3029.0,2932.0,268.0,-986.0,0.851675,0.072696,0.518943,15160.0,1340.0,2572.0,11.0,-1.0,4.0
2885.0,2777.0,2851.0,3135.0,3039.0,0.870056,0.043945,-0.491028,0.003784,0.0,-1.0,0.0,7733.0,661.0,1309.0,730.0,65.0,-2901.0,2852.0,270.0,-862.0,0.854776,0.072754,0.513972,15780.0,1404.0,2884.0,3.0,-16.0,14.0
2883.0,2775.0,2835.0,3151.0,3045.0,0.869324,0.044067,-0.492188,0.003845,-1.0,-1.0,0.0,7777.0,675.0,1340.0,763.0,78.0,-2850.0,2827.0,278.0,-799.0,0.856079,0.072833,0.511548,15816.0,1430.0,2836.0,-2.0,0.0,13.0
2883.0,2775.0,2826.0,3135.0,3055.0,0.868164,0.044189,-0.494324,0.003906,-1.0,1.0,0.0,7782.0,676.0,1348.0,747.0,79.0,-2808.0,2787.0,277.0,-777.0,0.858653,0.072865,0.507415,15464.0,1332.0,2642.0,-2.0,28.0,7.0
2879.0,2751.0,2833.0,3134.0,3027.0,0.867554,0.044312,-0.495361,0.003906,-1.0,1.0,0.0,7747.0,669.0,1317.0,703.0,70.0,-2822.0,2778.0,271.0,-816.0,0.859851,0.073015,0.505318,15214.0,1302.0,2410.0,-1.0,23.0,10.0
2895.0,2771.0,2815.0,3135.0,3039.0,0.866211,0.044434,-0.497681,0.004028,0.0,-1.0,0.0,7672.0,632.0,1261.0,605.0,34.0,-2840.0,2751.0,241.0,-897.0,0.862551,0.072968,0.500677,15294.0,1100.0,2446.0,13.0,-17.0,5.0
2893.0,2751.0,2837.0,3131.0,3056.0,0.865479,0.044617,-0.498901,0.00415,1.0,-1.0,0.0,7694.0,630.0,1262.0,616.0,31.0,-2819.0,2741.0,237.0,-869.0,0.863947,0.073088,0.498177,15552.0,1326.0,2542.0,33.0,-19.0,6.0
2883.0,2780.0,2834.0,3134.0,3061.0,0.864075,0.045105,-0.501282,0.004272,0.0,-1.0,0.0,7725.0,691.0,1272.0,625.0,87.0,-2769.0,2703.0,290.0,-817.0,0.866675,0.073665,0.493326,15536.0,1494.0,2574.0,7.0,-6.0,4.0
2883.0,2768.0,2851.0,3151.0,3035.0,0.863464,0.045166,-0.50238,0.004272,-1.0,0.0,0.0,7757.0,695.0,1283.0,646.0,91.0,-2740.0,2691.0,291.0,-778.0,0.867961,0.073706,0.491163,15742.0,1374.0,2604.0,-8.0,3.0,7.0
2887.0,2763.0,2823.0,3147.0,3046.0,0.862305,0.045288,-0.504395,0.004272,-1.0,1.0,0.0,7768.0,662.0,1278.0,638.0,57.0,-2712.0,2668.0,255.0,-761.0,0.87027,0.073794,0.487123,15432.0,1218.0,2518.0,-9.0,37.0,3.0
2879.0,2763.0,2805.0,3155.0,3043.0,0.861694,0.045288,-0.50531,0.004272,-1.0,1.0,0.0,7747.0,641.0,1275.0,609.0,36.0,-2699.0,2645.0,234.0,-776.0,0.871233,0.073731,0.485146,15406.0,1156.0,2596.0,-5.0,31.0,3.0
2864.0,2751.0,2829.0,3107.0,3056.0,0.860657,0.04541,-0.507141,0.004395,0.0,1.0,0.0,7740.0,637.0,1293.0,585.0,33.0,-2651.0,2595.0,229.0,-763.0,0.873348,0.073708,0.481495,15346.0,1312.0,2618.0,1.0,39.0,9.0
2879.0,2783.0,2849.0,3149.0,3071.0,0.860107,0.045471,-0.508057,0.004395,-1.0,1.0,0.0,7705.0,633.0,1291.0,542.0,28.0,-2638.0,2565.0,225.0,-789.0,0.874366,0.073755,0.479615,15230.0,1222.0,2596.0,-3.0,25.0,10.0
2865.0,2764.0,2835.0,3135.0,3045.0,0.858887,0.045593,-0.510071,0.004517,0.0,-1.0,0.0,7678.0,649.0,1331.0,496.0,45.0,-2563.0,2480.0,238.0,-780.0,0.876598,0.073711,0.475456,15424.0,1446.0,2868.0,2.0,-16.0,7.0
2877.0,2769.0,2834.0,3135.0,3051.0,0.858215,0.045715,-0.511169,0.004517,-1.0,-1.0,0.0,7712.0,658.0,1352.0,521.0,53.0,-2524.0,2459.0,242.0,-733.0,0.8778,0.07385,0.47317,15664.0,1354.0,2794.0,-6.0,-22.0,3.0
2865.0,2759.0,2831.0,3138.0,3023.0,0.856934,0.045715,-0.513306,0.004517,-1.0,-1.0,0.0,7753.0,645.0,1355.0,542.0,41.0,-2485.0,2439.0,225.0,-684.0,0.880151,0.073713,0.468783,15596.0,1244.0,2694.0,-5.0,-7.0,10.0
2879.0,2759.0,2827.0,3131.0,3039.0,0.856323,0.045776,-0.514343,0.004578,-1.0,0.0,0.0,7783.0,639.0,1343.0,563.0,35.0,-2479.0,2445.0,218.0,-658.0,0.881307,0.07369,0.466666,15774.0,1234.0,2586.0,-1.0,6.0,6.0
2867.0,2753.0,2833.0,3143.0,3031.0,0.855286,0.046021,-0.516113,0.004639,0.0,2.0,-1.0,7804.0,616.0,1290.0,568.0,10.0,-2503.0,2473.0,196.0,-656.0,0.883276,0.073933,0.463044,15676.0,1154.0,2416.0,15.0,49.0,-3.0
2874.0,2755.0,2829.0,3127.0,3047.0,0.854797,0.046204,-0.516785,0.0047,1.0,3.0,-1.0,7765.0,628.0,1254.0,523.0,20.0,-2526.0,2473.0,210.0,-701.0,0.883927,0.074132,0.461499,15140.0,1380.0,2268.0,23.0,75.0,-7.0
2887.0,2768.0,2832.0,3135.0,3039.0,0.853821,0.04657,-0.518372,0.004639,0.0,0.0,-1.0,7667.0,641.0,1223.0,411.0,28.0,-2530.0,2426.0,224.0,-793.0,0.885625,0.074715,0.458154,15296.0,1272.0,2544.0,6.0,22.0,-10.0
2879.0,2757.0,2830.0,3127.0,3043.0,0.853333,0.046692,-0.519287,0.004639,0.0,0.0,-1.0,7677.0,665.0,1256.0,413.0,51.0,-2482.0,2385.0,243.0,-762.0,0.886682,0.07487,0.456359,15408.0,1540.0,2704.0,6.0,19.0,-2.0
2882.0,2756.0,2833.0,3135.0,3043.0,0.852234,0.046875,-0.520996,0.004639,-1.0,0.0,0.0,7707.0,680.0,1337.0,428.0,65.0,-2371.0,2296.0,248.0,-688.0,0.888456,0.075063,0.45269,15516.0,1406.0,2938.0,-5.0,5.0,7.0
2869.0,2751.0,2831.0,3143.0,3051.0,0.851685,0.046936,-0.521912,0.004639,-1.0,0.0,0.0,7728.0,688.0,1375.0,441.0,72.0,-2317.0,2255.0,250.0,-646.0,0.889444,0.075107,0.450793,15610.0,1468.0,2982.0,-4.0,3.0,15.0
2891.0,2769.0,2829.0,3123.0,3055.0,0.850647,0.046997,-0.523621,0.004761,0.0,0.0,0.0,7766.0,671.0,1405.0,464.0,56.0,-2258.0,2216.0,228.0,-592.0,0.89128,0.07497,0.447236,15606.0,1236.0,2816.0,2.0,13.0,13.0
2882.0,2775.0,2847.0,3139.0,3029.0,0.850098,0.047058,-0.524475,0.004822,0.0,0.0,0.0,7759.0,668.0,1384.0,450.0,54.0,-2264.0,2217.0,227.0,-602.0,0.892164,0.07495,0.445401,15448.0,1358.0,2644.0,10.0,17.0,13.0
2881.0,2761.0,2847.0,3137.0,3031.0,0.848999,0.04718,-0.526184,0.004944,0.0,-1.0,0.0,7685.0,640.0,1326.0,361.0,26.0,-2292.0,2206.0,206.0,-687.0,0.893926,0.074909,0.441728,15246.0,1070.0,2500.0,1.0,-5.0,9.0
2879.0,2735.0,2831.0,3127.0,3055.0,0.84845,0.047302,-0.527161,0.005066,0.0,-1.0,0.0,7685.0,627.0,1320.0,353.0,13.0,-2282.0,2196.0,193.0,-686.0,0.895018,0.074926,0.439757,15372.0,1244.0,2590.0,18.0,-5.0,10.0
2869.0,2754.0,2823.0,3143.0,3027.0,0.84729,0.047546,-0.528992,0.005127,0.0,-1.0,0.0,7691.0,661.0,1313.0,343.0,45.0,-2257.0,2170.0,224.0,-672.0,0.896906,0.075147,0.435834,15448.0,1328.0,2576.0,1.0,-7.0,6.0
2889.0,2758.0,2826.0,3127.0,3043.0,0.84668,0.047607,-0.529907,0.005188,-1.0,-1.0,0.0,7718.0,643.0,1316.0,363.0,27.0,-2237.0,2163.0,204.0,-642.0,0.897817,0.075118,0.433825,15614.0,1170.0,2668.0,-2.0,-8.0,10.0
2886.0,2769.0,2829.0,3127.0,3071.0,0.845642,0.047668,-0.531616,0.005249,-1.0,0.0,0.0,7765.0,652.0,1339.0,395.0,37.0,-2185.0,2132.0,208.0,-581.0,0.899615,0.07504,0.43025,15594.0,1350.0,2748.0,-1.0,15.0,0.0
2874.0,2761.0,2832.0,3139.0,3051.0,0.845154,0.047791,-0.532349,0.005188,-1.0,1.0,-1.0,7769.0,648.0,1343.0,393.0,31.0,-2168.0,2118.0,201.0,-573.0,0.900329,0.075257,0.428633,15558.0,1244.0,2684.0,0.0,24.0,-6.0
2879.0,2767.0,2847.0,3111.0,3051.0,0.844238,0.048035,-0.533813,0.005188,0.0,0.0,-1.0,7745.0,656.0,1352.0,357.0,36.0,-2133.0,2072.0,205.0,-582.0,0.90183,0.075567,0.425501,15412.0,1348.0,2776.0,8.0,22.0,-4.0
2875.0,2769.0,2835.0,3147.0,3045.0,0.84375,0.048157,-0.534546,0.005249,0.0,0.0,-1.0,7734.0,656.0,1357.0,340.0,36.0,-2115.0,2050.0,205.0,-586.0,0.902552,0.075653,0.423883,15344.0,1320.0,2744.0,10.0,18.0,-2.0
2887.0,2762.0,2831.0,3143.0,3039.0,0.842651,0.048462,-0.536194,0.00531,0.0,-2.0,0.0,7664.0,657.0,1360.0,257.0,34.0,-2082.0,1987.0,204.0,-639.0,0.904164,0.075979,0.420237,15238.0,1322.0,2810.0,18.0,-26.0,1.0
2879.0,2758.0,2843.0,3122.0,3031.0,0.842041,0.048584,-0.53717,0.00531,0.0,-2.0,0.0,7682.0,664.0,1386.0,266.0,40.0,-2039.0,1953.0,206.0,-608.0,0.905155,0.076115,0.418149,15488.0,1376.0,2926.0,17.0,-41.0,5.0
2886.0,2769.0,2846.0,3135.0,3031.0,0.840759,0.048828,-0.539124,0.00531,-1.0,-3.0,0.0,7700.0,680.0,1382.0,269.0,54.0,-2008.0,1928.0,218.0,-582.0,0.907065,0.07638,0.413866,15564.0,1252.0,2718.0,-5.0,-58.0,1.0
2886.0,2770.0,2828.0,3137.0,3037.0,0.840088,0.048889,-0.540161,0.00531,-1.0,-3.0,-1.0,7741.0,648.0,1390.0,301.0,22.0,-1981.0,1920.0,182.0,-540.0,0.908085,0.076406,0.411612,15740.0,1094.0,2796.0,-2.0,-48.0,-3.0
