flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2878.0,2759.0,2831.0,3152.0,3039.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864.0,2755.0,2815.0,3135.0,3051.0,0.883057,0.026855,-0.468384,0.008179,-1.0,0.0,-1.0,7525.0,302.0,2012.0,744.0,-23.0,-2573.0,2545.0,110.0,-825.0,0.827658,0.039768,0.559751,14888.0,466.0,4040.0,-15.0,13.0,-6.0
2878.0,2751.0,2815.0,3135.0,3047.0,0.881897,0.026855,-0.470581,0.00824,0.0,-1.0,0.0,7584.0,305.0,2050.0,780.0,-19.0,-2501.0,2509.0,110.0,-742.0,0.830451,0.039613,0.555642,15508.0,706.0,4230.0,3.0,-7.0,7.0
2870.0,2751.0,2831.0,3151.0,3023.0,0.881348,0.026917,-0.471619,0.00824,-1.0,0.0,0.0,7627.0,322.0,2065.0,813.0,-3.0,-2470.0,2503.0,124.0,-691.0,0.831764,0.039674,0.553693,15506.0,746.0,4196.0,-6.0,12.0,14.0
2877.0,2763.0,2831.0,3143.0,3057.0,0.880371,0.026855,-0.47345,0.008301,-1.0,2.0,0.0,7639.0,329.0,2060.0,806.0,6.0,-2447.0,2483.0,132.0,-673.0,0.834069,0.039426,0.550246,15322.0,682.0,4108.0,-11.0,46.0,5.0
2883.0,2751.0,2815.0,3153.0,3039.0,0.879944,0.026855,-0.474182,0.008301,-1.0,3.0,0.0,7647.0,335.0,2052.0,807.0,12.0,-2443.0,2481.0,137.0,-666.0,0.834953,0.03939,0.5488,15318.0,668.0,4008.0,-18.0,69.0,5.0
2871.0,2755.0,2829.0,3141.0,3027.0,0.879211,0.026672,-0.475586,0.00824,-2.0,1.0,-1.0,7507.0,300.0,1996.0,652.0,-20.0,-2478.0,2428.0,108.0,-808.0,0.836721,0.039064,0.546187,14468.0,430.0,3810.0,-24.0,45.0,-4.0
2874.0,2759.0,2823.0,3151.0,3047.0,0.878662,0.026611,-0.476562,0.00824,-1.0,-1.0,-1.0,7468.0,279.0,2008.0,603.0,-39.0,-2450.0,2381.0,88.0,-829.0,0.837913,0.038911,0.544295,14838.0,478.0,4164.0,-6.0,-9.0,-9.0
2885.0,2768.0,2815.0,3127.0,3039.0,0.877502,0.026794,-0.47876,0.00824,0.0,-2.0,0.0,7542.0,308.0,2115.0,655.0,-12.0,-2309.0,2294.0,107.0,-697.0,0.840667,0.039135,0.54015,15354.0,764.0,4546.0,13.0,-28.0,2.0
2869.0,2761.0,2821.0,3151.0,3031.0,0.876953,0.026917,-0.479797,0.00824,0.0,-1.0,-1.0,7584.0,320.0,2157.0,686.0,-1.0,-2251.0,2263.0,115.0,-633.0,0.841963,0.039302,0.538185,15450.0,722.0,4556.0,14.0,-20.0,-3.0
2877.0,2754.0,2839.0,3139.0,3014.0,0.875916,0.027161,-0.481567,0.00824,-1.0,1.0,0.0,7664.0,391.0,2220.0,749.0,66.0,-2159.0,2219.0,176.0,-519.0,0.844072,0.039645,0.534651,15440.0,972.0,4428.0,-9.0,26.0,2.0
2859.0,2751.0,2838.0,3159.0,3034.0,0.875549,0.0271,-0.4823,0.008179,-2.0,1.0,0.0,7659.0,380.0,2190.0,736.0,55.0,-2178.0,2229.0,166.0,-537.0,0.844998,0.039565,0.533306,15230.0,626.0,4130.0,-30.0,44.0,4.0
2879.0,2759.0,2829.0,3147.0,3039.0,0.874634,0.026855,-0.483948,0.008179,-1.0,1.0,0.0,7562.0,308.0,2054.0,623.0,-11.0,-2288.0,2267.0,107.0,-685.0,0.846993,0.039061,0.530124,14754.0,496.0,3656.0,-9.0,28.0,10.0
