flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2895.0,2743.0,2833.0,3067.0,3039.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2896.0,2753.0,2831.0,3071.0,3053.0,0.858765,-0.014587,-0.512024,0.010437,-1.0,-2.0,0.0,7886.0,-392.0,791.0,684.0,-99.0,-3101.0,3053.0,-121.0,-868.0,0.879112,-0.035742,0.475204,16044.0,-780.0,1582.0,-22.0,-44.0,12.0
2891.0,2765.0,2818.0,3045.0,3023.0,0.857178,-0.015015,-0.514709,0.010437,-1.0,0.0,0.0,7930.0,-402.0,757.0,703.0,-103.0,-3090.0,3058.0,-125.0,-827.0,0.882082,-0.036485,0.469711,15824.0,-918.0,1394.0,-17.0,13.0,6.0
2899.0,2763.0,2843.0,3062.0,3051.0,0.856445,-0.015076,-0.515869,0.010437,0.0,1.0,-1.0,7874.0,-418.0,711.0,637.0,-118.0,-3116.0,3052.0,-143.0,-888.0,0.883313,-0.036591,0.467259,15332.0,-938.0,1104.0,1.0,26.0,-13.0
2898.0,2754.0,2833.0,3051.0,3045.0,0.854919,-0.015076,-0.518433,0.010315,0.0,-2.0,-1.0,7753.0,-410.0,679.0,493.0,-111.0,-3105.0,2981.0,-141.0,-993.0,0.886125,-0.036472,0.461994,15408.0,-660.0,1408.0,6.0,-39.0,-12.0
2879.0,2751.0,2807.0,3047.0,3029.0,0.854065,-0.015137,-0.519836,0.010315,-1.0,-3.0,-1.0,7757.0,-374.0,699.0,485.0,-74.0,-3061.0,2941.0,-104.0,-972.0,0.887636,-0.03658,0.459074,15544.0,-580.0,1488.0,-13.0,-53.0,-5.0
2891.0,2747.0,2827.0,3063.0,3045.0,0.852234,-0.015381,-0.522888,0.010132,-1.0,-4.0,-1.0,7773.0,-412.0,705.0,474.0,-110.0,-3003.0,2892.0,-141.0,-933.0,0.890934,-0.036812,0.452757,15662.0,-948.0,1388.0,-7.0,-83.0,-6.0
2894.0,2762.0,2832.0,3057.0,3019.0,0.851257,-0.015442,-0.524414,0.010193,0.0,-4.0,-1.0,7827.0,-414.0,715.0,515.0,-111.0,-2967.0,2881.0,-139.0,-869.0,0.892508,-0.036981,0.449494,16082.0,-812.0,1540.0,9.0,-85.0,-6.0
2891.0,2746.0,2851.0,3055.0,3047.0,0.849548,-0.015503,-0.527161,0.010193,-1.0,-1.0,0.0,7954.0,-386.0,725.0,619.0,-82.0,-2909.0,2881.0,-106.0,-733.0,0.895381,-0.037088,0.443698,16058.0,-734.0,1380.0,-13.0,-3.0,6.0
2895.0,2751.0,2832.0,3069.0,3047.0,0.848877,-0.015686,-0.528259,0.010132,-2.0,1.0,0.0,7937.0,-399.0,700.0,592.0,-93.0,-2915.0,2876.0,-119.0,-752.0,0.896536,-0.037336,0.441391,15688.0,-938.0,1224.0,-25.0,28.0,3.0
2883.0,2768.0,2851.0,3063.0,3031.0,0.847534,-0.01593,-0.530334,0.010132,0.0,1.0,-1.0,7838.0,-445.0,651.0,476.0,-135.0,-2928.0,2841.0,-166.0,-846.0,0.89863,-0.037749,0.436908,15386.0,-918.0,1216.0,8.0,24.0,-17.0
2887.0,2747.0,2833.0,3059.0,3031.0,0.846863,-0.015869,-0.531433,0.010071,0.0,0.0,-1.0,7790.0,-452.0,645.0,418.0,-144.0,-2915.0,2806.0,-176.0,-885.0,0.899782,-0.037582,0.434605,15322.0,-958.0,1234.0,20.0,8.0,-21.0
2887.0,2768.0,2833.0,3063.0,3047.0,0.845398,-0.015747,-0.533813,0.010071,0.0,-2.0,-1.0,7776.0,-391.0,699.0,384.0,-84.0,-2820.0,2711.0,-115.0,-861.0,0.902252,-0.037377,0.429594,15506.0,-534.0,1542.0,1.0,-41.0,-1.0
2886.0,2755.0,2843.0,3071.0,3019.0,0.844543,-0.015869,-0.535156,0.010071,-2.0,-4.0,0.0,7795.0,-365.0,734.0,392.0,-57.0,-2761.0,2664.0,-87.0,-821.0,0.903606,-0.037583,0.426711,15828.0,-644.0,1708.0,-26.0,-71.0,8.0
2889.0,2755.0,2847.0,3055.0,3031.0,0.842773,-0.016357,-0.537903,0.010071,-2.0,-3.0,0.0,7941.0,-381.0,784.0,516.0,-66.0,-2662.0,2631.0,-92.0,-649.0,0.906331,-0.038405,0.420761,16456.0,-782.0,1682.0,-25.0,-54.0,21.0
2887.0,2763.0,2847.0,3067.0,3055.0,0.842041,-0.016479,-0.539062,0.010071,-1.0,0.0,0.0,8011.0,-377.0,784.0,576.0,-60.0,-2642.0,2640.0,-84.0,-580.0,0.907494,-0.03861,0.418275,16332.0,-742.0,1484.0,-13.0,5.0,13.0
2891.0,2768.0,2833.0,3051.0,3051.0,0.840881,-0.016602,-0.540833,0.01001,0.0,2.0,-1.0,7916.0,-414.0,682.0,467.0,-96.0,-2712.0,2661.0,-126.0,-695.0,0.90922,-0.038747,0.414406,15350.0,-930.0,1016.0,13.0,51.0,-19.0
2879.0,2751.0,2827.0,3055.0,3053.0,0.840271,-0.016541,-0.541748,0.01001,1.0,1.0,-2.0,7805.0,-443.0,608.0,349.0,-126.0,-2770.0,2666.0,-160.0,-819.0,0.910099,-0.038643,0.412391,14906.0,-1052.0,782.0,29.0,30.0,-24.0
2896.0,2759.0,2832.0,3059.0,3039.0,0.838745,-0.016235,-0.544189,0.010132,1.0,-3.0,-1.0,7695.0,-449.0,554.0,219.0,-135.0,-2781.0,2628.0,-172.0,-927.0,0.912544,-0.038262,0.40719,15442.0,-754.0,1144.0,44.0,-68.0,-19.0
2891.0,2761.0,2843.0,3063.0,3045.0,0.83783,-0.016113,-0.545593,0.010193,0.0,-4.0,-1.0,7762.0,-420.0,591.0,275.0,-107.0,-2719.0,2597.0,-140.0,-843.0,0.9139,-0.038123,0.404131,16056.0,-648.0,1452.0,20.0,-79.0,-7.0
2891.0,2743.0,2837.0,3063.0,3047.0,0.836304,-0.016357,-0.547913,0.010132,-2.0,0.0,0.0,7953.0,-394.0,668.0,448.0,-78.0,-2600.0,2562.0,-104.0,-624.0,0.916111,-0.038462,0.399031,16234.0,-822.0,1444.0,-35.0,13.0,15.0
2885.0,2755.0,2837.0,3055.0,3043.0,0.835754,-0.016663,-0.548767,0.010132,-2.0,2.0,0.0,7966.0,-404.0,668.0,454.0,-84.0,-2585.0,2552.0,-111.0,-607.0,0.916931,-0.038972,0.397165,15996.0,-850.0,1348.0,-32.0,48.0,14.0
2881.0,2754.0,2828.0,3055.0,3047.0,0.8349,-0.016968,-0.550049,0.010071,-1.0,4.0,-1.0,7947.0,-413.0,664.0,425.0,-90.0,-2566.0,2525.0,-119.0,-618.0,0.91813,-0.039412,0.394318,15690.0,-840.0,1266.0,-7.0,101.0,-3.0
2887.0,2757.0,2834.0,3059.0,3027.0,0.834534,-0.017029,-0.550598,0.010071,0.0,4.0,-1.0,7847.0,-426.0,622.0,321.0,-102.0,-2598.0,2514.0,-135.0,-722.0,0.918642,-0.039512,0.3931,14950.0,-942.0,958.0,2.0,98.0,-4.0
2893.0,2757.0,2835.0,3067.0,3043.0,0.833374,-0.016846,-0.552368,0.010254,2.0,-2.0,-1.0,7675.0,-469.0,603.0,135.0,-146.0,-2585.0,2433.0,-184.0,-876.0,0.920313,-0.039405,0.389223,15182.0,-852.0,1354.0,68.0,-30.0,-19.0
2882.0,2755.0,2832.0,3056.0,3039.0,0.832581,-0.016479,-0.553528,0.010437,2.0,-3.0,-1.0,7725.0,-411.0,672.0,177.0,-91.0,-2495.0,2368.0,-124.0,-798.0,0.921369,-0.038995,0.386635,15904.0,-408.0,1836.0,66.0,-63.0,-12.0
2882.0,2751.0,2835.0,3055.0,3031.0,0.831116,-0.016418,-0.555786,0.010559,-1.0,-3.0,1.0,7863.0,-347.0,779.0,297.0,-27.0,-2347.0,2282.0,-52.0,-620.0,0.923498,-0.039028,0.381697,16054.0,-706.0,1794.0,-14.0,-49.0,31.0
2890.0,2763.0,2841.0,3055.0,3055.0,0.830383,-0.016663,-0.556824,0.010681,-1.0,-2.0,1.0,7910.0,-359.0,802.0,337.0,-34.0,-2305.0,2260.0,-58.0,-561.0,0.924398,-0.039568,0.37932,16120.0,-828.0,1718.0,-14.0,-36.0,42.0
2877.0,2755.0,2831.0,3057.0,3039.0,0.829102,-0.016846,-0.558716,0.011047,0.0,0.0,1.0,7940.0,-360.0,783.0,353.0,-30.0,-2289.0,2254.0,-52.0,-530.0,0.926092,-0.040278,0.375084,15742.0,-660.0,1382.0,18.0,5.0,26.0
2897.0,2757.0,2831.0,3059.0,3039.0,0.828491,-0.016846,-0.559631,0.011169,0.0,0.0,0.0,7897.0,-370.0,744.0,303.0,-38.0,-2312.0,2257.0,-62.0,-580.0,0.926923,-0.040415,0.373051,15544.0,-842.0,1234.0,18.0,8.0,12.0
2879.0,2754.0,2838.0,3063.0,3043.0,0.827209,-0.016724,-0.561523,0.011414,1.0,-2.0,-1.0,7786.0,-406.0,659.0,178.0,-74.0,-2362.0,2260.0,-102.0,-702.0,0.928613,-0.040486,0.368818,15264.0,-840.0,1088.0,36.0,-23.0,-1.0
2891.0,2765.0,2818.0,3063.0,3055.0,0.826477,-0.016663,-0.562561,0.011475,1.0,-2.0,0.0,7776.0,-406.0,653.0,161.0,-74.0,-2348.0,2243.0,-102.0,-707.0,0.929505,-0.040453,0.366443,15580.0,-788.0,1316.0,26.0,-44.0,2.0
2891.0,2765.0,2839.0,3062.0,3047.0,0.825012,-0.016846,-0.564758,0.011658,-1.0,-2.0,0.0,7868.0,-438.0,645.0,237.0,-102.0,-2316.0,2244.0,-126.0,-612.0,0.931472,-0.040963,0.361545,16018.0,-1076.0,1332.0,-10.0,-28.0,17.0
2889.0,2753.0,2825.0,3059.0,3046.0,0.824341,-0.017029,-0.565674,0.01178,0.0,-1.0,0.0,7877.0,-469.0,626.0,240.0,-129.0,-2318.0,2249.0,-153.0,-604.0,0.932215,-0.041402,0.3594,15712.0,-1096.0,1104.0,3.0,-4.0,18.0
2887.0,2755.0,2832.0,3057.0,3039.0,0.823242,-0.01709,-0.567322,0.011963,0.0,1.0,0.0,7929.0,-454.0,634.0,280.0,-112.0,-2280.0,2230.0,-134.0,-544.0,0.933678,-0.041712,0.355725,16068.0,-806.0,1342.0,13.0,33.0,7.0
2887.0,2763.0,2843.0,3063.0,3051.0,0.822815,-0.017151,-0.567932,0.012024,-1.0,2.0,0.0,7925.0,-433.0,631.0,272.0,-89.0,-2271.0,2219.0,-111.0,-546.0,0.934194,-0.041882,0.354328,15746.0,-758.0,1214.0,-4.0,65.0,17.0
2891.0,2766.0,2843.0,3063.0,3039.0,0.82196,-0.017578,-0.569153,0.012085,-2.0,1.0,0.0,7773.0,-418.0,603.0,111.0,-68.0,-2276.0,2169.0,-97.0,-693.0,0.935217,-0.042653,0.351521,14978.0,-908.0,1092.0,-28.0,32.0,22.0
2871.0,2759.0,2835.0,3051.0,3039.0,0.82135,-0.017761,-0.570007,0.012146,-1.0,-1.0,0.0,7721.0,-436.0,609.0,53.0,-83.0,-2254.0,2130.0,-115.0,-734.0,0.93592,-0.043023,0.34954,15236.0,-960.0,1288.0,-7.0,-17.0,7.0
2887.0,2755.0,2834.0,3059.0,3043.0,0.820068,-0.017639,-0.571838,0.012268,1.0,-1.0,0.0,7864.0,-403.0,705.0,184.0,-51.0,-2124.0,2056.0,-75.0,-558.0,0.93746,-0.042961,0.345352,16236.0,-540.0,1658.0,30.0,-15.0,2.0
2886.0,2759.0,2839.0,3063.0,3053.0,0.819519,-0.017578,-0.572571,0.012329,0.0,0.0,0.0,7912.0,-366.0,733.0,227.0,-14.0,-2081.0,2031.0,-35.0,-501.0,0.938032,-0.04293,0.343617,16000.0,-548.0,1600.0,8.0,17.0,6.0
2879.0,2767.0,2835.0,3063.0,3051.0,0.818604,-0.017639,-0.573914,0.012268,0.0,1.0,-1.0,7894.0,-381.0,725.0,200.0,-29.0,-2064.0,2008.0,-51.0,-513.0,0.939183,-0.042961,0.340574,15748.0,-884.0,1344.0,2.0,30.0,-3.0
2887.0,2759.0,2835.0,3058.0,3039.0,0.818176,-0.017639,-0.574585,0.012329,0.0,1.0,-1.0,7875.0,-416.0,707.0,176.0,-63.0,-2070.0,2006.0,-86.0,-533.0,0.939789,-0.043032,0.339105,15598.0,-1038.0,1338.0,19.0,32.0,-7.0
2883.0,2718.0,2832.0,3051.0,3039.0,0.817139,-0.017395,-0.575989,0.012512,1.0,-1.0,-1.0,7801.0,-416.0,686.0,93.0,-65.0,-2064.0,1975.0,-90.0,-602.0,0.94089,-0.042842,0.335806,15422.0,-788.0,1424.0,42.0,-6.0,-8.0
2891.0,2763.0,2839.0,3062.0,3047.0,0.816528,-0.017273,-0.576843,0.012634,1.0,-2.0,-1.0,7809.0,-402.0,697.0,95.0,-51.0,-2037.0,1951.0,-74.0,-588.0,0.941581,-0.042784,0.333832,15760.0,-714.0,1472.0,38.0,-28.0,-5.0
