flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2873.0,2802.0,2911.0,3134.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2858.0,2801.0,2883.0,3121.0,3027.0,0.903381,0.022827,-0.42804,-0.010498,1.0,0.0,2.0,7319.0,571.0,2963.0,987.0,159.0,-2218.0,2341.0,192.0,-631.0,0.772887,0.05023,0.632469,14632.0,1092.0,5792.0,34.0,19.0,63.0
2878.0,2771.0,2901.0,3153.0,3015.0,0.902527,0.022766,-0.429871,-0.009949,-1.0,1.0,1.0,7297.0,499.0,2869.0,944.0,92.0,-2286.0,2369.0,130.0,-702.0,0.775487,0.049647,0.629347,14366.0,602.0,5384.0,-10.0,30.0,43.0
2875.0,2815.0,2898.0,3151.0,3047.0,0.9021,0.022644,-0.430847,-0.009766,0.0,0.0,1.0,7278.0,453.0,2846.0,913.0,49.0,-2296.0,2359.0,89.0,-729.0,0.776892,0.049269,0.627737,14504.0,710.0,5600.0,5.0,14.0,33.0
2873.0,2815.0,2895.0,3135.0,3019.0,0.901184,0.022766,-0.432739,-0.00946,0.0,0.0,0.0,7291.0,454.0,2832.0,905.0,50.0,-2283.0,2347.0,91.0,-717.0,0.779525,0.049221,0.624441,14596.0,992.0,5668.0,16.0,15.0,17.0
2875.0,2798.0,2869.0,3127.0,3006.0,0.900696,0.022888,-0.433655,-0.009338,0.0,0.0,0.0,7304.0,483.0,2846.0,908.0,78.0,-2255.0,2328.0,119.0,-691.0,0.780755,0.04933,0.62276,14696.0,1194.0,5778.0,8.0,22.0,11.0
2869.0,2785.0,2879.0,3139.0,3025.0,0.899902,0.022949,-0.435303,-0.009399,-1.0,1.0,0.0,7314.0,543.0,2888.0,899.0,137.0,-2190.0,2274.0,176.0,-646.0,0.783028,0.049487,0.619897,14598.0,1176.0,5882.0,-21.0,41.0,7.0
2871.0,2800.0,2910.0,3147.0,3047.0,0.899536,0.022949,-0.436035,-0.009399,-2.0,1.0,0.0,7312.0,564.0,2916.0,889.0,158.0,-2151.0,2238.0,196.0,-625.0,0.784027,0.049484,0.6186,14654.0,1238.0,6020.0,-23.0,44.0,9.0
2865.0,2807.0,2887.0,3127.0,3027.0,0.898865,0.022949,-0.437439,-0.009521,-2.0,1.0,0.0,7277.0,600.0,2973.0,838.0,193.0,-2074.0,2148.0,229.0,-609.0,0.78596,0.049587,0.616169,14428.0,1308.0,6192.0,-23.0,35.0,7.0
2871.0,2811.0,2893.0,3131.0,3055.0,0.898499,0.022949,-0.438171,-0.009521,-1.0,1.0,0.0,7269.0,592.0,3001.0,822.0,185.0,-2036.0,2109.0,221.0,-595.0,0.786956,0.049584,0.614869,14484.0,1106.0,6130.0,-19.0,27.0,5.0
2875.0,2780.0,2879.0,3119.0,3007.0,0.897705,0.023132,-0.43988,-0.009583,0.0,-1.0,0.0,7200.0,574.0,3019.0,733.0,164.0,-1993.0,2023.0,202.0,-632.0,0.789322,0.049962,0.611936,14238.0,1180.0,6080.0,9.0,-20.0,0.0
2878.0,2805.0,2879.0,3139.0,3043.0,0.897217,0.023254,-0.440918,-0.009583,0.0,-2.0,-1.0,7219.0,591.0,3039.0,741.0,179.0,-1959.0,2003.0,216.0,-600.0,0.790752,0.050179,0.61014,14614.0,1298.0,6210.0,8.0,-42.0,-2.0
2878.0,2805.0,2885.0,3147.0,3055.0,0.896179,0.023499,-0.442932,-0.009766,-1.0,-1.0,-1.0,7289.0,607.0,3049.0,789.0,191.0,-1919.0,2002.0,224.0,-528.0,0.793434,0.050769,0.606492,14822.0,1202.0,6134.0,-6.0,-17.0,-12.0
2865.0,2779.0,2881.0,3123.0,3031.0,0.895752,0.023621,-0.443787,-0.009827,-1.0,0.0,-1.0,7305.0,603.0,3042.0,795.0,184.0,-1913.0,2002.0,217.0,-516.0,0.794581,0.051038,0.604964,14664.0,1206.0,6056.0,0.0,8.0,-13.0
2875.0,2799.0,2871.0,3141.0,3025.0,0.894958,0.023865,-0.445312,-0.010071,-1.0,0.0,-1.0,7285.0,627.0,3004.0,759.0,203.0,-1929.0,1995.0,237.0,-546.0,0.796592,0.051685,0.602179,14442.0,1234.0,5858.0,-20.0,22.0,-12.0
2879.0,2807.0,2895.0,3155.0,3043.0,0.894592,0.023865,-0.446106,-0.010193,-2.0,0.0,-1.0,7251.0,608.0,2967.0,716.0,183.0,-1954.0,1990.0,220.0,-593.0,0.797679,0.051793,0.600819,14272.0,1068.0,5670.0,-24.0,11.0,-11.0
2871.0,2805.0,2900.0,3154.0,3039.0,0.893677,0.024048,-0.447937,-0.010315,0.0,-1.0,-1.0,7227.0,589.0,2945.0,672.0,161.0,-1950.0,1963.0,199.0,-619.0,0.800126,0.052223,0.597539,14510.0,1302.0,5938.0,21.0,-22.0,-12.0
2879.0,2799.0,2891.0,3139.0,3024.0,0.893188,0.024353,-0.448853,-0.010315,0.0,-1.0,-1.0,7236.0,627.0,2951.0,671.0,194.0,-1930.0,1948.0,232.0,-602.0,0.801317,0.052763,0.59583,14504.0,1528.0,5936.0,22.0,-20.0,-9.0
2869.0,2795.0,2883.0,3134.0,3037.0,0.892212,0.024658,-0.450745,-0.010559,-1.0,-2.0,-1.0,7255.0,701.0,2982.0,670.0,262.0,-1870.0,1901.0,298.0,-555.0,0.803799,0.05352,0.592375,14630.0,1508.0,6086.0,-21.0,-26.0,-5.0
2870.0,2803.0,2895.0,3151.0,3047.0,0.891785,0.024719,-0.451599,-0.010681,-2.0,-1.0,-1.0,7280.0,705.0,2984.0,686.0,264.0,-1856.0,1901.0,299.0,-530.0,0.80493,0.053736,0.590841,14696.0,1404.0,5948.0,-30.0,-12.0,-1.0
2875.0,2803.0,2893.0,3147.0,3035.0,0.890991,0.024719,-0.453247,-0.010864,-2.0,0.0,0.0,7273.0,682.0,2947.0,660.0,240.0,-1869.0,1898.0,276.0,-553.0,0.807141,0.053898,0.587939,14412.0,1242.0,5744.0,-23.0,8.0,0.0
2875.0,2807.0,2894.0,3125.0,3031.0,0.890564,0.024719,-0.454041,-0.010925,-1.0,-1.0,-1.0,7256.0,663.0,2927.0,635.0,221.0,-1877.0,1891.0,258.0,-575.0,0.808164,0.053949,0.58646,14436.0,1232.0,5752.0,-14.0,-1.0,-2.0
2870.0,2807.0,2899.0,3141.0,3045.0,0.889709,0.024902,-0.455688,-0.010986,0.0,0.0,-1.0,7264.0,644.0,2914.0,625.0,198.0,-1865.0,1877.0,235.0,-570.0,0.810314,0.054324,0.583432,14528.0,1332.0,5814.0,4.0,4.0,-1.0
