flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2829.0,2815.0,2899.0,3131.0,2960.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832.0,2810.0,2895.0,3123.0,2975.0,0.874207,-0.015869,-0.485291,0.00116,-1.0,2.0,-2.0,7749.0,-300.0,1463.0,798.0,-63.0,-2866.0,2853.0,-125.0,-835.0,0.848451,-0.028871,0.52848,15114.0,-692.0,2992.0,-13.0,56.0,-42.0
2831.0,2810.0,2887.0,3119.0,2970.0,0.872986,-0.015991,-0.487427,0.000854,-2.0,-2.0,-1.0,7570.0,-275.0,1495.0,598.0,-39.0,-2799.0,2695.0,-104.0,-957.0,0.851006,-0.028753,0.524264,14636.0,-374.0,3130.0,-27.0,-39.0,-19.0
2833.0,2815.0,2886.0,3134.0,2979.0,0.872192,-0.016113,-0.488831,0.00061,-2.0,-4.0,-2.0,7551.0,-278.0,1555.0,565.0,-42.0,-2717.0,2611.0,-107.0,-933.0,0.852689,-0.028704,0.521505,14972.0,-642.0,3466.0,-37.0,-90.0,-31.0
2835.0,2822.0,2891.0,3135.0,2975.0,0.870361,-0.016296,-0.492065,0.000122,-1.0,-6.0,-3.0,7671.0,-337.0,1677.0,654.0,-103.0,-2542.0,2512.0,-164.0,-746.0,0.856545,-0.028488,0.515135,16066.0,-870.0,3788.0,-8.0,-133.0,-52.0
2827.0,2803.0,2883.0,3123.0,2967.0,0.869507,-0.016235,-0.493652,0.0,0.0,-5.0,-2.0,7768.0,-332.0,1716.0,735.0,-100.0,-2479.0,2503.0,-158.0,-635.0,0.858468,-0.028233,0.512086,16064.0,-542.0,3592.0,13.0,-99.0,-38.0
2832.0,2803.0,2881.0,3122.0,2971.0,0.86792,-0.015991,-0.496399,-0.000244,-1.0,-4.0,-2.0,7755.0,-236.0,1672.0,696.0,-10.0,-2478.0,2487.0,-68.0,-655.0,0.861677,-0.027516,0.506617,15234.0,-236.0,2994.0,-11.0,-76.0,-34.0
2831.0,2819.0,2897.0,3135.0,2975.0,0.867065,-0.015991,-0.497925,-0.000488,-1.0,-4.0,-2.0,7742.0,-255.0,1605.0,668.0,-31.0,-2520.0,2512.0,-92.0,-691.0,0.863482,-0.027245,0.503618,15378.0,-700.0,2778.0,-20.0,-84.0,-40.0
2831.0,2815.0,2895.0,3135.0,2979.0,0.865234,-0.01593,-0.50116,-0.000916,-1.0,-7.0,-3.0,7589.0,-277.0,1450.0,484.0,-58.0,-2623.0,2514.0,-125.0,-882.0,0.86727,-0.026649,0.497217,15084.0,-650.0,2544.0,-4.0,-156.0,-60.0
2831.0,2815.0,2894.0,3122.0,2967.0,0.864136,-0.015869,-0.502991,-0.00116,0.0,-7.0,-3.0,7658.0,-289.0,1423.0,536.0,-73.0,-2619.0,2540.0,-140.0,-824.0,0.869341,-0.02626,0.49348,15836.0,-628.0,2712.0,4.0,-160.0,-58.0
2833.0,2814.0,2887.0,3126.0,2967.0,0.862305,-0.015686,-0.506165,-0.001465,0.0,-2.0,-2.0,7876.0,-313.0,1391.0,724.0,-103.0,-2599.0,2619.0,-167.0,-631.0,0.872982,-0.025569,0.487123,16308.0,-814.0,2636.0,12.0,-44.0,-32.0
2832.0,2823.0,2897.0,3135.0,2967.0,0.861633,-0.015625,-0.507263,-0.001404,1.0,0.0,-1.0,7941.0,-354.0,1383.0,779.0,-145.0,-2588.0,2637.0,-207.0,-570.0,0.874194,-0.025502,0.484854,16228.0,-956.0,2702.0,29.0,19.0,-15.0
2833.0,2829.0,2865.0,3139.0,2975.0,0.860779,-0.015259,-0.508728,-0.00116,2.0,4.0,-1.0,7846.0,-338.0,1333.0,671.0,-132.0,-2614.0,2610.0,-194.0,-668.0,0.87584,-0.025089,0.481904,14600.0,-126.0,2450.0,67.0,114.0,-22.0
2832.0,2813.0,2883.0,3122.0,2969.0,0.860352,-0.014954,-0.50946,-0.001343,0.0,1.0,-3.0,7698.0,-261.0,1331.0,516.0,-61.0,-2604.0,2529.0,-124.0,-797.0,0.87667,-0.024363,0.480433,14802.0,-182.0,2846.0,12.0,35.0,-64.0
2835.0,2807.0,2890.0,3131.0,2971.0,0.859192,-0.015015,-0.511353,-0.002075,-3.0,-1.0,-3.0,7681.0,-224.0,1426.0,482.0,-30.0,-2477.0,2405.0,-93.0,-756.0,0.878762,-0.023679,0.476508,15396.0,-398.0,3220.0,-63.0,-13.0,-46.0
2834.0,2787.0,2897.0,3147.0,2989.0,0.858582,-0.01532,-0.51239,-0.002502,-4.0,-2.0,-2.0,7673.0,-224.0,1476.0,464.0,-29.0,-2410.0,2340.0,-93.0,-734.0,0.879934,-0.023742,0.47439,15310.0,-472.0,3228.0,-82.0,-29.0,-41.0
2835.0,2831.0,2896.0,3142.0,2983.0,0.857178,-0.015869,-0.514771,-0.003113,-2.0,-4.0,-2.0,7721.0,-339.0,1553.0,490.0,-142.0,-2293.0,2250.0,-206.0,-640.0,0.882598,-0.024001,0.469523,15874.0,-1248.0,3268.0,-31.0,-79.0,-35.0
2832.0,2815.0,2894.0,3127.0,2971.0,0.856445,-0.015808,-0.515991,-0.002991,2.0,-2.0,-1.0,7830.0,-402.0,1565.0,588.0,-205.0,-2260.0,2267.0,-266.0,-530.0,0.883931,-0.023991,0.467011,16296.0,-1064.0,3182.0,51.0,-44.0,-19.0
2827.0,2815.0,2895.0,3127.0,2975.0,0.855286,-0.015015,-0.517883,-0.002502,4.0,1.0,-1.0,7868.0,-315.0,1493.0,610.0,-125.0,-2300.0,2317.0,-183.0,-521.0,0.885951,-0.023092,0.463091,15638.0,-230.0,2718.0,107.0,25.0,-10.0
2829.0,2815.0,2891.0,3143.0,2982.0,0.854797,-0.014526,-0.518738,-0.00238,3.0,1.0,-1.0,7771.0,-201.0,1432.0,505.0,-17.0,-2347.0,2314.0,-75.0,-634.0,0.886901,-0.022365,0.461384,14890.0,318.0,2510.0,77.0,28.0,-20.0
2843.0,2811.0,2896.0,3127.0,2971.0,0.853638,-0.014282,-0.520691,-0.002686,-2.0,-1.0,-1.0,7712.0,-127.0,1356.0,428.0,49.0,-2390.0,2321.0,-11.0,-713.0,0.88904,-0.021587,0.457382,15384.0,-252.0,2534.0,-42.0,-6.0,-4.0
2833.0,2815.0,2891.0,3129.0,2963.0,0.853027,-0.014587,-0.521667,-0.002869,-3.0,-1.0,-1.0,7685.0,-136.0,1331.0,393.0,43.0,-2398.0,2313.0,-19.0,-742.0,0.890077,-0.021894,0.455314,15230.0,-378.0,2520.0,-66.0,-2.0,-8.0
2839.0,2818.0,2896.0,3131.0,2967.0,0.851868,-0.015076,-0.523438,-0.003235,-2.0,1.0,-1.0,7725.0,-263.0,1350.0,418.0,-80.0,-2348.0,2280.0,-143.0,-685.0,0.891896,-0.022298,0.451475,15452.0,-830.0,2838.0,-24.0,25.0,-16.0
2821.0,2815.0,2887.0,3147.0,2975.0,0.85144,-0.015137,-0.524231,-0.003296,0.0,1.0,-1.0,7727.0,-278.0,1389.0,413.0,-95.0,-2296.0,2233.0,-157.0,-662.0,0.892803,-0.02232,0.449914,15502.0,-608.0,3022.0,9.0,25.0,-22.0
2839.0,2832.0,2895.0,3133.0,2979.0,0.850586,-0.014832,-0.525635,-0.003113,2.0,1.0,-1.0,7793.0,-289.0,1487.0,466.0,-109.0,-2174.0,2149.0,-166.0,-552.0,0.894287,-0.021959,0.446994,15684.0,-510.0,3172.0,65.0,44.0,-6.0
2833.0,2803.0,2895.0,3135.0,2973.0,0.850159,-0.014465,-0.526306,-0.00293,3.0,1.0,-1.0,7794.0,-263.0,1503.0,462.0,-86.0,-2147.0,2125.0,-140.0,-541.0,0.894972,-0.021512,0.445571,15580.0,-362.0,3128.0,78.0,44.0,-9.0
2827.0,2819.0,2893.0,3125.0,2991.0,0.849304,-0.013794,-0.52771,-0.002686,2.0,0.0,-1.0,7693.0,-166.0,1501.0,349.0,2.0,-2125.0,2059.0,-50.0,-627.0,0.896447,-0.020596,0.442657,14966.0,-18.0,2934.0,52.0,6.0,-8.0
2843.0,2798.0,2907.0,3147.0,2965.0,0.848755,-0.013611,-0.528625,-0.002686,0.0,-2.0,-1.0,7636.0,-106.0,1485.0,284.0,60.0,-2125.0,2033.0,7.0,-682.0,0.89742,-0.020265,0.440762,15006.0,152.0,2904.0,11.0,-40.0,-7.0
2830.0,2815.0,2847.0,3123.0,2983.0,0.847412,-0.013794,-0.530762,-0.00293,-3.0,-2.0,-1.0,7736.0,-106.0,1480.0,366.0,60.0,-2093.0,2043.0,8.0,-584.0,0.899629,-0.020268,0.436218,15880.0,-362.0,2930.0,-47.0,-32.0,-4.0
2835.0,2815.0,2883.0,3111.0,2991.0,0.846863,-0.013977,-0.531616,-0.003113,-2.0,0.0,-1.0,7779.0,-163.0,1463.0,402.0,3.0,-2095.0,2061.0,-49.0,-548.0,0.900499,-0.020364,0.434375,15766.0,-708.0,2808.0,-37.0,6.0,-21.0
2833.0,2821.0,2871.0,3131.0,2989.0,0.845886,-0.014099,-0.533142,-0.003296,1.0,1.0,-2.0,7758.0,-271.0,1423.0,368.0,-104.0,-2108.0,2057.0,-158.0,-574.0,0.902048,-0.020338,0.431095,15418.0,-730.0,2802.0,24.0,24.0,-26.0
2815.0,2833.0,2864.0,3123.0,2989.0,0.845459,-0.013916,-0.533875,-0.003235,2.0,1.0,-1.0,7744.0,-280.0,1427.0,348.0,-115.0,-2092.0,2035.0,-168.0,-582.0,0.902828,-0.020077,0.429596,15426.0,-546.0,2920.0,47.0,23.0,-20.0
2827.0,2819.0,2895.0,3159.0,2947.0,0.844543,-0.013428,-0.535339,-0.003052,2.0,-1.0,-1.0,7681.0,-236.0,1441.0,272.0,-76.0,-2052.0,1969.0,-126.0,-627.0,0.904317,-0.019413,0.426494,15130.0,-332.0,2964.0,54.0,0.0,-18.0
2829.0,2815.0,2907.0,3143.0,2975.0,0.843994,-0.013184,-0.536194,-0.002991,1.0,-2.0,-1.0,7664.0,-199.0,1461.0,248.0,-42.0,-2017.0,1929.0,-91.0,-631.0,0.905168,-0.019047,0.424657,15272.0,-106.0,3046.0,44.0,-27.0,-14.0
2829.0,2807.0,2908.0,3127.0,2971.0,0.842773,-0.012939,-0.538025,-0.003113,-1.0,-3.0,-1.0,7687.0,-107.0,1517.0,257.0,44.0,-1928.0,1857.0,-2.0,-578.0,0.906947,-0.018461,0.420639,15338.0,-112.0,3138.0,-18.0,-51.0,-11.0
2831.0,2814.0,2903.0,3135.0,2959.0,0.842163,-0.013,-0.539062,-0.003235,-2.0,-4.0,-1.0,7700.0,-132.0,1527.0,261.0,18.0,-1901.0,1835.0,-28.0,-558.0,0.908041,-0.018409,0.418492,15552.0,-478.0,3082.0,-26.0,-69.0,-7.0
2839.0,2807.0,2901.0,3135.0,2951.0,0.840881,-0.013062,-0.541077,-0.003113,1.0,-2.0,-1.0,7808.0,-208.0,1488.0,352.0,-55.0,-1904.0,1877.0,-100.0,-467.0,0.910044,-0.018598,0.414157,15798.0,-488.0,2754.0,39.0,-26.0,-6.0
2835.0,2797.0,2883.0,3119.0,2967.0,0.840332,-0.012817,-0.541931,-0.002991,2.0,-1.0,-1.0,7823.0,-205.0,1455.0,361.0,-55.0,-1922.0,1898.0,-99.0,-462.0,0.910881,-0.0183,0.412313,15698.0,-360.0,2694.0,53.0,-1.0,-11.0
2807.0,2791.0,2891.0,3111.0,2975.0,0.839417,-0.01239,-0.543335,-0.002808,0.0,0.0,-1.0,7722.0,-101.0,1364.0,248.0,44.0,-1988.0,1915.0,-1.0,-588.0,0.912238,-0.01775,0.409262,14724.0,340.0,2418.0,16.0,19.0,-9.0
2844.0,2815.0,2893.0,3103.0,2963.0,0.838867,-0.012451,-0.544189,-0.002991,-2.0,-1.0,-1.0,7706.0,-84.0,1360.0,226.0,60.0,-1977.0,1898.0,14.0,-600.0,0.91308,-0.017635,0.40741,15480.0,-184.0,2740.0,-42.0,-19.0,-5.0
2835.0,2823.0,2909.0,3120.0,2942.0,0.83783,-0.013062,-0.545776,-0.003296,-3.0,-1.0,0.0,7714.0,-159.0,1356.0,221.0,-9.0,-1952.0,1874.0,-56.0,-586.0,0.914621,-0.018289,0.403927,15498.0,-692.0,2760.0,-57.0,-7.0,0.0
2839.0,2815.0,2917.0,3133.0,2967.0,0.837341,-0.013306,-0.546509,-0.003357,-1.0,0.0,0.0,7745.0,-219.0,1382.0,246.0,-66.0,-1913.0,1848.0,-113.0,-543.0,0.915318,-0.018614,0.402303,15666.0,-738.0,2920.0,-22.0,1.0,6.0
2846.0,2807.0,2879.0,3121.0,2975.0,0.836487,-0.013245,-0.547791,-0.003113,1.0,0.0,0.0,7765.0,-216.0,1457.0,256.0,-62.0,-1815.0,1764.0,-105.0,-489.0,0.916522,-0.018748,0.39947,15510.0,-232.0,3176.0,43.0,13.0,1.0
2843.0,2821.0,2855.0,3123.0,2967.0,0.83606,-0.013062,-0.548462,-0.002991,1.0,0.0,-1.0,7778.0,-164.0,1485.0,264.0,-11.0,-1775.0,1732.0,-53.0,-464.0,0.917172,-0.01856,0.398023,15684.0,6.0,3126.0,35.0,6.0,-2.0
2832.0,2831.0,2879.0,3130.0,2961.0,0.835205,-0.012878,-0.549744,-0.00293,0.0,0.0,0.0,7742.0,-141.0,1463.0,218.0,8.0,-1774.0,1715.0,-33.0,-501.0,0.918373,-0.018291,0.395192,15202.0,-336.0,2806.0,9.0,2.0,4.0
2842.0,2827.0,2907.0,3151.0,2966.0,0.834717,-0.012878,-0.550476,-0.002869,0.0,-1.0,0.0,7707.0,-139.0,1435.0,178.0,11.0,-1789.0,1714.0,-31.0,-540.0,0.919057,-0.018341,0.393571,15256.0,-260.0,2696.0,9.0,-21.0,10.0
2833.0,2819.0,2893.0,3107.0,2992.0,0.833557,-0.013123,-0.552246,-0.002686,-1.0,-2.0,1.0,7708.0,-148.0,1402.0,165.0,6.0,-1790.0,1712.0,-36.0,-545.0,0.920728,-0.018911,0.389677,15656.0,-420.0,2732.0,-8.0,-45.0,33.0
2823.0,2822.0,2879.0,3103.0,2971.0,0.833008,-0.013245,-0.55304,-0.002502,0.0,-1.0,1.0,7783.0,-191.0,1397.0,234.0,-32.0,-1780.0,1730.0,-73.0,-474.0,0.921439,-0.019298,0.38788,16072.0,-618.0,2800.0,10.0,-16.0,39.0
2821.0,2807.0,2878.0,3147.0,2963.0,0.832275,-0.013184,-0.554199,-0.002136,1.0,1.0,-1.0,7792.0,-192.0,1380.0,234.0,-31.0,-1777.0,1728.0,-71.0,-468.0,0.922549,-0.019577,0.385376,15412.0,-372.0,2744.0,34.0,44.0,-3.0
2826.0,2805.0,2903.0,3135.0,2975.0,0.831909,-0.013,-0.554688,-0.002075,1.0,1.0,-1.0,7751.0,-172.0,1381.0,190.0,-13.0,-1766.0,1702.0,-53.0,-502.0,0.922953,-0.019328,0.38423,15262.0,-188.0,2798.0,30.0,31.0,-18.0
