flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2864.0,2773.0,2891.0,3143.0,3039.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2879.0,2782.0,2918.0,3123.0,3035.0,0.834473,-0.226013,-0.483765,0.13623,-22.0,12.0,-13.0,2402.0,-8941.0,1536.0,-3707.0,-4771.0,-1984.0,-68.0,-6246.0,-1188.0,0.745797,-0.509011,0.429793,6674.0,-21512.0,2592.0,-490.0,292.0,-290.0
2867.0,2767.0,2867.0,3147.0,3059.0,0.833252,-0.236694,-0.481934,0.131958,-34.0,18.0,-20.0,2968.0,-10155.0,1351.0,-3099.0,-5881.0,-2117.0,232.0,-6971.0,-123.0,0.740677,-0.521642,0.423438,7546.0,-23742.0,2164.0,-770.0,416.0,-448.0
2863.0,2779.0,2894.0,3126.0,3055.0,0.831726,-0.249817,-0.480225,0.123169,-53.0,26.0,-34.0,3701.0,-11016.0,1143.0,-2338.0,-6642.0,-2247.0,511.0,-7319.0,892.0,0.737291,-0.533856,0.413915,10102.0,-24136.0,1718.0,-1207.0,598.0,-778.0
2851.0,2767.0,2893.0,3127.0,3027.0,0.830994,-0.257141,-0.47937,0.116028,-64.0,32.0,-45.0,4142.0,-11340.0,1009.0,-1895.0,-6927.0,-2334.0,653.0,-7394.0,1381.0,0.737036,-0.538606,0.408096,10828.0,-24582.0,1150.0,-1455.0,745.0,-1021.0
2851.0,2767.0,2893.0,3121.0,3055.0,0.829468,-0.272827,-0.477783,0.096008,-82.0,41.0,-67.0,4877.0,-11808.0,750.0,-1186.0,-7348.0,-2481.0,728.0,-7511.0,2143.0,0.740224,-0.544345,0.394523,11550.0,-24506.0,812.0,-1866.0,955.0,-1528.0
2865.0,2770.0,2901.0,3135.0,3024.0,0.827637,-0.288879,-0.476196,0.069214,-98.0,46.0,-88.0,5264.0,-11700.0,640.0,-865.0,-7242.0,-2469.0,417.0,-7318.0,2355.0,0.748246,-0.544093,0.379559,11584.0,-22280.0,1118.0,-2231.0,1076.0,-1995.0
2859.0,2771.0,2903.0,3135.0,3023.0,0.826416,-0.296875,-0.475464,0.053345,-106.0,50.0,-96.0,5541.0,-11409.0,683.0,-637.0,-6973.0,-2361.0,231.0,-6978.0,2417.0,0.754188,-0.541412,0.371608,12906.0,-20840.0,1772.0,-2422.0,1150.0,-2187.0
2871.0,2758.0,2907.0,3111.0,3031.0,0.823425,-0.312622,-0.473206,0.01709,-120.0,60.0,-109.0,6048.0,-10488.0,773.0,-248.0,-6137.0,-2148.0,-82.0,-6085.0,2302.0,0.768614,-0.531016,0.356665,13306.0,-17922.0,1828.0,-2737.0,1377.0,-2484.0
2864.0,2767.0,2889.0,3125.0,3027.0,0.819824,-0.327515,-0.469116,-0.023438,-126.0,69.0,-117.0,6342.0,-9251.0,850.0,-84.0,-5031.0,-1978.0,-295.0,-5074.0,1842.0,0.784538,-0.515019,0.345325,13284.0,-14432.0,1800.0,-2879.0,1592.0,-2667.0
2861.0,2758.0,2895.0,3141.0,3043.0,0.817688,-0.334412,-0.466431,-0.0448,-127.0,72.0,-120.0,6374.0,-8512.0,843.0,-120.0,-4374.0,-1952.0,-321.0,-4555.0,1448.0,0.792753,-0.505097,0.341232,12848.0,-12470.0,1634.0,-2905.0,1655.0,-2730.0
2863.0,2759.0,2885.0,3127.0,3055.0,0.812073,-0.346802,-0.460938,-0.088135,-127.0,68.0,-120.0,6231.0,-6942.0,739.0,-402.0,-2993.0,-2001.0,-234.0,-3587.0,447.0,0.80976,-0.482007,0.334495,11834.0,-9284.0,954.0,-2899.0,1560.0,-2739.0
2863.0,2768.0,2907.0,3125.0,3027.0,0.80426,-0.358154,-0.45636,-0.12915,-122.0,58.0,-109.0,6279.0,-5398.0,648.0,-492.0,-1644.0,-2030.0,152.0,-2634.0,-317.0,0.826576,-0.45822,0.326976,13088.0,-6130.0,1040.0,-2778.0,1329.0,-2474.0
2871.0,2778.0,2897.0,3135.0,3027.0,0.795776,-0.367615,-0.451294,-0.167236,-112.0,60.0,-97.0,6662.0,-3797.0,648.0,-229.0,-240.0,-1993.0,920.0,-1643.0,-731.0,0.841215,-0.434133,0.322421,14592.0,-2722.0,1458.0,-2555.0,1396.0,-2219.0
2875.0,2775.0,2895.0,3135.0,3039.0,0.791992,-0.371033,-0.447937,-0.185669,-105.0,67.0,-94.0,6766.0,-2948.0,657.0,-175.0,503.0,-1992.0,1361.0,-1178.0,-1004.0,0.847304,-0.421374,0.323412,13924.0,-670.0,1388.0,-2394.0,1536.0,-2141.0
2866.0,2763.0,2902.0,3149.0,3031.0,0.785461,-0.374329,-0.440002,-0.222046,-91.0,74.0,-93.0,6613.0,-985.0,864.0,-411.0,2231.0,-1860.0,2278.0,-63.0,-1846.0,0.857446,-0.39264,0.33253,12616.0,4470.0,2832.0,-2068.0,1709.0,-2125.0
2863.0,2756.0,2895.0,3143.0,3025.0,0.779907,-0.37262,-0.430847,-0.259277,-85.0,82.0,-93.0,6328.0,1292.0,1690.0,-760.0,4223.0,-1185.0,3255.0,1592.0,-2584.0,0.865265,-0.3578,0.351005,11376.0,9222.0,6754.0,-1931.0,1889.0,-2126.0
2871.0,2766.0,2896.0,3143.0,3043.0,0.77771,-0.370544,-0.425232,-0.277649,-82.0,83.0,-87.0,5970.0,2339.0,2348.0,-1133.0,5126.0,-632.0,3568.0,2547.0,-2956.0,0.867177,-0.340222,0.363796,9522.0,10790.0,8710.0,-1857.0,1923.0,-1983.0
2866.0,2768.0,2861.0,3143.0,2987.0,0.774414,-0.364929,-0.413025,-0.310608,-68.0,75.0,-68.0,5280.0,4088.0,4076.0,-1817.0,6616.0,861.0,3975.0,4610.0,-3278.0,0.866404,-0.308635,0.392432,8860.0,13174.0,14236.0,-1541.0,1723.0,-1539.0
2877.0,2768.0,2891.0,3135.0,3025.0,0.773682,-0.355469,-0.401062,-0.337952,-45.0,65.0,-51.0,4721.0,5670.0,5914.0,-2331.0,7955.0,2427.0,4456.0,6674.0,-3192.0,0.860851,-0.27896,0.425586,7852.0,15816.0,16764.0,-1020.0,1506.0,-1154.0
2866.0,2759.0,2879.0,3149.0,3023.0,0.773804,-0.349915,-0.395996,-0.349243,-37.0,56.0,-42.0,4529.0,6373.0,6588.0,-2493.0,8543.0,2971.0,4787.0,7454.0,-3088.0,0.857257,-0.264933,0.44149,8100.0,16854.0,16908.0,-827.0,1303.0,-952.0
2875.0,2759.0,2899.0,3135.0,3054.0,0.773865,-0.339355,-0.388123,-0.36792,-32.0,40.0,-27.0,4447.0,7461.0,7358.0,-2519.0,9424.0,3520.0,5535.0,8327.0,-2751.0,0.85042,-0.239634,0.46843,9040.0,17392.0,16266.0,-712.0,938.0,-608.0
2863.0,2761.0,2901.0,3135.0,3027.0,0.77356,-0.331787,-0.381531,-0.382141,-32.0,28.0,-10.0,4369.0,7731.0,7562.0,-2543.0,9547.0,3557.0,5803.0,8380.0,-2524.0,0.843853,-0.221717,0.488778,7856.0,15474.0,15218.0,-721.0,660.0,-220.0
