flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2861.0,2783.0,2849.0,3103.0,3003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2862.0,2783.0,2849.0,3095.0,3005.0,0.870972,0.127686,-0.473389,0.031677,-1.0,-1.0,-1.0,7561.0,1614.0,1454.0,739.0,37.0,-2799.0,2685.0,693.0,-830.0,0.832706,0.19243,0.519195,15118.0,3174.0,2752.0,-6.0,-1.0,-14.0
2861.0,2783.0,2851.0,3101.0,3007.0,0.869568,0.128296,-0.475708,0.031738,1.0,-1.0,0.0,7587.0,1641.0,1439.0,742.0,60.0,-2774.0,2666.0,710.0,-795.0,0.835465,0.192928,0.514398,15244.0,3396.0,2800.0,23.0,-5.0,7.0
2859.0,2783.0,2850.0,3095.0,3003.0,0.868896,0.128723,-0.476868,0.03186,1.0,-1.0,0.0,7597.0,1668.0,1432.0,741.0,84.0,-2762.0,2653.0,732.0,-777.0,0.8369,0.193308,0.512024,15218.0,3530.0,2808.0,32.0,-1.0,16.0
2859.0,2781.0,2847.0,3093.0,3003.0,0.867554,0.129456,-0.479065,0.032166,0.0,0.0,1.0,7589.0,1719.0,1414.0,711.0,131.0,-2742.0,2615.0,778.0,-769.0,0.839557,0.193801,0.507422,15162.0,3552.0,2780.0,20.0,5.0,28.0
2859.0,2787.0,2854.0,3099.0,3006.0,0.866943,0.1297,-0.480164,0.032349,0.0,0.0,1.0,7590.0,1724.0,1426.0,701.0,136.0,-2713.0,2587.0,777.0,-754.0,0.84094,0.193819,0.505258,15170.0,3476.0,2946.0,11.0,12.0,31.0
2862.0,2781.0,2847.0,3099.0,3003.0,0.865784,0.130127,-0.482117,0.032532,-1.0,0.0,0.0,7579.0,1732.0,1448.0,670.0,143.0,-2658.0,2527.0,773.0,-739.0,0.843284,0.193955,0.50127,15122.0,3404.0,2916.0,-10.0,20.0,19.0
2861.0,2779.0,2847.0,3099.0,3003.0,0.865173,0.13031,-0.483093,0.032593,-1.0,0.0,0.0,7575.0,1713.0,1449.0,657.0,123.0,-2640.0,2510.0,751.0,-739.0,0.844413,0.193991,0.499227,15136.0,3316.0,2932.0,-16.0,21.0,14.0
2860.0,2778.0,2843.0,3095.0,2999.0,0.864075,0.130554,-0.485046,0.032593,-1.0,0.0,0.0,7579.0,1680.0,1458.0,642.0,90.0,-2600.0,2479.0,710.0,-726.0,0.846743,0.193999,0.495373,15166.0,3238.0,2926.0,-22.0,17.0,14.0
2859.0,2783.0,2847.0,3103.0,3003.0,0.863525,0.130615,-0.485962,0.032654,-2.0,0.0,0.0,7578.0,1659.0,1461.0,632.0,71.0,-2581.0,2463.0,687.0,-724.0,0.847811,0.193842,0.493523,15138.0,3194.0,2954.0,-25.0,17.0,19.0
