flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2893.0,2770.0,2903.0,3153.0,3051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2894.0,2775.0,2901.0,3151.0,3047.0,0.838562,-0.083862,-0.53833,-0.000854,1.0,1.0,2.0,7882.0,-1052.0,-134.0,484.0,92.0,-3462.0,3337.0,-356.0,-982.0,0.90299,-0.139727,0.406355,15520.0,-1944.0,-272.0,36.0,44.0,63.0
2893.0,2778.0,2896.0,3151.0,3039.0,0.836975,-0.084473,-0.540649,-0.000305,-1.0,0.0,2.0,7835.0,-1058.0,-140.0,420.0,97.0,-3425.0,3282.0,-351.0,-1007.0,0.905072,-0.141073,0.40109,15578.0,-2304.0,-362.0,-11.0,15.0,68.0
2896.0,2773.0,2895.0,3158.0,3047.0,0.836121,-0.0849,-0.541931,-6.1e-05,-1.0,0.0,2.0,7811.0,-1117.0,-158.0,387.0,45.0,-3420.0,3263.0,-405.0,-1017.0,0.90625,-0.141907,0.3982,15428.0,-2614.0,-476.0,-14.0,9.0,57.0
2868.0,2781.0,2906.0,3151.0,3039.0,0.834412,-0.085632,-0.544434,0.000366,0.0,-1.0,1.0,7746.0,-1220.0,-173.0,303.0,-46.0,-3388.0,3197.0,-499.0,-1047.0,0.908501,-0.143304,0.392502,15286.0,-2694.0,-374.0,10.0,-7.0,26.0
2891.0,2774.0,2911.0,3143.0,3023.0,0.833496,-0.085815,-0.545776,0.000488,0.0,-1.0,0.0,7724.0,-1243.0,-165.0,271.0,-66.0,-3355.0,3156.0,-517.0,-1050.0,0.909721,-0.143587,0.38948,15340.0,-2626.0,-248.0,17.0,-20.0,12.0
2896.0,2769.0,2901.0,3155.0,3045.0,0.831665,-0.08606,-0.548584,0.000793,2.0,-3.0,-1.0,7714.0,-1289.0,-132.0,240.0,-109.0,-3272.0,3071.0,-549.0,-1019.0,0.91234,-0.144016,0.383317,15502.0,-2648.0,-94.0,46.0,-58.0,-11.0
2896.0,2783.0,2903.0,3155.0,3047.0,0.830688,-0.085938,-0.550049,0.000916,2.0,-3.0,-2.0,7736.0,-1266.0,-109.0,251.0,-88.0,-3222.0,3035.0,-519.0,-982.0,0.913681,-0.143782,0.380105,15618.0,-2322.0,-96.0,62.0,-65.0,-23.0
2894.0,2775.0,2910.0,3155.0,3043.0,0.828674,-0.085693,-0.553101,0.000916,0.0,-4.0,-1.0,7769.0,-1177.0,-123.0,260.0,-5.0,-3182.0,3017.0,-428.0,-949.0,0.916524,-0.143037,0.373438,15606.0,-2244.0,-446.0,20.0,-70.0,-22.0
2893.0,2774.0,2901.0,3147.0,3046.0,0.827637,-0.085754,-0.554688,0.000854,0.0,-4.0,-1.0,7770.0,-1201.0,-175.0,249.0,-30.0,-3205.0,3036.0,-457.0,-952.0,0.918013,-0.142895,0.369951,15524.0,-2646.0,-698.0,12.0,-70.0,-22.0
2895.0,2779.0,2897.0,3154.0,3043.0,0.825562,-0.085693,-0.5578,0.001099,3.0,-3.0,-2.0,7721.0,-1342.0,-309.0,177.0,-172.0,-3283.0,3074.0,-612.0,-1004.0,0.920809,-0.142716,0.363069,15244.0,-3130.0,-1032.0,80.0,-63.0,-39.0
2891.0,2777.0,2907.0,3152.0,3053.0,0.824524,-0.085388,-0.559326,0.001343,5.0,-3.0,-3.0,7690.0,-1424.0,-377.0,135.0,-258.0,-3323.0,3092.0,-703.0,-1034.0,0.922126,-0.142311,0.359705,15218.0,-3382.0,-1132.0,121.0,-62.0,-58.0
2896.0,2775.0,2907.0,3153.0,3047.0,0.822571,-0.084045,-0.562378,0.002075,11.0,-2.0,-6.0,7618.0,-1683.0,-497.0,41.0,-531.0,-3391.0,3105.0,-980.0,-1085.0,0.924842,-0.140601,0.353294,14926.0,-4060.0,-1312.0,253.0,-43.0,-125.0
2895.0,2771.0,2906.0,3152.0,3039.0,0.821655,-0.082825,-0.563904,0.002502,12.0,-2.0,-7.0,7568.0,-1688.0,-548.0,-19.0,-549.0,-3417.0,3111.0,-998.0,-1138.0,0.926255,-0.138929,0.350276,14862.0,-3274.0,-1370.0,288.0,-40.0,-158.0
2896.0,2771.0,2896.0,3143.0,3043.0,0.820007,-0.080383,-0.566711,0.002258,7.0,0.0,-10.0,7630.0,-1590.0,-589.0,19.0,-489.0,-3413.0,3137.0,-922.0,-1093.0,0.929052,-0.134389,0.344794,15720.0,-2840.0,-1316.0,163.0,19.0,-225.0
2896.0,2773.0,2899.0,3147.0,3045.0,0.81897,-0.078613,-0.56842,0.000427,1.0,8.0,-13.0,7761.0,-1446.0,-617.0,134.0,-387.0,-3413.0,3190.0,-807.0,-990.0,0.930971,-0.12925,0.34143,15780.0,-2474.0,-1276.0,30.0,190.0,-293.0
2949.0,2775.0,2902.0,3151.0,3039.0,0.818787,-0.077942,-0.568787,-0.001038,-1.0,11.0,-14.0,7782.0,-1409.0,-631.0,150.0,-373.0,-3422.0,3206.0,-796.0,-979.0,0.931592,-0.126455,0.340819,15692.0,-2694.0,-1342.0,-8.0,259.0,-318.0
2895.0,2775.0,2901.0,3151.0,3051.0,0.818848,-0.076294,-0.568909,-0.003906,2.0,13.0,-16.0,7792.0,-1404.0,-641.0,154.0,-416.0,-3434.0,3212.0,-843.0,-977.0,0.932295,-0.120502,0.341049,15532.0,-2794.0,-1226.0,62.0,319.0,-351.0
