flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2847.0,2775.0,2847.0,3095.0,2989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2851.0,2787.0,2855.0,3091.0,2999.0,0.909058,0.100525,-0.404358,0.000793,0.0,-1.0,0.0,6931.0,1786.0,3268.0,907.0,294.0,-2079.0,2114.0,596.0,-636.0,0.735329,0.182124,0.652776,13828.0,3412.0,6502.0,2.0,-6.0,14.0
2839.0,2775.0,2855.0,3101.0,2991.0,0.908081,0.101196,-0.406311,0.000916,1.0,-1.0,0.0,6911.0,1757.0,3255.0,864.0,257.0,-2063.0,2079.0,562.0,-654.0,0.738112,0.183045,0.649283,13792.0,3480.0,6552.0,36.0,-15.0,1.0
2847.0,2772.0,2843.0,3091.0,3011.0,0.907593,0.101624,-0.407288,0.000977,1.0,-1.0,-1.0,6908.0,1776.0,3263.0,850.0,271.0,-2041.0,2053.0,574.0,-643.0,0.739501,0.18367,0.647515,13812.0,3724.0,6582.0,34.0,-17.0,-7.0
2847.0,2779.0,2853.0,3089.0,2997.0,0.906677,0.102234,-0.40918,0.000793,-2.0,-1.0,-1.0,6917.0,1825.0,3270.0,837.0,311.0,-2007.0,2019.0,609.0,-614.0,0.74215,0.184737,0.644184,13844.0,3672.0,6556.0,-24.0,-11.0,-6.0
2859.0,2790.0,2847.0,3091.0,2994.0,0.90625,0.102295,-0.410095,0.000732,-2.0,-1.0,-1.0,6916.0,1809.0,3264.0,825.0,295.0,-2000.0,2008.0,592.0,-617.0,0.743447,0.184809,0.642647,13822.0,3492.0,6464.0,-35.0,-5.0,-1.0
2857.0,2789.0,2863.0,3089.0,3007.0,0.905457,0.102539,-0.411865,0.00061,0.0,-1.0,-1.0,6905.0,1744.0,3225.0,793.0,226.0,-2015.0,2007.0,530.0,-655.0,0.745977,0.185187,0.639705,13784.0,3388.0,6328.0,3.0,0.0,-4.0
2857.0,2773.0,2854.0,3103.0,3007.0,0.905029,0.102905,-0.41272,0.00061,1.0,-1.0,-1.0,6897.0,1751.0,3211.0,776.0,229.0,-2016.0,1997.0,535.0,-664.0,0.747172,0.185761,0.638151,13730.0,3570.0,6372.0,27.0,-4.0,-12.0
2850.0,2778.0,2853.0,3090.0,2995.0,0.904114,0.10376,-0.41449,0.000488,0.0,-1.0,-1.0,6909.0,1808.0,3220.0,768.0,274.0,-1980.0,1964.0,575.0,-630.0,0.749593,0.187216,0.634854,13924.0,3760.0,6492.0,10.0,-11.0,-19.0
2851.0,2783.0,2853.0,3093.0,2993.0,0.903625,0.104004,-0.415405,0.000366,-1.0,-1.0,-1.0,6928.0,1823.0,3226.0,777.0,285.0,-1960.0,1955.0,581.0,-604.0,0.750818,0.187657,0.633161,13980.0,3746.0,6464.0,-7.0,-8.0,-18.0
2854.0,2777.0,2847.0,3103.0,3006.0,0.902832,0.104553,-0.417114,0.000122,-1.0,0.0,-1.0,6959.0,1817.0,3204.0,788.0,271.0,-1958.0,1964.0,566.0,-589.0,0.753194,0.188686,0.63019,13974.0,3636.0,6364.0,-1.0,8.0,-17.0
2847.0,2779.0,2867.0,3114.0,2995.0,0.902405,0.104858,-0.417908,6.1e-05,0.0,0.0,-1.0,6953.0,1822.0,3205.0,774.0,272.0,-1945.0,1946.0,566.0,-587.0,0.754257,0.189198,0.628692,13836.0,3698.0,6438.0,17.0,10.0,-12.0
2847.0,2783.0,2867.0,3071.0,2999.0,0.90155,0.105652,-0.419495,0.000122,1.0,-1.0,0.0,6930.0,1846.0,3213.0,733.0,286.0,-1912.0,1895.0,579.0,-587.0,0.756417,0.190399,0.625655,13858.0,3740.0,6494.0,27.0,-2.0,1.0
2845.0,2783.0,2855.0,3099.0,3007.0,0.901123,0.106018,-0.420288,0.000183,1.0,-1.0,0.0,6930.0,1844.0,3221.0,724.0,280.0,-1891.0,1875.0,571.0,-578.0,0.757501,0.190917,0.624141,13850.0,3650.0,6492.0,26.0,-8.0,7.0
2847.0,2783.0,2853.0,3107.0,3011.0,0.900269,0.10675,-0.421997,0.000305,1.0,-1.0,-1.0,6935.0,1829.0,3238.0,710.0,256.0,-1849.0,1838.0,542.0,-559.0,0.759887,0.191951,0.621006,13894.0,3626.0,6478.0,34.0,-15.0,-2.0
2845.0,2771.0,2846.0,3103.0,2999.0,0.89978,0.107178,-0.422852,0.000366,1.0,-1.0,-1.0,6941.0,1826.0,3238.0,706.0,248.0,-1835.0,1827.0,533.0,-551.0,0.761025,0.192563,0.619314,13926.0,3646.0,6484.0,39.0,-12.0,-9.0
2855.0,2783.0,2863.0,3093.0,3007.0,0.898926,0.108032,-0.424561,0.000366,1.0,-1.0,-1.0,6942.0,1831.0,3251.0,688.0,242.0,-1796.0,1788.0,523.0,-534.0,0.763376,0.193915,0.616145,13918.0,3722.0,6554.0,38.0,-15.0,-14.0
2847.0,2768.0,2841.0,3091.0,3007.0,0.898499,0.108459,-0.425354,0.000305,1.0,-1.0,-1.0,6947.0,1839.0,3254.0,684.0,244.0,-1780.0,1774.0,522.0,-523.0,0.764426,0.194642,0.61461,13908.0,3734.0,6550.0,24.0,-11.0,-12.0
2851.0,2787.0,2847.0,3110.0,3015.0,0.897644,0.10907,-0.426941,0.000366,0.0,-1.0,0.0,6942.0,1844.0,3244.0,662.0,242.0,-1766.0,1751.0,521.0,-525.0,0.766562,0.195499,0.61159,13860.0,3746.0,6396.0,11.0,-3.0,9.0
2847.0,2775.0,2851.0,3099.0,2991.0,0.897278,0.109314,-0.427734,0.000427,0.0,-1.0,0.0,6934.0,1844.0,3233.0,645.0,239.0,-1765.0,1741.0,520.0,-535.0,0.767687,0.195805,0.610201,13800.0,3642.0,6404.0,11.0,-4.0,13.0
2842.0,2771.0,2839.0,3099.0,2992.0,0.896423,0.109863,-0.429321,0.00061,1.0,-1.0,0.0,6915.0,1817.0,3218.0,608.0,207.0,-1756.0,1715.0,492.0,-557.0,0.769841,0.196444,0.607188,13808.0,3572.0,6430.0,34.0,-14.0,12.0
2855.0,2789.0,2851.0,3071.0,2990.0,0.895996,0.110291,-0.430115,0.000732,1.0,-1.0,0.0,6912.0,1813.0,3220.0,596.0,199.0,-1741.0,1697.0,483.0,-555.0,0.770924,0.19701,0.605647,13820.0,3598.0,6440.0,45.0,-20.0,6.0
2851.0,2783.0,2859.0,3093.0,3005.0,0.895081,0.111084,-0.431763,0.000854,1.0,-1.0,-1.0,6920.0,1802.0,3222.0,586.0,178.0,-1712.0,1673.0,459.0,-543.0,0.773115,0.19812,0.602411,13878.0,3556.0,6492.0,39.0,-22.0,-8.0
