flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2857.0,2783.0,2851.0,3099.0,2999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2859.0,2783.0,2854.0,3103.0,3001.0,0.857117,0.252258,-0.449097,0.003601,-1.0,0.0,-1.0,6835.0,3819.0,682.0,513.0,303.0,-3162.0,2664.0,1528.0,-958.0,0.771673,0.429195,0.46934,13632.0,7644.0,1362.0,-9.0,2.0,-1.0
2857.0,2783.0,2849.0,3101.0,3001.0,0.855652,0.253357,-0.451294,0.003479,-1.0,-1.0,-1.0,6824.0,3826.0,678.0,482.0,299.0,-3125.0,2623.0,1517.0,-949.0,0.774064,0.430431,0.464296,13650.0,7660.0,1308.0,-18.0,-2.0,-1.0
2855.0,2782.0,2849.0,3093.0,2994.0,0.854919,0.253906,-0.452332,0.003479,-1.0,0.0,0.0,6830.0,3822.0,668.0,479.0,291.0,-3115.0,2618.0,1508.0,-941.0,0.775181,0.430991,0.461827,13706.0,7618.0,1266.0,-19.0,3.0,4.0
2854.0,2781.0,2855.0,3099.0,2993.0,0.853455,0.255005,-0.454468,0.003479,-1.0,0.0,0.0,6849.0,3806.0,665.0,479.0,266.0,-3077.0,2599.0,1472.0,-918.0,0.77751,0.432108,0.456828,13730.0,7544.0,1338.0,-4.0,4.0,4.0
2855.0,2783.0,2853.0,3098.0,2991.0,0.852722,0.255554,-0.455505,0.003479,0.0,0.0,0.0,6853.0,3794.0,666.0,474.0,249.0,-3056.0,2586.0,1450.0,-911.0,0.778617,0.432664,0.454354,13718.0,7514.0,1360.0,6.0,1.0,4.0
2858.0,2785.0,2847.0,3099.0,2995.0,0.851196,0.256775,-0.457703,0.003601,0.0,-1.0,0.0,6851.0,3780.0,668.0,452.0,226.0,-3011.0,2548.0,1418.0,-901.0,0.781039,0.433835,0.449123,13690.0,7552.0,1384.0,9.0,-7.0,9.0
2860.0,2775.0,2852.0,3095.0,2999.0,0.850464,0.257324,-0.458801,0.003662,0.0,-1.0,0.0,6852.0,3773.0,665.0,443.0,214.0,-2993.0,2534.0,1403.0,-897.0,0.782273,0.43433,0.446588,13714.0,7504.0,1306.0,4.0,-9.0,9.0
2855.0,2779.0,2850.0,3091.0,2995.0,0.848938,0.258423,-0.460938,0.003784,0.0,0.0,0.0,6856.0,3767.0,651.0,428.0,201.0,-2965.0,2511.0,1386.0,-885.0,0.784571,0.435281,0.441464,13720.0,7596.0,1234.0,7.0,1.0,6.0
2854.0,2783.0,2851.0,3103.0,2999.0,0.848206,0.259033,-0.461914,0.003784,0.0,0.0,0.0,6852.0,3777.0,645.0,416.0,205.0,-2951.0,2494.0,1387.0,-879.0,0.785557,0.435931,0.439004,13690.0,7634.0,1280.0,14.0,2.0,1.0
