flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2866.0,2775.0,2862.0,3111.0,2999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2871.0,2785.0,2847.0,3103.0,3010.0,0.859131,-0.042664,-0.50885,0.03302,0.0,1.0,0.0,7809.0,-1172.0,853.0,669.0,-296.0,-3066.0,3014.0,-348.0,-852.0,0.87152,-0.106912,0.478448,15690.0,-2380.0,1794.0,21.0,32.0,0.0
2871.0,2784.0,2851.0,3103.0,3005.0,0.85791,-0.042908,-0.510864,0.033081,0.0,1.0,-1.0,7807.0,-1157.0,894.0,649.0,-277.0,-2991.0,2942.0,-329.0,-821.0,0.873712,-0.107422,0.474281,15586.0,-2220.0,1912.0,11.0,45.0,-8.0
2866.0,2781.0,2854.0,3102.0,3015.0,0.857361,-0.04303,-0.511841,0.033081,-1.0,1.0,-1.0,7792.0,-1142.0,921.0,625.0,-260.0,-2948.0,2895.0,-313.0,-817.0,0.874818,-0.107649,0.472329,15490.0,-2186.0,2028.0,-1.0,37.0,-5.0
2871.0,2779.0,2859.0,3099.0,2998.0,0.856018,-0.043457,-0.513977,0.03302,-1.0,0.0,0.0,7772.0,-1121.0,954.0,586.0,-233.0,-2878.0,2818.0,-288.0,-807.0,0.877077,-0.108343,0.467796,15530.0,-2242.0,1942.0,-20.0,2.0,7.0
2864.0,2787.0,2863.0,3103.0,2991.0,0.855347,-0.043762,-0.515198,0.03302,-1.0,-1.0,0.0,7771.0,-1141.0,954.0,574.0,-248.0,-2858.0,2798.0,-304.0,-798.0,0.878455,-0.108887,0.465364,15566.0,-2434.0,1876.0,-13.0,-12.0,6.0
2881.0,2789.0,2847.0,3111.0,3007.0,0.853821,-0.044067,-0.517639,0.033142,1.0,-2.0,-1.0,7768.0,-1173.0,940.0,550.0,-275.0,-2830.0,2766.0,-332.0,-787.0,0.881021,-0.109563,0.460216,15502.0,-2378.0,1792.0,23.0,-27.0,-6.0
2871.0,2771.0,2854.0,3107.0,3019.0,0.853027,-0.044067,-0.518921,0.033203,1.0,-2.0,-1.0,7767.0,-1159.0,928.0,538.0,-260.0,-2820.0,2754.0,-318.0,-787.0,0.882381,-0.109641,0.457537,15536.0,-2184.0,1802.0,29.0,-33.0,-9.0
2869.0,2783.0,2843.0,3102.0,2995.0,0.85144,-0.044128,-0.521484,0.033264,0.0,-2.0,-1.0,7778.0,-1135.0,908.0,527.0,-235.0,-2796.0,2732.0,-292.0,-771.0,0.88509,-0.109839,0.452164,15612.0,-2248.0,1694.0,12.0,-34.0,-9.0
2864.0,2780.0,2863.0,3111.0,3011.0,0.850708,-0.044189,-0.522705,0.033264,0.0,-2.0,-1.0,7788.0,-1133.0,894.0,526.0,-232.0,-2789.0,2728.0,-289.0,-762.0,0.886399,-0.109959,0.449637,15622.0,-2224.0,1718.0,9.0,-27.0,-7.0
2863.0,2789.0,2855.0,3095.0,3047.0,0.849243,-0.044434,-0.525085,0.033264,0.0,-1.0,-1.0,7790.0,-1110.0,875.0,508.0,-205.0,-2767.0,2704.0,-263.0,-756.0,0.888894,-0.110403,0.444631,15590.0,-2124.0,1710.0,3.0,-6.0,-5.0
2871.0,2791.0,2855.0,3098.0,2999.0,0.848511,-0.044556,-0.526184,0.033264,-1.0,-1.0,0.0,7789.0,-1100.0,867.0,498.0,-193.0,-2755.0,2691.0,-252.0,-753.0,0.889982,-0.110618,0.442222,15572.0,-2152.0,1700.0,-1.0,-1.0,0.0
2875.0,2785.0,2862.0,3109.0,3011.0,0.847168,-0.044922,-0.52832,0.033325,-1.0,-1.0,0.0,7776.0,-1086.0,855.0,467.0,-174.0,-2730.0,2658.0,-236.0,-758.0,0.892158,-0.111326,0.437664,15530.0,-2186.0,1654.0,-6.0,0.0,14.0
2867.0,2783.0,2853.0,3099.0,2999.0,0.846497,-0.045105,-0.529419,0.033386,0.0,0.0,0.0,7778.0,-1086.0,851.0,460.0,-170.0,-2715.0,2644.0,-232.0,-752.0,0.893291,-0.111713,0.435352,15576.0,-2168.0,1694.0,1.0,2.0,22.0
2869.0,2787.0,2865.0,3099.0,3005.0,0.845215,-0.04541,-0.531372,0.033691,0.0,1.0,1.0,7795.0,-1096.0,858.0,461.0,-173.0,-2673.0,2610.0,-232.0,-720.0,0.895187,-0.112568,0.431105,15572.0,-2222.0,1718.0,18.0,23.0,25.0
2865.0,2787.0,2854.0,3095.0,2995.0,0.844666,-0.045532,-0.532288,0.033875,1.0,1.0,1.0,7790.0,-1096.0,869.0,448.0,-170.0,-2647.0,2582.0,-229.0,-715.0,0.896125,-0.112981,0.429204,15568.0,-2172.0,1860.0,23.0,32.0,28.0
2871.0,2789.0,2865.0,3103.0,2999.0,0.843567,-0.045837,-0.533997,0.034302,0.0,1.0,1.0,7763.0,-1098.0,880.0,408.0,-164.0,-2605.0,2530.0,-225.0,-723.0,0.897779,-0.113968,0.425528,15420.0,-2222.0,1800.0,12.0,30.0,43.0
2870.0,2783.0,2867.0,3101.0,2951.0,0.842957,-0.046082,-0.534851,0.034485,0.0,0.0,2.0,7748.0,-1097.0,872.0,387.0,-158.0,-2597.0,2516.0,-221.0,-734.0,0.898534,-0.114578,0.423576,15418.0,-2216.0,1690.0,2.0,21.0,48.0
2867.0,2791.0,2855.0,3119.0,3007.0,0.841736,-0.046692,-0.536682,0.034973,-1.0,0.0,2.0,7764.0,-1121.0,885.0,389.0,-169.0,-2551.0,2478.0,-230.0,-700.0,0.900223,-0.116143,0.419534,15630.0,-2280.0,1850.0,-4.0,22.0,52.0
2875.0,2783.0,2851.0,3111.0,3003.0,0.841187,-0.047058,-0.537537,0.035156,-1.0,1.0,2.0,7785.0,-1119.0,888.0,403.0,-160.0,-2533.0,2469.0,-219.0,-676.0,0.901028,-0.116965,0.417671,15712.0,-2216.0,1810.0,-12.0,30.0,55.0
2877.0,2803.0,2857.0,3103.0,3007.0,0.840088,-0.047913,-0.539124,0.035522,-2.0,1.0,3.0,7824.0,-1113.0,900.0,431.0,-139.0,-2491.0,2445.0,-195.0,-625.0,0.902418,-0.118804,0.41406,15728.0,-2232.0,1826.0,-35.0,45.0,69.0
2870.0,2778.0,2839.0,3118.0,3005.0,0.8396,-0.048401,-0.539856,0.035767,-2.0,1.0,3.0,7827.0,-1105.0,908.0,429.0,-122.0,-2470.0,2426.0,-178.0,-616.0,0.903063,-0.119892,0.41242,15682.0,-2162.0,1870.0,-38.0,43.0,86.0
2879.0,2791.0,2846.0,3111.0,2999.0,0.83844,-0.049683,-0.541443,0.036499,-2.0,1.0,5.0,7838.0,-1078.0,915.0,429.0,-71.0,-2432.0,2393.0,-127.0,-597.0,0.904308,-0.122836,0.408685,15744.0,-2042.0,1886.0,-43.0,29.0,134.0
2871.0,2791.0,2855.0,3095.0,3007.0,0.837891,-0.050354,-0.542236,0.036987,-3.0,1.0,6.0,7850.0,-1049.0,917.0,436.0,-29.0,-2416.0,2382.0,-84.0,-584.0,0.904945,-0.124494,0.406873,15766.0,-1888.0,1790.0,-50.0,25.0,160.0
2875.0,2787.0,2861.0,3151.0,3011.0,0.836609,-0.052185,-0.543945,0.038208,-4.0,0.0,9.0,7875.0,-1023.0,895.0,451.0,32.0,-2404.0,2380.0,-23.0,-563.0,0.906151,-0.128883,0.402775,15838.0,-2104.0,1706.0,-77.0,16.0,221.0
2875.0,2783.0,2845.0,3111.0,3003.0,0.835938,-0.053345,-0.5448,0.039062,-4.0,0.0,11.0,7882.0,-1023.0,877.0,454.0,56.0,-2405.0,2383.0,0.0,-559.0,0.90667,-0.131748,0.400665,15804.0,-2016.0,1650.0,-74.0,17.0,266.0
2877.0,2791.0,2867.0,3101.0,3019.0,0.834595,-0.056091,-0.546387,0.041382,-5.0,1.0,16.0,7899.0,-976.0,825.0,465.0,161.0,-2423.0,2405.0,102.0,-561.0,0.907381,-0.138848,0.396576,15822.0,-1790.0,1470.0,-94.0,28.0,381.0
2867.0,2775.0,2827.0,3107.0,3007.0,0.833923,-0.057739,-0.547119,0.042908,-5.0,1.0,19.0,7897.0,-1015.0,792.0,462.0,158.0,-2440.0,2420.0,98.0,-566.0,0.907556,-0.143251,0.394596,15820.0,-2406.0,1402.0,-98.0,38.0,445.0
2869.0,2783.0,2864.0,3110.0,3003.0,0.832703,-0.06189,-0.548157,0.047424,-3.0,3.0,27.0,7888.0,-1110.0,767.0,457.0,160.0,-2438.0,2418.0,100.0,-564.0,0.907033,-0.155063,0.391337,15590.0,-2242.0,1440.0,-50.0,87.0,635.0
2869.0,2771.0,2847.0,3103.0,3007.0,0.832214,-0.064209,-0.548462,0.050171,-3.0,4.0,30.0,7849.0,-1123.0,756.0,423.0,203.0,-2440.0,2406.0,138.0,-601.0,0.906433,-0.161905,0.390165,15446.0,-2320.0,1442.0,-66.0,106.0,699.0
2864.0,2775.0,2847.0,3103.0,3005.0,0.831116,-0.069763,-0.548828,0.055969,-6.0,5.0,34.0,7752.0,-1248.0,742.0,342.0,205.0,-2434.0,2369.0,126.0,-670.0,0.90447,-0.177398,0.387807,15250.0,-3214.0,1478.0,-130.0,125.0,790.0
2875.0,2783.0,2850.0,3071.0,3007.0,0.830627,-0.072937,-0.548889,0.059204,-6.0,6.0,35.0,7698.0,-1397.0,746.0,298.0,128.0,-2423.0,2344.0,42.0,-692.0,0.903208,-0.18616,0.386848,15070.0,-3722.0,1522.0,-121.0,138.0,820.0
2863.0,2787.0,2871.0,3101.0,3005.0,0.82959,-0.079285,-0.548706,0.066162,-3.0,5.0,37.0,7562.0,-1730.0,799.0,189.0,-57.0,-2356.0,2244.0,-157.0,-725.0,0.899911,-0.204155,0.385232,14690.0,-4482.0,1838.0,-67.0,137.0,859.0
2865.0,2775.0,2862.0,3101.0,3019.0,0.829102,-0.082458,-0.548584,0.069885,-3.0,5.0,38.0,7507.0,-1924.0,870.0,149.0,-175.0,-2280.0,2162.0,-277.0,-705.0,0.898138,-0.213409,0.38455,14740.0,-5092.0,2282.0,-50.0,129.0,871.0
2871.0,2778.0,2845.0,3089.0,3015.0,0.828125,-0.0896,-0.547852,0.07782,-6.0,6.0,41.0,7461.0,-2437.0,1233.0,141.0,-522.0,-1910.0,1830.0,-595.0,-484.0,0.893434,-0.233667,0.383678,14832.0,-6642.0,4022.0,-124.0,143.0,956.0
2867.0,2783.0,2864.0,3109.0,3007.0,0.827698,-0.09436,-0.547119,0.081909,-13.0,6.0,45.0,7451.0,-2759.0,1565.0,158.0,-745.0,-1577.0,1538.0,-789.0,-281.0,0.890241,-0.245832,0.383549,14840.0,-7544.0,5284.0,-291.0,158.0,1053.0
2863.0,2773.0,2863.0,3107.0,2993.0,0.826538,-0.108704,-0.544922,0.089539,-40.0,6.0,54.0,7280.0,-3539.0,2389.0,60.0,-1267.0,-743.0,744.0,-1261.0,120.0,0.881331,-0.277278,0.382426,13516.0,-9276.0,7152.0,-897.0,144.0,1253.0
2863.0,2783.0,2843.0,3091.0,3007.0,0.8255,-0.118469,-0.544128,0.092041,-57.0,1.0,51.0,6953.0,-3951.0,2695.0,-227.0,-1528.0,-416.0,329.0,-1562.0,94.0,0.876548,-0.295757,0.379812,11666.0,-10460.0,7096.0,-1292.0,32.0,1171.0
2865.0,2789.0,2855.0,3095.0,2999.0,0.820679,-0.140076,-0.546692,0.0896,-90.0,-27.0,6.0,5681.0,-4869.0,2701.0,-1464.0,-2182.0,-273.0,-326.0,-2536.0,-660.0,0.872215,-0.327881,0.363048,6904.0,-13524.0,3898.0,-2048.0,-600.0,149.0
2861.0,2785.0,2843.0,3099.0,3007.0,0.816162,-0.149658,-0.551819,0.083252,-95.0,-47.0,-33.0,5035.0,-5743.0,2303.0,-2139.0,-2989.0,-532.0,-401.0,-3538.0,-1052.0,0.875829,-0.336171,0.34615,6446.0,-17106.0,1916.0,-2157.0,-1066.0,-748.0
2865.0,2773.0,2863.0,3091.0,3007.0,0.804382,-0.157715,-0.569458,0.061829,-60.0,-75.0,-123.0,4503.0,-7546.0,1210.0,-2842.0,-4890.0,-1261.0,-189.0,-5633.0,-1343.0,0.896621,-0.324144,0.301697,8838.0,-19546.0,-964.0,-1373.0,-1702.0,-2809.0
2864.0,2785.0,2867.0,3111.0,2999.0,0.79303,-0.141846,-0.591614,0.030457,-5.0,-74.0,-209.0,4970.0,-7831.0,477.0,-2646.0,-5692.0,-1650.0,93.0,-6335.0,-1402.0,0.929694,-0.261013,0.259697,11758.0,-14078.0,-668.0,-101.0,-1675.0,-4770.0
