flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2853.0,2765.0,2839.0,3071.0,3003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2864.0,2767.0,2834.0,3071.0,2983.0,0.866882,0.372986,-0.3302,0.017578,0.0,-1.0,0.0,5344.0,5752.0,1479.0,546.0,549.0,-2646.0,1754.0,2019.0,-664.0,0.585602,0.635061,0.503643,10768.0,11690.0,2846.0,14.0,-5.0,12.0
2875.0,2768.0,2837.0,3071.0,2983.0,0.865601,0.374573,-0.331787,0.017639,-1.0,0.0,0.0,5377.0,5777.0,1460.0,563.0,560.0,-2629.0,1757.0,2015.0,-624.0,0.587605,0.636756,0.499188,10878.0,11532.0,2916.0,-22.0,6.0,14.0
2861.0,2783.0,2831.0,3088.0,2983.0,0.865051,0.375244,-0.33252,0.0177,-2.0,0.0,0.0,5389.0,5750.0,1456.0,567.0,528.0,-2617.0,1764.0,1984.0,-631.0,0.588577,0.637439,0.49725,10862.0,11274.0,2850.0,-26.0,19.0,18.0
2867.0,2779.0,2839.0,3063.0,2991.0,0.863953,0.376526,-0.333801,0.017944,-1.0,1.0,0.0,5381.0,5668.0,1466.0,545.0,436.0,-2577.0,1751.0,1899.0,-671.0,0.59029,0.638621,0.493541,10724.0,11082.0,3056.0,-9.0,32.0,16.0
2845.0,2769.0,2831.0,3069.0,2975.0,0.863403,0.377197,-0.334412,0.018127,-1.0,1.0,0.0,5372.0,5627.0,1476.0,529.0,390.0,-2551.0,1737.0,1854.0,-692.0,0.591139,0.639223,0.491685,10690.0,11018.0,3000.0,-2.0,34.0,12.0
2864.0,2781.0,2831.0,3063.0,2978.0,0.862305,0.378662,-0.335571,0.018311,0.0,1.0,-1.0,5348.0,5598.0,1501.0,493.0,348.0,-2495.0,1691.0,1798.0,-702.0,0.592596,0.640755,0.487912,10614.0,11176.0,3072.0,7.0,30.0,-2.0
2858.0,2781.0,2839.0,3071.0,2971.0,0.861816,0.379395,-0.336121,0.018372,0.0,1.0,-1.0,5336.0,5595.0,1503.0,475.0,339.0,-2479.0,1671.0,1786.0,-705.0,0.593289,0.641587,0.486148,10602.0,11172.0,2972.0,3.0,26.0,-8.0
2851.0,2767.0,2843.0,3069.0,2987.0,0.860718,0.380859,-0.337219,0.018433,-1.0,1.0,-1.0,5336.0,5588.0,1511.0,465.0,318.0,-2440.0,1649.0,1750.0,-696.0,0.594542,0.643193,0.482404,10736.0,11118.0,3072.0,0.0,32.0,-12.0
2862.0,2765.0,2839.0,3071.0,2961.0,0.860168,0.381592,-0.337708,0.018494,0.0,1.0,-1.0,5337.0,5586.0,1513.0,462.0,310.0,-2423.0,1639.0,1735.0,-689.0,0.595085,0.643976,0.480573,10652.0,11188.0,2992.0,11.0,41.0,-12.0
2855.0,2751.0,2826.0,3071.0,2943.0,0.859131,0.38324,-0.338623,0.018677,1.0,1.0,-1.0,5332.0,5611.0,1532.0,448.0,320.0,-2374.0,1598.0,1717.0,-658.0,0.596158,0.645857,0.476916,10658.0,11336.0,3172.0,23.0,42.0,-5.0
2879.0,2779.0,2823.0,3091.0,2995.0,0.858582,0.384033,-0.339111,0.018799,1.0,1.0,0.0,5325.0,5625.0,1549.0,436.0,327.0,-2342.0,1569.0,1705.0,-640.0,0.596748,0.646698,0.475038,10582.0,11360.0,3190.0,27.0,34.0,4.0
2864.0,2787.0,2847.0,3087.0,3005.0,0.857422,0.385559,-0.340271,0.019043,1.0,0.0,0.0,5301.0,5654.0,1571.0,400.0,343.0,-2288.0,1507.0,1691.0,-616.0,0.598196,0.648214,0.471095,10564.0,11364.0,3274.0,25.0,5.0,15.0
2863.0,2763.0,2803.0,3089.0,2965.0,0.856812,0.386353,-0.340881,0.019165,0.0,-1.0,0.0,5291.0,5673.0,1578.0,384.0,356.0,-2264.0,1477.0,1689.0,-600.0,0.598951,0.648997,0.469025,10518.0,11480.0,3178.0,21.0,-1.0,12.0
2853.0,2753.0,2828.0,3062.0,2986.0,0.855713,0.387756,-0.342102,0.019165,-1.0,0.0,-1.0,5304.0,5707.0,1576.0,385.0,378.0,-2235.0,1457.0,1687.0,-562.0,0.600345,0.650503,0.465223,10700.0,11464.0,3138.0,-7.0,8.0,-2.0
2847.0,2768.0,2851.0,3071.0,2970.0,0.855164,0.388367,-0.342651,0.019165,-1.0,0.0,-1.0,5311.0,5693.0,1560.0,388.0,359.0,-2236.0,1466.0,1674.0,-569.0,0.600932,0.6511,0.463433,10644.0,11266.0,2994.0,-14.0,18.0,-5.0
