flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2878.0,2823.0,2887.0,3141.0,3039.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2867.0,2831.0,2897.0,3147.0,3057.0,0.869873,0.434937,-0.232483,0.005249,0.0,-1.0,0.0,3711.0,6817.0,1477.0,360.0,638.0,-2729.0,1277.0,2398.0,-772.0,0.409027,0.754238,0.513489,7448.0,13768.0,2860.0,1.0,-5.0,10.0
2865.0,2834.0,2901.0,3139.0,3051.0,0.868591,0.43689,-0.233643,0.005249,-1.0,-1.0,0.0,3707.0,6847.0,1473.0,344.0,649.0,-2696.0,1249.0,2386.0,-740.0,0.410466,0.756504,0.509017,7386.0,13798.0,2938.0,-4.0,-5.0,11.0
2871.0,2833.0,2908.0,3155.0,3047.0,0.867981,0.437866,-0.234192,0.00531,-1.0,-1.0,0.0,3700.0,6852.0,1467.0,331.0,645.0,-2685.0,1235.0,2380.0,-736.0,0.411198,0.757632,0.506846,7404.0,13726.0,2900.0,-7.0,-11.0,16.0
2875.0,2837.0,2907.0,3151.0,3057.0,0.866638,0.439758,-0.235413,0.005371,0.0,-1.0,0.0,3722.0,6851.0,1468.0,340.0,627.0,-2646.0,1233.0,2340.0,-712.0,0.412759,0.759694,0.502284,7522.0,13684.0,2924.0,6.0,-1.0,17.0
2867.0,2832.0,2899.0,3171.0,3051.0,0.866028,0.440735,-0.235901,0.005493,0.0,0.0,0.0,3734.0,6849.0,1470.0,347.0,616.0,-2627.0,1235.0,2319.0,-701.0,0.413436,0.760786,0.500138,7498.0,13702.0,2932.0,10.0,13.0,16.0
2871.0,2833.0,2899.0,3143.0,3047.0,0.864746,0.442688,-0.236816,0.005737,0.0,0.0,0.0,3729.0,6871.0,1473.0,332.0,621.0,-2588.0,1205.0,2299.0,-671.0,0.414652,0.762908,0.495764,7446.0,13790.0,2976.0,6.0,21.0,12.0
2870.0,2832.0,2899.0,3154.0,3057.0,0.864197,0.443604,-0.237244,0.005859,-1.0,0.0,0.0,3714.0,6870.0,1473.0,312.0,611.0,-2572.0,1183.0,2287.0,-673.0,0.415249,0.763941,0.493802,7318.0,13710.0,2958.0,0.0,22.0,16.0
2867.0,2834.0,2907.0,3155.0,3057.0,0.862976,0.445435,-0.23822,0.006042,0.0,0.0,1.0,3691.0,6850.0,1476.0,278.0,575.0,-2534.0,1146.0,2246.0,-684.0,0.41654,0.76592,0.489603,7306.0,13642.0,2930.0,2.0,5.0,24.0
2865.0,2832.0,2898.0,3139.0,3055.0,0.862366,0.44635,-0.238708,0.006165,0.0,-1.0,0.0,3677.0,6840.0,1492.0,259.0,557.0,-2501.0,1120.0,2215.0,-684.0,0.417211,0.766891,0.487502,7230.0,13644.0,3102.0,4.0,0.0,19.0
2871.0,2807.0,2899.0,3142.0,3055.0,0.861206,0.448059,-0.239807,0.006226,-1.0,-1.0,0.0,3672.0,6827.0,1515.0,242.0,529.0,-2445.0,1091.0,2161.0,-674.0,0.418626,0.768757,0.48345,7372.0,13566.0,3146.0,0.0,-12.0,12.0
2843.0,2835.0,2899.0,3147.0,3057.0,0.860596,0.448914,-0.240295,0.006226,0.0,-1.0,0.0,3671.0,6813.0,1523.0,237.0,507.0,-2420.0,1082.0,2131.0,-675.0,0.419184,0.769674,0.481398,7346.0,13568.0,3102.0,5.0,-14.0,12.0
2875.0,2839.0,2903.0,3151.0,3047.0,0.859314,0.450745,-0.241455,0.006287,0.0,-1.0,0.0,3694.0,6822.0,1518.0,248.0,500.0,-2389.0,1082.0,2103.0,-649.0,0.420639,0.771626,0.476989,7518.0,13742.0,3000.0,22.0,-14.0,12.0
2867.0,2833.0,2891.0,3142.0,3047.0,0.858643,0.451721,-0.241943,0.006348,1.0,-1.0,0.0,3698.0,6849.0,1513.0,247.0,519.0,-2375.0,1072.0,2105.0,-622.0,0.42122,0.772663,0.474719,7384.0,13880.0,2994.0,25.0,-4.0,12.0
2879.0,2827.0,2899.0,3127.0,3043.0,0.857361,0.453674,-0.242981,0.006409,0.0,-1.0,0.0,3711.0,6901.0,1496.0,250.0,553.0,-2356.0,1060.0,2113.0,-573.0,0.42246,0.774811,0.470249,7598.0,13922.0,2946.0,13.0,-13.0,6.0
2871.0,2831.0,2911.0,3155.0,3053.0,0.85675,0.45459,-0.243469,0.006409,0.0,0.0,0.0,3731.0,6918.0,1478.0,265.0,562.0,-2356.0,1072.0,2116.0,-554.0,0.423011,0.775819,0.468133,7530.0,13946.0,2822.0,11.0,4.0,3.0
2866.0,2833.0,2902.0,3153.0,3055.0,0.85553,0.45636,-0.244385,0.006531,0.0,0.0,0.0,3731.0,6936.0,1465.0,256.0,565.0,-2335.0,1055.0,2106.0,-535.0,0.424118,0.777667,0.463986,7460.0,13942.0,2948.0,5.0,3.0,18.0
2891.0,2833.0,2895.0,3138.0,3045.0,0.854919,0.457214,-0.244873,0.006592,-1.0,-1.0,0.0,3724.0,6946.0,1474.0,244.0,568.0,-2310.0,1034.0,2091.0,-521.0,0.424721,0.778535,0.461923,7400.0,13942.0,3028.0,-2.0,0.0,21.0
2860.0,2830.0,2900.0,3135.0,3055.0,0.853821,0.45874,-0.245789,0.006714,-1.0,-1.0,0.0,3725.0,6924.0,1492.0,236.0,533.0,-2261.0,1016.0,2036.0,-519.0,0.425879,0.780064,0.4582,7398.0,13752.0,2970.0,-10.0,0.0,16.0
2867.0,2835.0,2907.0,3163.0,3063.0,0.853333,0.459473,-0.246216,0.006775,-1.0,-1.0,0.0,3721.0,6914.0,1497.0,227.0,517.0,-2242.0,1004.0,2015.0,-522.0,0.426434,0.78083,0.456485,7388.0,13766.0,2984.0,-10.0,0.0,18.0
2866.0,2839.0,2897.0,3151.0,3055.0,0.852234,0.460938,-0.247192,0.006958,-1.0,-1.0,1.0,3714.0,6898.0,1502.0,209.0,490.0,-2207.0,981.0,1978.0,-526.0,0.427746,0.782213,0.452784,7426.0,13760.0,3014.0,-5.0,-2.0,28.0
2865.0,2831.0,2896.0,3149.0,3055.0,0.851685,0.461731,-0.247681,0.007019,0.0,-1.0,1.0,3712.0,6893.0,1502.0,202.0,478.0,-2191.0,972.0,1961.0,-527.0,0.428373,0.783021,0.450875,7418.0,13756.0,2978.0,2.0,-1.0,30.0
2871.0,2830.0,2896.0,3115.0,3051.0,0.850586,0.463257,-0.248657,0.007263,-1.0,-1.0,1.0,3727.0,6923.0,1489.0,206.0,496.0,-2173.0,964.0,1958.0,-493.0,0.429738,0.784467,0.447112,7546.0,13978.0,2956.0,0.0,-1.0,28.0
2871.0,2837.0,2923.0,3153.0,3051.0,0.850037,0.463989,-0.249084,0.007385,-1.0,0.0,1.0,3733.0,6951.0,1486.0,207.0,519.0,-2161.0,955.0,1962.0,-465.0,0.430315,0.785137,0.445288,7492.0,14054.0,2960.0,-8.0,7.0,24.0
2867.0,2837.0,2900.0,3151.0,3056.0,0.84906,0.465332,-0.249939,0.007446,-2.0,0.0,0.0,3730.0,6956.0,1481.0,196.0,513.0,-2139.0,938.0,1945.0,-457.0,0.431356,0.786467,0.441955,7502.0,13860.0,2924.0,-32.0,2.0,21.0
2869.0,2831.0,2896.0,3137.0,3051.0,0.848572,0.465881,-0.250427,0.007507,-2.0,0.0,1.0,3736.0,6937.0,1475.0,197.0,490.0,-2132.0,942.0,1927.0,-468.0,0.432006,0.786907,0.440371,7526.0,13746.0,2922.0,-34.0,2.0,24.0
2867.0,2827.0,2902.0,3141.0,3039.0,0.847656,0.467102,-0.251282,0.00769,-1.0,0.0,1.0,3769.0,6886.0,1478.0,220.0,430.0,-2103.0,966.0,1866.0,-485.0,0.433186,0.788019,0.437253,7612.0,13694.0,2942.0,-16.0,15.0,25.0
2877.0,2843.0,2915.0,3155.0,3053.0,0.847168,0.467773,-0.251709,0.007874,-1.0,0.0,1.0,3774.0,6881.0,1479.0,219.0,420.0,-2089.0,962.0,1851.0,-483.0,0.433846,0.788602,0.435586,7596.0,13744.0,2976.0,-15.0,19.0,29.0
2875.0,2835.0,2903.0,3143.0,3023.0,0.846313,0.468933,-0.252441,0.008301,-1.0,1.0,1.0,3787.0,6863.0,1476.0,222.0,395.0,-2068.0,962.0,1821.0,-486.0,0.435074,0.789538,0.43269,7608.0,13638.0,2912.0,-19.0,30.0,37.0
2869.0,2827.0,2894.0,3135.0,3047.0,0.845886,0.469543,-0.252747,0.008545,-1.0,1.0,1.0,3802.0,6850.0,1493.0,233.0,377.0,-2039.0,963.0,1787.0,-479.0,0.435614,0.790041,0.431245,7690.0,13654.0,3088.0,-15.0,39.0,34.0
2859.0,2817.0,2886.0,3143.0,3055.0,0.845032,0.470703,-0.253357,0.009033,-1.0,1.0,1.0,3797.0,6838.0,1514.0,219.0,358.0,-1995.0,937.0,1746.0,-475.0,0.436693,0.790941,0.428409,7578.0,13644.0,3134.0,-11.0,42.0,33.0
2879.0,2837.0,2896.0,3139.0,3057.0,0.844666,0.471313,-0.253601,0.009277,-1.0,1.0,1.0,3793.0,6838.0,1528.0,211.0,354.0,-1970.0,920.0,1727.0,-468.0,0.437161,0.791499,0.427096,7542.0,13686.0,3108.0,-12.0,44.0,34.0
2875.0,2835.0,2915.0,3159.0,3067.0,0.843811,0.472473,-0.25415,0.009766,-1.0,1.0,1.0,3786.0,6848.0,1529.0,196.0,356.0,-1946.0,895.0,1714.0,-457.0,0.438138,0.792392,0.424289,7546.0,13706.0,3080.0,-11.0,40.0,36.0
2867.0,2829.0,2895.0,3143.0,3043.0,0.843384,0.473083,-0.254395,0.009949,-1.0,1.0,1.0,3782.0,6863.0,1527.0,189.0,367.0,-1937.0,882.0,1715.0,-445.0,0.438518,0.79292,0.422871,7548.0,13848.0,3056.0,-10.0,38.0,36.0
2865.0,2821.0,2897.0,3139.0,3047.0,0.84259,0.474243,-0.255005,0.010437,-1.0,1.0,1.0,3782.0,6911.0,1540.0,180.0,407.0,-1901.0,849.0,1712.0,-396.0,0.439629,0.793862,0.420133,7600.0,13980.0,3114.0,-15.0,40.0,40.0
2875.0,2837.0,2903.0,3151.0,3061.0,0.842163,0.474792,-0.255188,0.010681,-1.0,2.0,1.0,3795.0,6942.0,1547.0,190.0,435.0,-1883.0,842.0,1712.0,-359.0,0.439962,0.794254,0.418804,7700.0,14102.0,3158.0,-20.0,53.0,34.0
2865.0,2830.0,2918.0,3151.0,3051.0,0.841553,0.475769,-0.255371,0.011108,-3.0,3.0,1.0,3792.0,7047.0,1563.0,184.0,533.0,-1851.0,796.0,1742.0,-266.0,0.440387,0.795096,0.416764,7536.0,14440.0,3180.0,-58.0,74.0,31.0
2871.0,2830.0,2901.0,3142.0,3039.0,0.84137,0.476074,-0.255432,0.011292,-4.0,3.0,1.0,3786.0,7108.0,1584.0,176.0,592.0,-1825.0,762.0,1756.0,-211.0,0.440577,0.79534,0.416138,7556.0,14588.0,3304.0,-88.0,72.0,34.0
