flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2889.0,2823.0,2887.0,3127.0,3055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2898.0,2823.0,2895.0,3143.0,3047.0,0.961853,0.031982,-0.271667,-0.002869,-4.0,-1.0,-1.0,5236.0,671.0,6027.0,956.0,154.0,-939.0,1303.0,188.0,-289.0,0.522425,0.063083,0.850343,10518.0,1408.0,12062.0,-69.0,-19.0,-21.0
2892.0,2829.0,2895.0,3151.0,3039.0,0.961487,0.03125,-0.27301,-0.00354,-6.0,-1.0,-2.0,5235.0,683.0,6006.0,936.0,174.0,-948.0,1292.0,206.0,-302.0,0.52477,0.062026,0.848958,10444.0,1344.0,11868.0,-116.0,-15.0,-38.0
2896.0,2839.0,2909.0,3159.0,3055.0,0.961304,0.030762,-0.273682,-0.003906,-6.0,-1.0,-2.0,5236.0,654.0,5982.0,927.0,151.0,-967.0,1295.0,183.0,-323.0,0.525942,0.061281,0.848272,10472.0,1104.0,11810.0,-125.0,-17.0,-41.0
2894.0,2835.0,2907.0,3153.0,3047.0,0.960938,0.029785,-0.275085,-0.004578,-5.0,-1.0,-2.0,5248.0,559.0,5936.0,919.0,69.0,-1001.0,1308.0,100.0,-357.0,0.528407,0.059762,0.846863,10564.0,862.0,11742.0,-93.0,-19.0,-36.0
2893.0,2826.0,2896.0,3143.0,3051.0,0.960754,0.02948,-0.275818,-0.004822,-4.0,-1.0,-2.0,5261.0,526.0,5914.0,921.0,40.0,-1017.0,1319.0,71.0,-370.0,0.529702,0.059306,0.846128,10586.0,886.0,11686.0,-69.0,-11.0,-35.0
2896.0,2821.0,2893.0,3152.0,3051.0,0.960388,0.029114,-0.277039,-0.005249,-2.0,0.0,-2.0,5291.0,501.0,5893.0,934.0,19.0,-1027.0,1337.0,48.0,-369.0,0.531824,0.058829,0.844775,10700.0,978.0,11788.0,-31.0,9.0,-28.0
2896.0,2837.0,2902.0,3158.0,3059.0,0.960266,0.029053,-0.277527,-0.005432,-1.0,1.0,-2.0,5299.0,497.0,5888.0,935.0,15.0,-1028.0,1339.0,44.0,-368.0,0.532684,0.058812,0.844275,10620.0,964.0,11752.0,-13.0,31.0,-28.0
2897.0,2832.0,2891.0,3153.0,3055.0,0.960022,0.029236,-0.278259,-0.005676,-1.0,1.0,-2.0,5257.0,552.0,5905.0,882.0,66.0,-1004.0,1281.0,95.0,-371.0,0.533938,0.059293,0.843391,10354.0,1392.0,11880.0,-10.0,41.0,-25.0
2894.0,2829.0,2896.0,3135.0,3047.0,0.9599,0.029236,-0.278625,-0.005859,-2.0,1.0,-2.0,5240.0,603.0,5929.0,860.0,116.0,-976.0,1248.0,143.0,-356.0,0.534563,0.059392,0.842955,10364.0,1506.0,11960.0,-29.0,39.0,-25.0
