flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2847.0,2774.0,2831.0,3089.0,2987.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2854.0,2795.0,2853.0,3071.0,2991.0,0.947327,0.131592,-0.28241,0.074158,-177.0,683.0,-272.0,7876.0,-1882.0,-4803.0,3332.0,-3581.0,-11404.0,9412.0,123.0,-8084.0,0.554586,0.207435,0.805856,-2540.0,-10376.0,-18714.0,-4041.0,15658.0,-6228.0
2833.0,2775.0,2861.0,3103.0,2991.0,0.987854,0.091614,-0.122009,0.027649,-173.0,634.0,-222.0,1441.0,-3197.0,-5752.0,-575.0,-4624.0,-13561.0,2999.0,-2011.0,-13875.0,0.246121,0.174255,0.953341,-14508.0,-8698.0,-8790.0,-3952.0,14539.0,-5083.0
2846.0,2763.0,2851.0,3071.0,3037.0,0.99823,0.050232,0.029175,-0.011047,-158.0,540.0,-172.0,-3311.0,-3264.0,-2982.0,-2824.0,-4080.0,-11118.0,-3555.0,-2882.0,-11281.0,-0.059356,0.099641,0.993211,-20568.0,-6032.0,3966.0,-3608.0,12391.0,-3925.0
2841.0,2767.0,2842.0,3093.0,2971.0,0.987976,0.012573,0.149719,-0.035889,-129.0,379.0,-100.0,-8059.0,-3280.0,721.0,-5628.0,-3395.0,-7100.0,-7708.0,-2754.0,-5156.0,-0.296741,0.014098,0.954811,-30632.0,-7474.0,12622.0,-2936.0,8698.0,-2279.0
2835.0,2766.0,2885.0,3091.0,2987.0,0.980225,-0.001526,0.192993,-0.042542,-94.0,278.0,-65.0,-10267.0,-3645.0,2421.0,-7168.0,-3485.0,-5159.0,-8848.0,-2800.0,-1995.0,-0.378223,-0.019412,0.925401,-32768.0,-9900.0,14772.0,-2134.0,6388.0,-1466.0
2845.0,2751.0,2805.0,3093.0,2991.0,0.969421,-0.012695,0.240173,-0.048035,6.0,79.0,-5.0,-13082.0,-4246.0,5319.0,-9277.0,-3855.0,-1924.0,-9397.0,-2918.0,2791.0,-0.464439,-0.047688,0.884241,-32768.0,-7814.0,18802.0,146.0,1821.0,-99.0
2843.0,2771.0,2855.0,3061.0,3015.0,0.968201,-0.002991,0.245789,-0.045593,46.0,-56.0,28.0,-14297.0,-2279.0,7808.0,-10400.0,-2047.0,606.0,-8988.0,-1114.0,5537.0,-0.475673,-0.028204,0.87907,-29516.0,3054.0,22314.0,1070.0,-1269.0,654.0
2866.0,2800.0,2854.0,3059.0,2999.0,0.969971,0.003845,0.239136,-0.043091,43.0,-90.0,29.0,-14031.0,-1081.0,8717.0,-10227.0,-973.0,1462.0,-8423.0,-174.0,6055.0,-0.464241,-0.01315,0.885499,-25786.0,4786.0,22426.0,992.0,-2049.0,665.0
2834.0,2749.0,2867.0,3093.0,2999.0,0.974854,0.014221,0.218628,-0.039734,25.0,-107.0,14.0,-12278.0,485.0,9841.0,-8776.0,400.0,2436.0,-6839.0,913.0,5956.0,-0.427391,0.010353,0.903918,-17524.0,4178.0,22218.0,592.0,-2443.0,328.0
2834.0,2774.0,2833.0,3071.0,3013.0,0.979309,0.018372,0.197632,-0.038208,6.0,-85.0,9.0,-9381.0,786.0,10290.0,-6198.0,614.0,2744.0,-4586.0,890.0,4948.0,-0.388489,0.020881,0.92111,-9524.0,1236.0,21230.0,153.0,-1940.0,210.0
2831.0,2751.0,2877.0,3099.0,3023.0,0.981079,0.018738,0.188965,-0.036987,1.0,-68.0,13.0,-7914.0,580.0,10297.0,-4865.0,393.0,2696.0,-3476.0,573.0,4320.0,-0.372165,0.022788,0.927825,-7278.0,-364.0,20400.0,42.0,-1553.0,307.0
2833.0,2754.0,2863.0,3067.0,2994.0,0.983521,0.019043,0.176758,-0.032104,6.0,-39.0,28.0,-5692.0,-252.0,9870.0,-2833.0,-465.0,2196.0,-1921.0,-411.0,3033.0,-0.348913,0.026109,0.936737,-6024.0,-3242.0,17858.0,139.0,-872.0,652.0
2837.0,2751.0,2837.0,3090.0,2975.0,0.984253,0.020142,0.172913,-0.028442,13.0,-29.0,36.0,-5008.0,-679.0,9526.0,-2210.0,-923.0,1831.0,-1510.0,-902.0,2447.0,-0.341525,0.029813,0.939258,-6306.0,-3818.0,16980.0,309.0,-651.0,838.0
2830.0,2767.0,2858.0,3110.0,3007.0,0.985352,0.025757,0.167297,-0.019043,30.0,-23.0,50.0,-4341.0,-1174.0,8867.0,-1632.0,-1537.0,1144.0,-1234.0,-1551.0,1549.0,-0.330674,0.044387,0.942629,-7550.0,-3228.0,15794.0,709.0,-525.0,1149.0
2864.0,2791.0,2843.0,3115.0,2979.0,0.986145,0.035461,0.161499,-0.007629,40.0,-31.0,58.0,-4311.0,-1038.0,8416.0,-1697.0,-1590.0,672.0,-1436.0,-1628.0,1069.0,-0.319064,0.067476,0.945201,-8988.0,-812.0,15980.0,923.0,-701.0,1342.0
2838.0,2743.0,2863.0,3055.0,3023.0,0.986633,0.041016,0.157654,-0.001221,38.0,-39.0,63.0,-4402.0,-743.0,8328.0,-1852.0,-1402.0,570.0,-1604.0,-1463.0,1003.0,-0.311193,0.08055,0.94691,-9362.0,394.0,16190.0,884.0,-873.0,1456.0
2843.0,2765.0,2857.0,3071.0,3019.0,0.987732,0.05127,0.146484,0.01416,30.0,-60.0,76.0,-4596.0,-199.0,8103.0,-2237.0,-1062.0,306.0,-2037.0,-1181.0,823.0,-0.287923,0.10543,0.951729,-9730.0,980.0,15394.0,694.0,-1374.0,1753.0
2833.0,2773.0,2864.0,3071.0,2961.0,0.988403,0.056152,0.138977,0.022766,28.0,-71.0,80.0,-4636.0,6.0,7987.0,-2406.0,-955.0,163.0,-2237.0,-1110.0,698.0,-0.272174,0.11733,0.954992,-9392.0,1190.0,15342.0,658.0,-1617.0,1849.0
2855.0,2774.0,2851.0,3119.0,3003.0,0.989624,0.066162,0.1203,0.040833,31.0,-89.0,87.0,-4484.0,318.0,7874.0,-2577.0,-835.0,-8.0,-2441.0,-1073.0,474.0,-0.232701,0.140776,0.962173,-8108.0,1382.0,15482.0,714.0,-2027.0,2000.0
