flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2895.0,2775.0,2875.0,3135.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2873.0,2762.0,2879.0,3123.0,3043.0,0.844238,0.236877,-0.468384,0.108093,23.0,-4.0,-13.0,7359.0,-382.0,2391.0,460.0,-2828.0,-1286.0,2342.0,-1817.0,-1034.0,0.842065,0.298704,0.448928,14914.0,-314.0,4978.0,527.0,-70.0,-288.0
2871.0,2787.0,2875.0,3151.0,3022.0,0.842896,0.238464,-0.470032,0.108154,-1.0,-4.0,-6.0,7486.0,-18.0,2333.0,572.0,-2478.0,-1307.0,2281.0,-1503.0,-842.0,0.843957,0.300329,0.444375,15246.0,1302.0,4100.0,-20.0,-78.0,-127.0
2875.0,2774.0,2879.0,3139.0,3047.0,-0.000854,-0.000244,-0.000122,0.457336,196.0,2191.0,-19862.0,-23920.0,26405.0,-17347.0,-23918.0,26405.0,-19060.0,5027.0,-5501.0,-3984.0,-0.000224,-0.000111,0.209157,14372.0,1382.0,2792.0,-514.0,-87.0,29.0
2883.0,2769.0,2895.0,3151.0,3043.0,0.842346,0.231689,-0.474915,0.105713,-28.0,-7.0,2.0,7340.0,419.0,1805.0,384.0,-1955.0,-1811.0,2340.0,-828.0,-1040.0,0.84907,0.289916,0.441498,14114.0,1268.0,2412.0,-630.0,-138.0,50.0
2878.0,2770.0,2898.0,3151.0,3055.0,0.841675,0.225281,-0.479858,0.102539,-31.0,-14.0,-1.0,7224.0,508.0,1424.0,228.0,-1792.0,-2163.0,2462.0,-549.0,-1255.0,0.85397,0.280818,0.437915,14456.0,1106.0,1916.0,-694.0,-298.0,-14.0
2875.0,2765.0,2882.0,3127.0,3019.0,0.841003,0.22229,-0.482849,0.100525,-30.0,-16.0,-3.0,7329.0,526.0,1327.0,309.0,-1741.0,-2235.0,2542.0,-495.0,-1189.0,0.856847,0.276817,0.434836,15484.0,1176.0,2234.0,-668.0,-363.0,-67.0
2864.0,2769.0,2907.0,3147.0,3055.0,0.839417,0.216797,-0.489014,0.095947,-31.0,-18.0,-6.0,7788.0,690.0,1421.0,721.0,-1522.0,-2082.0,2553.0,-434.0,-679.0,0.862574,0.270127,0.427691,17080.0,2058.0,3496.0,-690.0,-401.0,-122.0
2879.0,2778.0,2909.0,3111.0,3011.0,0.838135,0.209961,-0.495178,0.090576,-40.0,-20.0,-2.0,8202.0,996.0,1758.0,1090.0,-1152.0,-1694.0,2293.0,-344.0,-69.0,0.868087,0.262248,0.421389,17486.0,3036.0,4542.0,-900.0,-454.0,-41.0
2878.0,2775.0,2893.0,3143.0,3035.0,0.837402,0.205505,-0.498779,0.087646,-46.0,-24.0,1.0,8399.0,1172.0,1939.0,1260.0,-931.0,-1484.0,2127.0,-270.0,238.0,0.871382,0.256749,0.417911,18012.0,3386.0,4990.0,-1047.0,-537.0,45.0
2875.0,2773.0,2891.0,3143.0,3023.0,0.83551,0.194275,-0.507385,0.081665,-57.0,-32.0,11.0,8840.0,1506.0,2258.0,1634.0,-474.0,-1097.0,1824.0,-83.0,873.0,0.879582,0.241766,0.409564,18974.0,4038.0,5422.0,-1298.0,-719.0,252.0
2865.0,2759.0,2893.0,3123.0,3025.0,0.834229,0.1875,-0.512512,0.078735,-62.0,-36.0,16.0,9047.0,1690.0,2403.0,1800.0,-211.0,-909.0,1650.0,54.0,1175.0,0.88463,0.23213,0.404311,19308.0,4530.0,5608.0,-1415.0,-821.0,376.0
2879.0,2766.0,2879.0,3135.0,3039.0,0.830566,0.171936,-0.524658,0.072632,-72.0,-48.0,25.0,9370.0,1999.0,2483.0,2025.0,283.0,-714.0,1407.0,400.0,1596.0,0.896503,0.209395,0.390288,19672.0,4634.0,4952.0,-1643.0,-1093.0,576.0
2879.0,2782.0,2903.0,3141.0,3031.0,0.828064,0.163452,-0.531738,0.069702,-73.0,-53.0,28.0,9532.0,2072.0,2464.0,2131.0,461.0,-657.0,1335.0,534.0,1765.0,0.903413,0.196571,0.381086,20052.0,4602.0,4758.0,-1667.0,-1210.0,657.0
2879.0,2773.0,2896.0,3147.0,3023.0,0.821716,0.146545,-0.546936,0.064148,-71.0,-61.0,32.0,9753.0,2324.0,2226.0,2235.0,925.0,-712.0,1260.0,976.0,1953.0,0.917654,0.170668,0.358718,19898.0,5434.0,3186.0,-1620.0,-1377.0,751.0
2875.0,2770.0,2891.0,3139.0,3024.0,0.81781,0.138367,-0.555176,0.061401,-70.0,-65.0,33.0,9820.0,2467.0,1960.0,2242.0,1171.0,-868.0,1318.0,1253.0,1959.0,0.925048,0.158138,0.345218,19998.0,5822.0,2198.0,-1583.0,-1478.0,772.0
2878.0,2769.0,2899.0,3138.0,3025.0,0.808777,0.123413,-0.572205,0.056702,-58.0,-67.0,35.0,9740.0,2514.0,1208.0,2043.0,1410.0,-1369.0,1611.0,1618.0,1678.0,0.939567,0.134737,0.314686,18692.0,4728.0,-132.0,-1322.0,-1514.0,802.0
2874.0,2769.0,2898.0,3135.0,3029.0,0.798279,0.11145,-0.589294,0.055115,-38.0,-69.0,41.0,9260.0,2515.0,418.0,1451.0,1589.0,-1880.0,1831.0,1933.0,1034.0,0.953128,0.112979,0.280598,16728.0,5394.0,-1442.0,-857.0,-1575.0,940.0
2873.0,2775.0,2859.0,3143.0,3031.0,0.792419,0.106506,-0.598022,0.055664,-31.0,-72.0,46.0,8911.0,2634.0,35.0,1049.0,1796.0,-2111.0,1880.0,2199.0,637.0,0.959626,0.102219,0.262053,15666.0,6100.0,-2250.0,-690.0,-1638.0,1059.0
2874.0,2826.0,2895.0,3147.0,3030.0,0.779114,0.09668,-0.616516,0.058899,-25.0,-79.0,60.0,8270.0,2872.0,-775.0,306.0,2232.0,-2585.0,2054.0,2743.0,-99.0,0.972061,0.078025,0.221048,14826.0,6206.0,-4026.0,-562.0,-1798.0,1387.0
2875.0,2768.0,2895.0,3135.0,3037.0,0.771851,0.090942,-0.626221,0.061707,-26.0,-80.0,69.0,8027.0,2915.0,-1203.0,15.0,2398.0,-2834.0,2209.0,2956.0,-398.0,0.977921,0.063104,0.199138,14680.0,6048.0,-4958.0,-576.0,-1810.0,1602.0
2878.0,2767.0,2886.0,3135.0,3027.0,0.756958,0.076172,-0.645325,0.069031,-35.0,-73.0,89.0,7569.0,2975.0,-2215.0,-520.0,2760.0,-3488.0,2729.0,3411.0,-983.0,0.987484,0.026223,0.155505,13822.0,6014.0,-7794.0,-787.0,-1665.0,2051.0
2875.0,2770.0,2895.0,3135.0,3031.0,0.742737,0.055847,-0.66272,0.077026,-50.0,-56.0,102.0,7151.0,2750.0,-3350.0,-984.0,2906.0,-4294.0,3534.0,3607.0,-1527.0,0.993056,-0.019134,0.115275,13010.0,4472.0,-10114.0,-1129.0,-1270.0,2352.0
2883.0,2778.0,2897.0,3135.0,3035.0,0.736511,0.043823,-0.670105,0.081055,-55.0,-44.0,107.0,6918.0,2488.0,-3900.0,-1226.0,2849.0,-4703.0,3992.0,3540.0,-1805.0,0.994184,-0.044078,0.098058,12414.0,3252.0,-11062.0,-1253.0,-996.0,2453.0
2879.0,2777.0,2899.0,3143.0,3045.0,0.726196,0.017212,-0.681458,0.089294,-61.0,-19.0,110.0,6286.0,1853.0,-4877.0,-1847.0,2645.0,-5455.0,4875.0,3205.0,-2474.0,0.992818,-0.096702,0.070654,10408.0,1726.0,-12214.0,-1378.0,-415.0,2541.0
2879.0,2775.0,2896.0,3127.0,3031.0,0.718323,-0.011902,-0.688782,0.097351,-66.0,-4.0,114.0,5354.0,1206.0,-5518.0,-2733.0,2444.0,-5934.0,5495.0,2664.0,-3369.0,0.987218,-0.151206,0.050903,8126.0,482.0,-12302.0,-1508.0,-70.0,2615.0
2877.0,2769.0,2895.0,3134.0,3031.0,0.714844,-0.0271,-0.691406,0.101074,-68.0,2.0,112.0,5048.0,796.0,-5626.0,-3004.0,2258.0,-5973.0,5624.0,2265.0,-3609.0,0.983017,-0.178511,0.042441,8514.0,-1136.0,-11770.0,-1538.0,58.0,2574.0
2881.0,2771.0,2896.0,3135.0,3037.0,0.70929,-0.057251,-0.694092,0.108765,-61.0,16.0,105.0,4811.0,-369.0,-5729.0,-3153.0,1533.0,-5973.0,5800.0,1166.0,-3599.0,0.97217,-0.2322,0.02988,9484.0,-4370.0,-11672.0,-1380.0,373.0,2426.0
2875.0,2767.0,2896.0,3135.0,3031.0,0.706726,-0.084595,-0.692688,0.116516,-47.0,37.0,90.0,4979.0,-1511.0,-5585.0,-2880.0,790.0,-5798.0,5715.0,188.0,-3136.0,0.959368,-0.280989,0.026065,10450.0,-6304.0,-10538.0,-1059.0,854.0,2083.0
2879.0,2778.0,2899.0,3147.0,3027.0,0.707031,-0.096741,-0.690186,0.119995,-41.0,47.0,81.0,5019.0,-2027.0,-5435.0,-2785.0,450.0,-5669.0,5596.0,-252.0,-2951.0,0.952749,-0.302435,0.028577,10210.0,-7074.0,-9988.0,-936.0,1084.0,1866.0
2875.0,2775.0,2903.0,3143.0,3039.0,0.709961,-0.118103,-0.682983,0.124817,-36.0,59.0,59.0,4995.0,-3027.0,-4877.0,-2707.0,-256.0,-5198.0,5100.0,-1142.0,-2662.0,0.940301,-0.338193,0.039209,9620.0,-9278.0,-7404.0,-818.0,1365.0,1367.0
