flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2831.0,2749.0,2815.0,3063.0,2967.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2827.0,2757.0,2823.0,3087.0,2975.0,0.86731,0.004578,-0.49292,0.069214,9.0,-1.0,-19.0,6056.0,-2219.0,1692.0,-953.0,-1725.0,-2518.0,1885.0,-1626.0,-2005.0,0.855662,-0.060293,0.514025,14086.0,-1542.0,3934.0,211.0,-1.0,-424.0
2831.0,2758.0,2838.0,3071.0,2993.0,0.866455,0.007812,-0.494751,0.065857,2.0,-2.0,-19.0,6655.0,-1393.0,1774.0,-376.0,-970.0,-2405.0,1989.0,-812.0,-1499.0,0.858388,-0.051627,0.510242,14936.0,-742.0,3604.0,58.0,-39.0,-419.0
2815.0,2759.0,2847.0,3069.0,2971.0,0.865356,0.010559,-0.497192,0.062012,2.0,-4.0,-21.0,7029.0,-1059.0,1679.0,-30.0,-703.0,-2461.0,2182.0,-503.0,-1239.0,0.861807,-0.043389,0.505375,14870.0,-1674.0,2906.0,66.0,-71.0,-460.0
2829.0,2767.0,2831.0,3091.0,2995.0,0.864624,0.012207,-0.498596,0.06012,5.0,-5.0,-23.0,7099.0,-1038.0,1598.0,23.0,-719.0,-2518.0,2262.0,-507.0,-1217.0,0.863664,-0.038842,0.502442,14498.0,-2044.0,2732.0,125.0,-99.0,-510.0
2815.0,2758.0,2835.0,3089.0,2965.0,0.863037,0.016663,-0.501831,0.055725,10.0,-9.0,-31.0,6993.0,-1243.0,1423.0,-118.0,-1020.0,-2638.0,2337.0,-799.0,-1382.0,0.868055,-0.027168,0.495826,13330.0,-3538.0,2268.0,242.0,-192.0,-710.0
2831.0,2767.0,2845.0,3071.0,2991.0,0.862,0.019653,-0.503723,0.053162,14.0,-12.0,-37.0,6864.0,-1401.0,1353.0,-267.0,-1239.0,-2675.0,2325.0,-1016.0,-1523.0,0.870508,-0.019675,0.491746,12948.0,-3608.0,2338.0,326.0,-252.0,-843.0
2827.0,2757.0,2833.0,3098.0,2997.0,0.859924,0.026794,-0.507568,0.046204,10.0,-12.0,-48.0,6646.0,-1545.0,1378.0,-525.0,-1538.0,-2580.0,2157.0,-1316.0,-1705.0,0.875417,-0.000821,0.483261,12696.0,-3566.0,2964.0,247.0,-273.0,-1091.0
2815.0,2763.0,2859.0,3088.0,2987.0,0.858582,0.032104,-0.510315,0.036987,-4.0,-6.0,-50.0,6423.0,-1670.0,1514.0,-775.0,-1812.0,-2394.0,1897.0,-1604.0,-1854.0,0.878669,0.017378,0.477078,12142.0,-3466.0,3488.0,-78.0,-124.0,-1141.0
2827.0,2746.0,2832.0,3088.0,2961.0,0.858398,0.033447,-0.510925,0.031433,-13.0,-1.0,-52.0,6285.0,-1654.0,1573.0,-917.0,-1861.0,-2323.0,1760.0,-1663.0,-1958.0,0.879258,0.025302,0.475673,11720.0,-3218.0,3460.0,-289.0,-7.0,-1178.0
