flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2851,2767,2834,3088,2993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2853,2767,2823,3071,3018,0.907837,0.312256,-0.230408,0.158691,17,-66,-12,5062,2236,3642,823,-1809,-2082,2140,86,-1922,0.51745,0.493827,0.698759,8472,2726,8244,399,-1489,-256
2842,2773,2853,3095,2995,0.903259,0.318237,-0.245911,0.149109,13,-85,-33,4354,1471,3637,-62,-2637,-1903,1736,-758,-2643,0.539146,0.501567,0.676364,6392,344,6612,311,-1933,-739
2847,2743,2850,3071,3006,0.89679,0.327942,-0.26532,0.133179,30,-116,-54,3672,603,3160,-941,-3636,-2115,1547,-1392,-3773,0.563222,0.51752,0.644028,5534,-1056,4574,702,-2648,-1225
2846,2751,2846,3071,2991,0.891907,0.33551,-0.276855,0.12323,43,-133,-62,3432,367,2854,-1291,-3976,-2237,1478,-1512,-4242,0.576548,0.530254,0.621467,5556,-364,3890,999,-3038,-1420
2843,2755,2855,3093,2989,0.878357,0.355713,-0.303162,0.099915,58,-161,-75,3197,730,2225,-1748,-3892,-2387,1232,-1122,-4595,0.60365,0.564305,0.563055,5968,3912,2336,1348,-3677,-1707
2853,2771,2835,3071,3007,0.869995,0.367188,-0.317444,0.086243,58,-172,-82,3092,1356,1727,-1951,-3429,-2604,1058,-484,-4581,0.615684,0.584148,0.528732,5464,6902,78,1334,-3934,-1867
2861,2768,2797,3088,2991,0.85022,0.391052,-0.348328,0.052917,40,-195,-98,3161,3358,144,-2030,-1787,-3554,1079,1634,-4013,0.633697,0.628095,0.45142,7412,13660,-4890,923,-4444,-2222
2837,2762,2811,3088,2960,0.828613,0.410156,-0.380676,0.012207,-9,-195,-103,3834,6350,-2026,-1416,857,-5086,1867,4486,-2233,0.64088,0.670428,0.373606,10520,22468,-11162,-193,-4465,-2337
2849,2771,2811,3089,2959,0.819031,0.415222,-0.395752,-0.009644,-45,-179,-97,4457,7879,-3173,-787,2244,-5973,2677,5757,-1002,0.640258,0.687792,0.341875,12794,24606,-13086,-1015,-4097,-2206
