flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2902.0,2781.0,2829.0,3101.0,2989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2895.0,2781.0,2867.0,3071.0,2989.0,0.911621,-0.039917,-0.366272,-0.182251,-62.0,14.0,-31.0,5373.0,10416.0,6565.0,-216.0,9918.0,596.0,3052.0,9416.0,889.0,0.682352,0.060729,0.72852,11282.0,20394.0,11330.0,-1418.0,334.0,-703.0
2907.0,2785.0,2850.0,3063.0,2993.0,0.909485,-0.038208,-0.366394,-0.192505,-20.0,-6.0,-15.0,5752.0,9639.0,5953.0,171.0,9052.0,-15.0,3545.0,8295.0,753.0,0.68117,0.071566,0.728516,12930.0,15824.0,9968.0,-452.0,-125.0,-338.0
2903.0,2778.0,2839.0,3087.0,2991.0,0.906555,-0.033447,-0.37207,-0.196472,4.0,-19.0,-5.0,6321.0,8100.0,5221.0,686.0,7399.0,-684.0,3715.0,6442.0,611.0,0.687747,0.085559,0.720889,14512.0,11288.0,8204.0,109.0,-428.0,-98.0
2899.0,2777.0,2851.0,3099.0,2998.0,0.904907,-0.031311,-0.376038,-0.196777,7.0,-22.0,1.0,6637.0,7284.0,4831.0,960.0,6535.0,-1027.0,3781.0,5486.0,527.0,0.692881,0.091324,0.715194,15180.0,9712.0,7302.0,167.0,-486.0,26.0
2901.0,2773.0,2847.0,3091.0,2991.0,0.901794,-0.029602,-0.384033,-0.195984,-1.0,-20.0,7.0,7202.0,5571.0,3967.0,1432.0,4775.0,-1794.0,3917.0,3560.0,210.0,0.704241,0.097139,0.703285,15900.0,5622.0,5202.0,-3.0,-437.0,170.0
2906.0,2781.0,2846.0,3071.0,2991.0,0.900452,-0.030212,-0.387573,-0.195068,-3.0,-17.0,9.0,7403.0,4630.0,3518.0,1588.0,3837.0,-2197.0,3935.0,2565.0,-34.0,0.709769,0.096797,0.697739,15920.0,3682.0,4420.0,-62.0,-369.0,226.0
2903.0,2782.0,2847.0,3071.0,2986.0,0.898376,-0.032593,-0.39325,-0.192688,-5.0,-8.0,12.0,7607.0,3101.0,2858.0,1715.0,2339.0,-2782.0,3857.0,1025.0,-464.0,0.719133,0.092988,0.688501,15518.0,2302.0,4186.0,-113.0,-168.0,281.0
2897.0,2770.0,2845.0,3071.0,2993.0,0.897766,-0.034119,-0.395203,-0.191467,-8.0,-3.0,12.0,7602.0,2563.0,2673.0,1681.0,1825.0,-2940.0,3757.0,529.0,-635.0,0.722664,0.090076,0.685295,15070.0,2126.0,4378.0,-163.0,-67.0,288.0
2903.0,2769.0,2839.0,3089.0,2995.0,0.897156,-0.037476,-0.397278,-0.189331,-9.0,4.0,12.0,7500.0,1839.0,2611.0,1544.0,1157.0,-2971.0,3449.0,-54.0,-805.0,0.727031,0.083191,0.681501,14768.0,2220.0,5566.0,-198.0,92.0,283.0
2903.0,2782.0,2838.0,3089.0,2991.0,0.897095,-0.039246,-0.397827,-0.188293,-9.0,5.0,13.0,7449.0,1499.0,2704.0,1480.0,848.0,-2870.0,3225.0,-300.0,-807.0,0.728557,0.079402,0.680427,14808.0,1174.0,6316.0,-203.0,117.0,306.0
