flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2855.0,2775.0,2843.0,3071.0,2995.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2863.0,2771.0,2851.0,3088.0,2995.0,0.81012,-0.122864,-0.547729,-0.169128,-85.0,99.0,-287.0,7805.0,-186.0,-1215.0,194.0,-72.0,-4244.0,3627.0,-1723.0,-1388.0,0.929012,-0.013795,0.369795,15154.0,6086.0,-602.0,-1945.0,2269.0,-6559.0
2853.0,2782.0,2838.0,3059.0,2992.0,0.804565,-0.091614,-0.538208,-0.233826,-34.0,70.0,-260.0,6959.0,1232.0,-574.0,-486.0,377.0,-3883.0,3224.0,-1085.0,-1970.0,0.90889,0.104275,0.403939,10364.0,5488.0,878.0,-758.0,1605.0,-5940.0
2835.0,2768.0,2847.0,3095.0,2979.0,0.79541,-0.057373,-0.537231,-0.274719,39.0,16.0,-173.0,5921.0,2862.0,164.0,-1338.0,1191.0,-3245.0,2901.0,251.0,-2293.0,0.886162,0.203905,0.416239,9548.0,13092.0,2578.0,912.0,381.0,-3942.0
2853.0,2755.0,2858.0,3071.0,3019.0,0.790283,-0.041138,-0.540833,-0.285034,59.0,-7.0,-116.0,5779.0,4542.0,571.0,-1415.0,2548.0,-2800.0,3231.0,1654.0,-1775.0,0.878273,0.243291,0.4116,11200.0,20064.0,3646.0,1354.0,-159.0,-2654.0
2864.0,2763.0,2832.0,3113.0,2992.0,0.781067,-0.01947,-0.551941,-0.291321,38.0,-36.0,-7.0,6242.0,8524.0,1243.0,-914.0,6138.0,-1951.0,4383.0,4800.0,228.0,0.87355,0.291169,0.389915,14502.0,27736.0,3748.0,889.0,-810.0,-147.0
2875.0,2751.0,2832.0,3119.0,2958.0,0.775818,-0.018066,-0.563171,-0.283936,6.0,-41.0,79.0,6800.0,10198.0,999.0,-442.0,7807.0,-1991.0,5227.0,6036.0,1160.0,0.884096,0.291776,0.365024,14916.0,21746.0,146.0,142.0,-938.0,1831.0
2861.0,2762.0,2839.0,3088.0,3007.0,0.774963,-0.023193,-0.568481,-0.275085,6.0,-40.0,111.0,6952.0,9881.0,576.0,-370.0,7613.0,-2311.0,5378.0,5794.0,961.0,0.893865,0.276814,0.352531,14716.0,16812.0,-1574.0,153.0,-894.0,2560.0
2833.0,2769.0,2853.0,3071.0,2989.0,0.776367,-0.037781,-0.579102,-0.245972,36.0,-34.0,160.0,7105.0,7922.0,-389.0,-413.0,6068.0,-3063.0,5194.0,4404.0,-6.0,0.917777,0.226222,0.326462,14768.0,9020.0,-3344.0,838.0,-766.0,3676.0
2847.0,2786.0,2874.0,3055.0,2992.0,0.778198,-0.045593,-0.58429,-0.225708,55.0,-31.0,181.0,7242.0,6776.0,-718.0,-376.0,5196.0,-3282.0,4938.0,3658.0,-375.0,0.929968,0.192796,0.313064,15376.0,6824.0,-3250.0,1264.0,-691.0,4157.0
2854.0,2774.0,2879.0,3063.0,2995.0,0.78302,-0.062134,-0.593201,-0.176453,75.0,-25.0,218.0,7574.0,4876.0,-1049.0,-215.0,3958.0,-3412.0,4430.0,2678.0,-745.0,0.950903,0.11204,0.288508,16024.0,4540.0,-2648.0,1724.0,-553.0,5014.0
2839.0,2782.0,2860.0,3119.0,2967.0,0.787537,-0.083557,-0.598633,-0.120178,65.0,-24.0,248.0,7621.0,3086.0,-1057.0,-267.0,2985.0,-3263.0,3806.0,1981.0,-1099.0,0.962974,0.012277,0.269314,14834.0,540.0,-1946.0,1496.0,-533.0,5695.0
2854.0,2787.0,2833.0,3095.0,2970.0,0.788879,-0.097351,-0.599976,-0.091003,52.0,-25.0,258.0,7447.0,2073.0,-1008.0,-452.0,2436.0,-3147.0,3438.0,1534.0,-1365.0,0.964335,-0.044397,0.261164,13564.0,-2052.0,-1710.0,1211.0,-567.0,5921.0
2871.0,2751.0,2829.0,3071.0,2975.0,0.788208,-0.131653,-0.60022,-0.03363,19.0,-31.0,265.0,6734.0,-165.0,-955.0,-1089.0,1204.0,-2960.0,2726.0,311.0,-1965.0,0.955051,-0.167168,0.244807,10914.0,-7438.0,-2008.0,441.0,-691.0,6076.0
2846.0,2781.0,2841.0,3091.0,2999.0,0.782166,-0.172241,-0.598511,0.01886,-9.0,-36.0,244.0,5652.0,-2843.0,-1320.0,-1964.0,-450.0,-3157.0,2341.0,-1665.0,-2402.0,0.929772,-0.292018,0.224256,7820.0,-14248.0,-4264.0,-197.0,-806.0,5611.0
2839.0,2781.0,2832.0,3043.0,3001.0,0.777283,-0.192261,-0.597534,0.041931,-15.0,-36.0,218.0,5066.0,-4205.0,-1633.0,-2411.0,-1346.0,-3369.0,2281.0,-2790.0,-2444.0,0.912783,-0.348992,0.211915,6522.0,-16290.0,-5308.0,-322.0,-819.0,5009.0
2864.0,2785.0,2822.0,3071.0,3003.0,0.766357,-0.224976,-0.596924,0.07605,-19.0,-30.0,126.0,4012.0,-6371.0,-2380.0,-3202.0,-2802.0,-3904.0,2396.0,-4710.0,-2326.0,0.880695,-0.435615,0.186155,5044.0,-18550.0,-7250.0,-435.0,-670.0,2900.0
2862.0,2741.0,2846.0,3102.0,2959.0,0.757446,-0.242493,-0.599792,0.087952,-22.0,-16.0,5.0,3227.0,-8096.0,-3202.0,-3866.0,-4222.0,-4536.0,2624.0,-6487.0,-2090.0,0.865966,-0.472856,0.162907,4744.0,-20910.0,-8478.0,-495.0,-354.0,133.0
2853.0,2777.0,2847.0,3071.0,2966.0,0.753052,-0.243713,-0.606201,0.078247,-22.0,1.0,-99.0,2950.0,-8740.0,-3585.0,-4216.0,-4955.0,-4783.0,2603.0,-7350.0,-2099.0,0.874862,-0.461924,0.146333,5938.0,-17480.0,-7666.0,-490.0,24.0,-2250.0
2875.0,2775.0,2829.0,3091.0,2989.0,0.752319,-0.239075,-0.610291,0.065796,-29.0,9.0,-141.0,3192.0,-8424.0,-3547.0,-4072.0,-4819.0,-4699.0,2530.0,-7130.0,-2151.0,0.886806,-0.44003,0.140702,8308.0,-14370.0,-6616.0,-647.0,227.0,-3219.0
2865.0,2759.0,2839.0,3071.0,3039.0,0.753113,-0.222351,-0.618652,0.025208,-55.0,34.0,-215.0,4520.0,-6773.0,-3169.0,-3021.0,-3773.0,-4280.0,2436.0,-5640.0,-1980.0,0.92062,-0.3661,0.135644,14152.0,-7538.0,-5052.0,-1238.0,786.0,-4918.0
2863.0,2786.0,2842.0,3095.0,3037.0,0.755249,-0.196533,-0.624329,-0.03479,-71.0,63.0,-280.0,6385.0,-4699.0,-2703.0,-1452.0,-2622.0,-3876.0,2504.0,-4012.0,-1279.0,0.956722,-0.253422,0.1432,17974.0,-3098.0,-3962.0,-1625.0,1461.0,-6409.0
2863.0,2807.0,2827.0,3071.0,2981.0,0.756836,-0.159302,-0.624817,-0.107056,-61.0,86.0,-334.0,7717.0,-2447.0,-2197.0,-310.0,-1567.0,-3577.0,2634.0,-2804.0,-738.0,0.979876,-0.10735,0.168488,18464.0,2148.0,-2694.0,-1382.0,1982.0,-7640.0
2823.0,2765.0,2826.0,3045.0,2987.0,0.756714,-0.13501,-0.622986,-0.145203,-42.0,94.0,-356.0,8025.0,-1309.0,-1878.0,-19.0,-1117.0,-3412.0,2646.0,-2342.0,-631.0,0.982052,-0.023409,0.187361,17460.0,4156.0,-1742.0,-953.0,2167.0,-8149.0
2859.0,2763.0,2855.0,3070.0,2960.0,0.752869,-0.074219,-0.616455,-0.218201,18.0,93.0,-376.0,7522.0,705.0,-1221.0,-347.0,-583.0,-3096.0,2478.0,-1617.0,-1133.0,0.960609,0.157268,0.228897,11718.0,7000.0,-534.0,419.0,2147.0,-8604.0
2851.0,2779.0,2859.0,3095.0,2981.0,0.741333,-0.003845,-0.611877,-0.275757,84.0,52.0,-328.0,5710.0,2573.0,-813.0,-1739.0,-144.0,-2870.0,2365.0,-404.0,-2350.0,0.909331,0.331758,0.251208,5500.0,10698.0,-880.0,1940.0,1207.0,-7491.0
2847.0,2767.0,2843.0,3071.0,3018.0,0.732605,0.029114,-0.613098,-0.294189,109.0,20.0,-263.0,4837.0,3638.0,-750.0,-2381.0,333.0,-2769.0,2487.0,505.0,-2646.0,0.881188,0.403392,0.246521,4880.0,14006.0,-1244.0,2508.0,465.0,-6013.0
2859.0,2787.0,2845.0,3087.0,2975.0,0.715698,0.075256,-0.623352,-0.305969,105.0,-29.0,-67.0,4369.0,7270.0,-614.0,-2563.0,3262.0,-2347.0,3233.0,3335.0,-1069.0,0.846212,0.489175,0.21161,9198.0,28400.0,-268.0,2412.0,-662.0,-1516.0
2843.0,2782.0,2835.0,3071.0,2982.0,0.708435,0.08136,-0.635925,-0.295166,13.0,-45.0,114.0,4956.0,11432.0,-232.0,-2031.0,7412.0,-1690.0,3902.0,6642.0,1603.0,0.852994,0.490683,0.177983,11908.0,32767.0,348.0,306.0,-1017.0,2633.0
2855.0,2773.0,2853.0,3071.0,2959.0,0.708984,0.069702,-0.640808,-0.286072,-30.0,-43.0,173.0,5258.0,12255.0,-310.0,-1858.0,8441.0,-1694.0,4248.0,7443.0,2028.0,0.868766,0.46547,0.169003,12264.0,27178.0,-1502.0,-667.0,-970.0,3965.0
2865.0,2774.0,2863.0,3071.0,2989.0,0.715515,0.030457,-0.648804,-0.257324,-34.0,-30.0,243.0,5808.0,10116.0,-1052.0,-1669.0,7023.0,-2332.0,4467.0,6083.0,763.0,0.912783,0.37749,0.156304,13294.0,10148.0,-4586.0,-763.0,-677.0,5581.0
2842.0,2755.0,2835.0,3099.0,2971.0,0.725708,-0.013916,-0.65509,-0.209778,15.0,-15.0,286.0,6586.0,6469.0,-1558.0,-1250.0,4382.0,-2715.0,3912.0,3551.0,-463.0,0.956647,0.254649,0.141322,15740.0,2668.0,-3896.0,360.0,-331.0,6569.0
2861.0,2782.0,2859.0,3071.0,3010.0,0.731384,-0.035706,-0.656738,-0.180237,34.0,-8.0,302.0,6977.0,5062.0,-1578.0,-998.0,3550.0,-2682.0,3572.0,2751.0,-678.0,0.973527,0.184508,0.134828,16144.0,2324.0,-3128.0,782.0,-167.0,6940.0
