flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2855.0,2800.0,2877.0,3131.0,3019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2862.0,2793.0,2883.0,3119.0,3031.0,0.847656,0.324707,-0.132568,0.397949,108.0,-181.0,-88.0,-1205.0,-6831.0,5886.0,-5163.0,-10476.0,-289.0,4614.0,-7796.0,-7374.0,0.483179,0.444969,0.753876,-5712.0,-16750.0,7100.0,2481.0,-4129.0,-2008.0
2864.0,2783.0,2869.0,3119.0,3015.0,0.841309,0.374146,-0.153992,0.358276,173.0,-252.0,-170.0,-2227.0,-6909.0,3459.0,-6545.0,-11162.0,-2049.0,3443.0,-6845.0,-10623.0,0.527204,0.519201,0.672464,-7168.0,-12098.0,-1674.0,3978.0,-5753.0,-3886.0
2863.0,2791.0,2887.0,3120.0,3027.0,0.827209,0.449097,-0.172424,0.290161,237.0,-315.0,-273.0,-2931.0,-5042.0,142.0,-7402.0,-10308.0,-4257.0,934.0,-3231.0,-12954.0,0.545883,0.642932,0.537051,-7192.0,-944.0,-9828.0,5437.0,-7197.0,-6242.0
2863.0,2801.0,2895.0,3142.0,3035.0,0.815247,0.493103,-0.179443,0.244812,247.0,-338.0,-316.0,-2972.0,-2749.0,-1425.0,-7346.0,-8615.0,-5104.0,-767.0,-472.0,-12385.0,0.534016,0.716141,0.449209,-5706.0,9702.0,-11980.0,5675.0,-7722.0,-7216.0
2864.0,2773.0,2897.0,3149.0,3041.0,0.782898,0.578369,-0.185669,0.134216,211.0,-346.0,-392.0,-2648.0,3874.0,-4389.0,-6301.0,-3136.0,-6534.0,-3421.0,5347.0,-7205.0,0.445973,0.855768,0.261959,-4068.0,28874.0,-17632.0,4844.0,-7920.0,-8973.0
2862.0,2803.0,2895.0,3143.0,3039.0,0.740723,0.648254,-0.175842,0.009766,185.0,-302.0,-437.0,-2082.0,9263.0,-7033.0,-4319.0,1423.0,-7832.0,-2454.0,8697.0,-582.0,0.273162,0.956919,0.097611,-2622.0,30504.0,-21590.0,4240.0,-6908.0,-10004.0
2863.0,2797.0,2879.0,3119.0,3030.0,0.714355,0.678223,-0.165405,-0.047424,199.0,-260.0,-418.0,-1635.0,10832.0,-8117.0,-3043.0,2765.0,-8323.0,-793.0,9031.0,1989.0,0.171988,0.984673,0.025208,346.0,29852.0,-23034.0,4563.0,-5943.0,-9563.0
2859.0,2803.0,2895.0,3115.0,3039.0,0.658325,0.727722,-0.150391,-0.11969,200.0,-113.0,-225.0,2114.0,12878.0,-9458.0,1918.0,4733.0,-8602.0,4687.0,6794.0,5649.0,0.02381,0.994156,-0.104479,15776.0,32767.0,-20284.0,4600.0,-2577.0,-5144.0
2855.0,2800.0,2890.0,3123.0,3034.0,0.625977,0.75592,-0.139893,-0.130859,74.0,23.0,-64.0,1243.0,14491.0,-9821.0,1428.0,6438.0,-8329.0,4122.0,5901.0,7812.0,-0.0227,0.982989,-0.182015,-6150.0,32767.0,-21292.0,1699.0,535.0,-1461.0
2863.0,2802.0,2893.0,3147.0,3037.0,0.621338,0.760559,-0.13446,-0.131653,-2.0,21.0,-29.0,28.0,14993.0,-9999.0,299.0,6960.0,-8416.0,3084.0,6212.0,8440.0,-0.033169,0.980533,-0.193136,-6108.0,32767.0,-20206.0,-32.0,494.0,-645.0
2863.0,2806.0,2896.0,3147.0,3031.0,0.627625,0.756348,-0.132507,-0.128235,-68.0,17.0,33.0,-136.0,15251.0,-8707.0,90.0,7195.0,-7238.0,2407.0,5319.0,8370.0,-0.027651,0.983389,-0.179263,1994.0,29148.0,-11592.0,-1550.0,404.0,759.0
2863.0,2807.0,2896.0,3121.0,3035.0,0.634705,0.750916,-0.134338,-0.122803,-77.0,27.0,49.0,465.0,14789.0,-7592.0,578.0,6709.0,-6248.0,2449.0,4482.0,7633.0,-0.013899,0.986213,-0.16399,4780.0,26494.0,-8422.0,-1748.0,631.0,1129.0
2859.0,2800.0,2896.0,3103.0,3035.0,0.651062,0.738586,-0.137939,-0.107178,-78.0,45.0,57.0,1712.0,13351.0,-5522.0,1537.0,5230.0,-4463.0,2615.0,3035.0,5793.0,0.021294,0.991299,-0.129168,7026.0,22170.0,-5474.0,-1776.0,1043.0,1307.0
2863.0,2797.0,2890.0,3115.0,3037.0,0.666992,0.726379,-0.140625,-0.087646,-71.0,60.0,63.0,2996.0,11993.0,-4020.0,2502.0,3853.0,-3243.0,3049.0,1986.0,4286.0,0.060262,0.993629,-0.094842,9758.0,20508.0,-4110.0,-1611.0,1378.0,1446.0
2867.0,2803.0,2877.0,3153.0,3051.0,0.674744,0.720215,-0.142151,-0.075562,-69.0,69.0,75.0,3520.0,11493.0,-3480.0,2840.0,3355.0,-2841.0,3201.0,1664.0,3789.0,0.08299,0.993403,-0.077928,9884.0,20162.0,-3950.0,-1577.0,1584.0,1723.0
2864.0,2799.0,2887.0,3142.0,3037.0,0.691345,0.705566,-0.148438,-0.045776,-82.0,76.0,117.0,3876.0,11130.0,-2641.0,2723.0,3026.0,-2314.0,2773.0,1483.0,3468.0,0.140647,0.98917,-0.039804,7550.0,22268.0,-3194.0,-1872.0,1753.0,2689.0
2859.0,2805.0,2895.0,3153.0,3031.0,0.711609,0.683533,-0.161743,-0.012451,-117.0,60.0,160.0,3415.0,11150.0,-2102.0,1668.0,3147.0,-2209.0,1486.0,1946.0,3400.0,0.213174,0.976844,0.013164,5078.0,22398.0,-2572.0,-2670.0,1376.0,3671.0
2861.0,2795.0,2885.0,3118.0,3027.0,0.723022,0.669128,-0.171448,0.004211,-136.0,48.0,175.0,3105.0,11259.0,-1816.0,1027.0,3344.0,-2189.0,709.0,2240.0,3391.0,0.253557,0.966146,0.045652,4320.0,23370.0,-1848.0,-3105.0,1110.0,4025.0
2862.0,2799.0,2918.0,3121.0,3031.0,0.747375,0.63324,-0.197632,0.035645,-166.0,13.0,212.0,2386.0,10768.0,-1455.0,-403.0,3129.0,-2436.0,-710.0,3030.0,2488.0,0.340553,0.932447,0.11979,3082.0,18762.0,-2530.0,-3801.0,310.0,4861.0
2813.0,2801.0,2895.0,3118.0,3029.0,0.768921,0.589539,-0.237549,0.068665,-183.0,-22.0,256.0,2480.0,9873.0,-807.0,-1175.0,2713.0,-2379.0,-1401.0,3240.0,1390.0,0.446273,0.873995,0.191969,5996.0,16546.0,890.0,-4190.0,-486.0,5881.0
2861.0,2799.0,2895.0,3143.0,3031.0,0.77832,0.564941,-0.260071,0.085754,-186.0,-28.0,264.0,2661.0,9262.0,-513.0,-1449.0,2423.0,-2367.0,-1538.0,3260.0,759.0,0.501729,0.834806,0.226341,6358.0,14648.0,410.0,-4249.0,-622.0,6061.0
2859.0,2795.0,2885.0,3151.0,3027.0,0.792542,0.513428,-0.306946,0.118408,-184.0,-46.0,264.0,2963.0,7402.0,-272.0,-2018.0,1330.0,-2601.0,-1300.0,3154.0,-980.0,0.608123,0.741136,0.284319,6768.0,8352.0,-76.0,-4192.0,-1042.0,6053.0
2861.0,2783.0,2890.0,3149.0,3037.0,0.7995,0.460327,-0.356262,0.147949,-174.0,-69.0,258.0,3432.0,4899.0,56.0,-2350.0,-267.0,-2583.0,-380.0,2246.0,-2659.0,0.705873,0.630645,0.322265,8626.0,1804.0,1194.0,-3977.0,-1558.0,5925.0
2855.0,2781.0,2893.0,3115.0,3026.0,0.800293,0.432983,-0.381775,0.161865,-172.0,-78.0,256.0,3783.0,3527.0,229.0,-2371.0,-1137.0,-2502.0,293.0,1561.0,-3262.0,0.751233,0.569435,0.333443,9888.0,-1272.0,1520.0,-3927.0,-1773.0,5884.0
2863.0,2766.0,2880.0,3127.0,3027.0,0.797852,0.376648,-0.432007,0.186768,-173.0,-81.0,230.0,4657.0,773.0,201.0,-2142.0,-2828.0,-2608.0,2001.0,218.0,-3915.0,0.830046,0.439649,0.342956,12308.0,-6274.0,-782.0,-3959.0,-1843.0,5282.0
2857.0,2751.0,2890.0,3127.0,3038.0,0.794495,0.323608,-0.474487,0.197083,-185.0,-73.0,130.0,5561.0,-1397.0,-656.0,-1660.0,-4077.0,-3442.0,3901.0,-502.0,-3968.0,0.88151,0.327184,0.340203,13908.0,-9248.0,-4750.0,-4224.0,-1658.0,2985.0
2863.0,2749.0,2893.0,3135.0,3035.0,0.794067,0.301453,-0.491394,0.192566,-185.0,-69.0,57.0,6041.0,-2548.0,-1244.0,-1303.0,-4919.0,-3990.0,5035.0,-1007.0,-3929.0,0.896499,0.289496,0.335283,14810.0,-12178.0,-5740.0,-4217.0,-1560.0,1313.0
2859.0,2749.0,2896.0,3135.0,3023.0,0.795593,0.274292,-0.513855,0.166321,-123.0,-53.0,-95.0,6293.0,-5076.0,-2143.0,-1152.0,-7251.0,-4775.0,6951.0,-2838.0,-4506.0,0.90888,0.26552,0.321348,12856.0,-17338.0,-5502.0,-2800.0,-1199.0,-2174.0
2861.0,2759.0,2891.0,3135.0,3023.0,0.797546,0.285034,-0.51593,0.128357,8.0,-27.0,-230.0,6201.0,-6329.0,-1816.0,-1140.0,-8968.0,-4315.0,7213.0,-4579.0,-5227.0,0.896129,0.32221,0.305127,11034.0,-13534.0,-1686.0,188.0,-617.0,-5258.0
2855.0,2737.0,2896.0,3127.0,3035.0,0.797729,0.304382,-0.509583,0.10614,55.0,-21.0,-283.0,5731.0,-5810.0,-1418.0,-1458.0,-8902.0,-3837.0,6472.0,-4567.0,-5772.0,0.877632,0.377455,0.295315,8374.0,-7168.0,-274.0,1267.0,-468.0,-6468.0
2851.0,2747.0,2901.0,3131.0,3039.0,0.794861,0.359741,-0.48584,0.051453,93.0,-15.0,-362.0,5207.0,-3037.0,-100.0,-1423.0,-7312.0,-2303.0,4103.0,-3566.0,-5587.0,0.809369,0.521893,0.268997,10032.0,3978.0,4554.0,2135.0,-334.0,-8290.0
