flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2855.0,2768.0,2846.0,3143.0,3051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2847.0,2770.0,2835.0,3139.0,3022.0,0.907898,-0.033081,-0.415955,-0.039246,-27.0,-22.0,10.0,7592.0,726.0,4061.0,1383.0,950.0,-1277.0,1955.0,766.0,189.0,0.757885,-0.02742,0.651706,15700.0,590.0,7720.0,-614.0,-486.0,244.0
2851.0,2755.0,2832.0,3139.0,3025.0,0.905334,-0.037598,-0.421265,-0.039185,-12.0,-10.0,6.0,7944.0,518.0,3901.0,1671.0,805.0,-1360.0,2188.0,597.0,377.0,0.765717,-0.035063,0.642288,17334.0,876.0,7470.0,-272.0,-227.0,155.0
2845.0,2755.0,2832.0,3135.0,3027.0,0.904663,-0.038452,-0.422607,-0.039124,-7.0,1.0,4.0,8201.0,529.0,3831.0,1912.0,828.0,-1410.0,2382.0,605.0,535.0,0.767643,-0.036505,0.63987,17996.0,1096.0,7222.0,-151.0,31.0,114.0
2841.0,2759.0,2837.0,3135.0,3024.0,0.905029,-0.038879,-0.421875,-0.038025,2.0,23.0,11.0,8773.0,471.0,3687.0,2493.0,784.0,-1564.0,2867.0,529.0,878.0,0.766575,-0.03829,0.641034,19050.0,618.0,6896.0,65.0,539.0,257.0
2850.0,2766.0,2843.0,3139.0,3030.0,0.905945,-0.038452,-0.420044,-0.03595,11.0,31.0,18.0,8877.0,322.0,3587.0,2619.0,645.0,-1689.0,3031.0,386.0,887.0,0.763838,-0.03947,0.644113,18048.0,-482.0,6470.0,273.0,720.0,429.0
2851.0,2771.0,2838.0,3162.0,3029.0,0.909546,-0.034363,-0.413269,-0.0271,43.0,50.0,28.0,8492.0,-172.0,3632.0,2318.0,156.0,-1742.0,2841.0,-40.0,597.0,0.753637,-0.04011,0.656036,14292.0,-1282.0,7760.0,1006.0,1161.0,643.0
2853.0,2759.0,2837.0,3121.0,3023.0,0.912598,-0.028992,-0.407288,-0.022095,61.0,62.0,16.0,7522.0,-340.0,3560.0,1421.0,-53.0,-1900.0,2354.0,-211.0,-206.0,0.744661,-0.034918,0.666599,8194.0,-1804.0,6324.0,1419.0,1441.0,385.0
2847.0,2763.0,2838.0,3119.0,3027.0,0.918457,-0.013672,-0.394958,-0.014709,72.0,37.0,-7.0,4656.0,-666.0,2580.0,-1290.0,-555.0,-3052.0,1305.0,-645.0,-3027.0,0.725907,-0.013495,0.687601,1808.0,-1202.0,1382.0,1655.0,865.0,-153.0
2847.0,2759.0,2832.0,3119.0,3024.0,0.917969,0.001465,-0.396423,-0.011292,58.0,-16.0,-12.0,4821.0,-176.0,3273.0,-1140.0,-271.0,-2343.0,918.0,-260.0,-2439.0,0.727775,0.011642,0.685641,13694.0,2026.0,10244.0,1333.0,-349.0,-271.0
2855.0,2768.0,2845.0,3163.0,3035.0,0.917358,0.008179,-0.397827,-0.010132,48.0,-4.0,-10.0,5632.0,276.0,3582.0,-345.0,87.0,-2015.0,1236.0,109.0,-1626.0,0.729734,0.023067,0.683316,16062.0,3588.0,8796.0,1118.0,-74.0,-220.0
2859.0,2771.0,2843.0,3159.0,3038.0,0.917603,0.016724,-0.396973,-0.009827,13.0,20.0,-7.0,6420.0,1196.0,3921.0,454.0,880.0,-1684.0,1542.0,903.0,-787.0,0.728198,0.038493,0.684224,13320.0,5062.0,7888.0,315.0,460.0,-158.0
2854.0,2768.0,2851.0,3125.0,3029.0,0.918213,0.018066,-0.395508,-0.010986,-5.0,17.0,-8.0,6427.0,1447.0,4023.0,480.0,1104.0,-1600.0,1498.0,1125.0,-703.0,0.725924,0.041868,0.686483,13128.0,3774.0,9338.0,-94.0,403.0,-163.0
2851.0,2769.0,2842.0,3119.0,3019.0,0.919373,0.016541,-0.392761,-0.014099,-17.0,13.0,-7.0,6268.0,1161.0,4154.0,355.0,821.0,-1505.0,1343.0,835.0,-749.0,0.721721,0.041489,0.69091,11518.0,504.0,8364.0,-371.0,311.0,-146.0
2862.0,2775.0,2839.0,3153.0,3027.0,0.919556,0.015015,-0.392334,-0.015137,-14.0,3.0,-3.0,5991.0,818.0,4130.0,83.0,494.0,-1536.0,1174.0,514.0,-983.0,0.721091,0.039491,0.69166,10106.0,-360.0,7982.0,-309.0,91.0,-51.0
2859.0,2785.0,2845.0,3151.0,3037.0,0.917725,0.011475,-0.396729,-0.014771,-12.0,-32.0,10.0,5525.0,470.0,4069.0,-437.0,201.0,-1541.0,827.0,231.0,-1366.0,0.727836,0.032781,0.684911,10762.0,432.0,8166.0,-271.0,-730.0,235.0
2853.0,2768.0,2845.0,3121.0,3025.0,0.915649,0.009277,-0.401672,-0.014221,-15.0,-43.0,12.0,5780.0,383.0,4127.0,-243.0,150.0,-1420.0,883.0,165.0,-1136.0,0.735318,0.028414,0.677189,13558.0,186.0,8622.0,-337.0,-969.0,275.0
2863.0,2767.0,2838.0,3123.0,3038.0,0.910889,0.003357,-0.412415,-0.012817,-20.0,-41.0,14.0,6421.0,17.0,4070.0,266.0,-119.0,-1334.0,1175.0,-131.0,-682.0,0.751241,0.016688,0.659785,14126.0,-1398.0,7546.0,-457.0,-925.0,342.0
2863.0,2773.0,2853.0,3157.0,3035.0,0.908508,-6.1e-05,-0.417603,-0.012024,-20.0,-40.0,13.0,6554.0,-263.0,3941.0,337.0,-344.0,-1393.0,1268.0,-365.0,-654.0,0.758792,0.009932,0.65114,13754.0,-2258.0,7148.0,-457.0,-915.0,316.0
2863.0,2767.0,2845.0,3159.0,3043.0,0.903687,-0.006287,-0.427979,-0.010925,-16.0,-42.0,7.0,6793.0,-818.0,3853.0,455.0,-801.0,-1337.0,1302.0,-834.0,-493.0,0.773654,-0.002011,0.633564,14656.0,-3142.0,7878.0,-355.0,-940.0,181.0
2855.0,2765.0,2839.0,3133.0,3035.0,0.901367,-0.008606,-0.432861,-0.010742,-11.0,-38.0,3.0,6977.0,-1070.0,3902.0,582.0,-1019.0,-1219.0,1287.0,-1055.0,-301.0,0.780519,-0.006214,0.625135,14988.0,-3652.0,7968.0,-250.0,-854.0,78.0
2857.0,2771.0,2835.0,3127.0,3055.0,0.897095,-0.011597,-0.441589,-0.010498,-7.0,-34.0,0.0,6979.0,-1231.0,3688.0,486.0,-1136.0,-1307.0,1298.0,-1178.0,-398.0,0.792538,-0.011535,0.609753,13350.0,-2156.0,6354.0,-143.0,-774.0,0.0
2857.0,2767.0,2839.0,3133.0,3024.0,0.892151,-0.014587,-0.451294,-0.011597,-16.0,-41.0,-2.0,6855.0,-872.0,3435.0,255.0,-744.0,-1416.0,1265.0,-797.0,-621.0,0.805583,-0.015561,0.592189,13588.0,-458.0,6232.0,-350.0,-937.0,-41.0
2855.0,2767.0,2835.0,3147.0,3027.0,0.889404,-0.016968,-0.456604,-0.012817,-25.0,-45.0,-1.0,6764.0,-620.0,3299.0,106.0,-468.0,-1472.0,1238.0,-529.0,-762.0,0.812646,-0.018477,0.582429,12772.0,234.0,5784.0,-555.0,-1021.0,-21.0
2850.0,2761.0,2834.0,3155.0,3035.0,0.882446,-0.025696,-0.46936,-0.016846,-51.0,-61.0,4.0,6633.0,-223.0,2891.0,-160.0,18.0,-1680.0,1301.0,-83.0,-1070.0,0.829236,-0.029537,0.558036,14422.0,468.0,4908.0,-1157.0,-1387.0,95.0
2851.0,2753.0,2833.0,3139.0,3031.0,0.878235,-0.032532,-0.476746,-0.019653,-64.0,-62.0,5.0,7257.0,-163.0,2983.0,386.0,151.0,-1468.0,1447.0,37.0,-479.0,0.838668,-0.038402,0.543338,18904.0,-116.0,7026.0,-1463.0,-1399.0,137.0
2849.0,2766.0,2833.0,3135.0,3031.0,0.871826,-0.046814,-0.486877,-0.026489,-58.0,-26.0,-4.0,8195.0,-688.0,2982.0,1220.0,-230.0,-1290.0,1710.0,-367.0,378.0,0.851425,-0.055833,0.521541,17480.0,-3842.0,4674.0,-1315.0,-590.0,-91.0
2855.0,2763.0,2815.0,3135.0,3039.0,0.868408,-0.056335,-0.491577,-0.032898,-36.0,-10.0,-13.0,7972.0,-1267.0,2449.0,947.0,-730.0,-1732.0,1877.0,-950.0,-24.0,0.857486,-0.065501,0.510393,14448.0,-3546.0,3422.0,-812.0,-220.0,-292.0
