flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2864.0,2773.0,2845.0,3059.0,2975.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2862.0,2773.0,2832.0,3063.0,2992.0,0.911011,0.374512,-0.167725,0.039368,11.0,-3.0,-53.0,-1088.0,6293.0,2104.0,-3833.0,811.0,-3328.0,-2846.0,3102.0,-2948.0,0.335085,0.669163,0.6631,-3608.0,13814.0,3888.0,253.0,-46.0,-1211.0
2860.0,2766.0,2842.0,3067.0,2983.0,0.908875,0.384399,-0.159485,0.025513,24.0,-2.0,-59.0,-1641.0,6700.0,1883.0,-4176.0,1042.0,-3470.0,-3195.0,3503.0,-2840.0,0.309518,0.690604,0.653505,-5088.0,15006.0,3052.0,562.0,-28.0,-1343.0
2853.0,2767.0,2839.0,3071.0,2975.0,0.905029,0.397522,-0.150757,0.010315,29.0,-7.0,-64.0,-2182.0,7622.0,1880.0,-4484.0,1753.0,-3350.0,-3635.0,4073.0,-2143.0,0.28108,0.716428,0.638433,-5842.0,18496.0,4072.0,687.0,-153.0,-1450.0
2864.0,2762.0,2832.0,3061.0,2967.0,0.902893,0.403931,-0.146667,0.00177,25.0,-12.0,-67.0,-2398.0,8161.0,1957.0,-4579.0,2189.0,-3208.0,-3802.0,4343.0,-1646.0,0.26628,0.728893,0.630548,-6010.0,19532.0,4420.0,576.0,-258.0,-1524.0
2855.0,2754.0,2851.0,3067.0,2959.0,0.899109,0.41449,-0.139465,-0.017395,12.0,-20.0,-75.0,-2577.0,8895.0,2187.0,-4513.0,2749.0,-2871.0,-3804.0,4591.0,-777.0,0.236369,0.750195,0.617447,-5340.0,19284.0,4952.0,287.0,-452.0,-1696.0
2861.0,2757.0,2807.0,3067.0,2994.0,0.895142,0.423401,-0.133972,-0.03833,13.0,-29.0,-76.0,-2500.0,8979.0,2221.0,-4198.0,2685.0,-2739.0,-3409.0,4526.0,-466.0,0.20739,0.768278,0.605531,-4416.0,17662.0,4558.0,318.0,-652.0,-1739.0
2863.0,2767.0,2844.0,3071.0,2979.0,0.892578,0.428162,-0.132263,-0.048584,19.0,-33.0,-73.0,-2356.0,8915.0,2266.0,-3949.0,2548.0,-2634.0,-3127.0,4370.0,-363.0,0.194507,0.777187,0.59824,-3762.0,17466.0,4832.0,450.0,-738.0,-1662.0
2863.0,2778.0,2838.0,3067.0,2979.0,0.886108,0.439331,-0.131104,-0.067627,34.0,-39.0,-65.0,-1999.0,8933.0,2295.0,-3415.0,2409.0,-2452.0,-2539.0,4125.0,-93.0,0.172923,0.796322,0.579562,-2782.0,18356.0,4704.0,782.0,-878.0,-1475.0
2862.0,2779.0,2847.0,3059.0,2975.0,0.877563,0.452759,-0.132751,-0.085022,42.0,-45.0,-59.0,-1447.0,9441.0,2225.0,-2725.0,2746.0,-2319.0,-1790.0,4105.0,532.0,0.156007,0.817223,0.554733,-862.0,20912.0,4120.0,982.0,-1022.0,-1333.0
2859.0,2775.0,2843.0,3067.0,2967.0,0.872742,0.459717,-0.134583,-0.093445,43.0,-48.0,-57.0,-1047.0,9898.0,2140.0,-2267.0,3118.0,-2291.0,-1287.0,4176.0,1003.0,0.148995,0.82758,0.540958,458.0,22812.0,3776.0,995.0,-1082.0,-1297.0
2857.0,2753.0,2833.0,3071.0,2983.0,0.86322,0.472534,-0.139404,-0.109802,32.0,-47.0,-57.0,126.0,11081.0,2021.0,-995.0,4147.0,-2193.0,62.0,4236.0,2245.0,0.136903,0.846416,0.514484,4334.0,25650.0,3868.0,734.0,-1064.0,-1293.0
2862.0,2770.0,2837.0,3069.0,2983.0,0.859131,0.477417,-0.141846,-0.117554,21.0,-43.0,-56.0,841.0,11597.0,1988.0,-236.0,4603.0,-2139.0,847.0,4140.0,2820.0,0.131484,0.853676,0.503878,5954.0,26148.0,3742.0,494.0,-982.0,-1272.0
2857.0,2759.0,2827.0,3063.0,2887.0,0.852417,0.484375,-0.146057,-0.131714,7.0,-34.0,-52.0,2180.0,12174.0,1798.0,1185.0,5094.0,-2199.0,2344.0,3824.0,3473.0,0.121405,0.864254,0.488011,8254.0,25424.0,3038.0,179.0,-777.0,-1190.0
2855.0,2759.0,2833.0,3062.0,2979.0,0.847107,0.489441,-0.150208,-0.142334,5.0,-25.0,-38.0,3442.0,12219.0,1696.0,2498.0,5075.0,-2201.0,3628.0,3199.0,3665.0,0.115156,0.871977,0.475734,10838.0,24056.0,3316.0,124.0,-565.0,-867.0
2854.0,2766.0,2833.0,3059.0,2983.0,0.84491,0.491577,-0.152832,-0.145264,8.0,-19.0,-26.0,4165.0,12049.0,1743.0,3219.0,4880.0,-2106.0,4242.0,2697.0,3652.0,0.115442,0.875078,0.469968,12774.0,22904.0,3860.0,185.0,-427.0,-588.0
