flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2871.0,2823.0,2923.0,3143.0,3055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2891.0,2815.0,2907.0,3155.0,3053.0,0.911499,0.274963,-0.286194,0.107666,5.0,40.0,62.0,5037.0,607.0,2757.0,277.0,-2994.0,-2853.0,2603.0,-854.0,-3109.0,0.580939,0.439631,0.684911,9082.0,994.0,6194.0,129.0,935.0,1436.0
2883.0,2818.0,2911.0,3153.0,3055.0,0.911377,0.271484,-0.283264,0.124268,14.0,33.0,51.0,4804.0,691.0,2965.0,21.0,-2786.0,-2704.0,2290.0,-759.0,-3041.0,0.583794,0.424448,0.692108,9128.0,1750.0,6474.0,321.0,773.0,1189.0
2879.0,2800.0,2902.0,3121.0,3047.0,0.911072,0.270752,-0.281616,0.131287,16.0,32.0,43.0,4750.0,764.0,3031.0,-36.0,-2671.0,-2659.0,2192.0,-681.0,-2988.0,0.584237,0.419404,0.694674,9188.0,2000.0,6374.0,384.0,745.0,994.0
2876.0,2818.0,2897.0,3121.0,3063.0,0.910339,0.271301,-0.278015,0.142517,20.0,27.0,27.0,4584.0,1018.0,3017.0,-196.0,-2379.0,-2702.0,1977.0,-404.0,-2987.0,0.583506,0.414709,0.698132,8446.0,3018.0,5710.0,477.0,628.0,619.0
2878.0,2811.0,2897.0,3151.0,3045.0,0.90979,0.272461,-0.27655,0.146606,21.0,20.0,21.0,4420.0,1225.0,2911.0,-356.0,-2172.0,-2811.0,1810.0,-175.0,-3071.0,0.583094,0.414676,0.698496,7678.0,3896.0,4978.0,484.0,467.0,485.0
2881.0,2821.0,2903.0,3147.0,3047.0,0.908142,0.276062,-0.275574,0.151794,19.0,4.0,8.0,4075.0,1803.0,2739.0,-711.0,-1619.0,-2959.0,1355.0,345.0,-3150.0,0.58433,0.417746,0.695612,6920.0,5472.0,4510.0,445.0,98.0,201.0
2879.0,2819.0,2903.0,3127.0,3055.0,0.907166,0.278503,-0.276001,0.152527,16.0,-4.0,1.0,3950.0,2095.0,2594.0,-848.0,-1354.0,-3078.0,1183.0,629.0,-3198.0,0.585716,0.421102,0.692473,7374.0,5902.0,4352.0,389.0,-88.0,24.0
2878.0,2810.0,2895.0,3121.0,3043.0,0.905273,0.284424,-0.276733,0.151428,19.0,-3.0,-15.0,3992.0,2555.0,2310.0,-818.0,-976.0,-3301.0,1135.0,1107.0,-3162.0,0.587178,0.431152,0.684972,7992.0,6464.0,3470.0,446.0,-54.0,-322.0
2887.0,2827.0,2903.0,3159.0,3058.0,0.904358,0.288452,-0.276306,0.149963,24.0,-1.0,-21.0,3941.0,2782.0,2124.0,-861.0,-813.0,-3453.0,1086.0,1350.0,-3212.0,0.586274,0.438856,0.680803,7274.0,6996.0,2888.0,567.0,0.0,-471.0
