flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2855.0,2770.0,2863.0,3095.0,2993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2859.0,2759.0,2831.0,3118.0,3027.0,0.785034,0.467468,-0.39624,0.09021,15.0,79.0,55.0,6117.0,6807.0,-6241.0,329.0,1380.0,-8279.0,3965.0,7347.0,-913.0,0.706465,0.662467,0.248884,12306.0,12404.0,-11702.0,359.0,1828.0,1274.0
2845.0,2787.0,2867.0,3070.0,2999.0,0.786072,0.46698,-0.389099,0.112,14.0,93.0,57.0,6056.0,6166.0,-5817.0,187.0,865.0,-7954.0,3692.0,6963.0,-1382.0,0.716323,0.647002,0.260984,11762.0,10236.0,-10028.0,341.0,2131.0,1313.0
2871.0,2781.0,2843.0,3117.0,2965.0,0.787842,0.466003,-0.379089,0.135498,21.0,103.0,56.0,5913.0,5414.0,-5187.0,-14.0,240.0,-7465.0,3370.0,6377.0,-1935.0,0.72361,0.631542,0.278187,11718.0,8340.0,-8068.0,490.0,2368.0,1296.0
2863.0,2763.0,2853.0,3063.0,2999.0,0.788757,0.465271,-0.373169,0.148315,25.0,109.0,58.0,5935.0,5000.0,-4722.0,-18.0,-105.0,-7084.0,3241.0,5930.0,-2121.0,0.726693,0.623278,0.288403,11972.0,7550.0,-6570.0,577.0,2504.0,1340.0
2849.0,2759.0,2862.0,3093.0,2991.0,0.790771,0.463379,-0.359253,0.17572,30.0,119.0,61.0,5851.0,4347.0,-3658.0,-137.0,-622.0,-6217.0,2806.0,5032.0,-2419.0,0.731024,0.606598,0.312414,11400.0,7050.0,-3760.0,695.0,2736.0,1399.0
2863.0,2757.0,2846.0,3102.0,2961.0,0.791992,0.461609,-0.351562,0.189819,27.0,121.0,62.0,5746.0,4126.0,-3037.0,-251.0,-770.0,-5712.0,2490.0,4558.0,-2509.0,0.732114,0.597715,0.326604,10698.0,7008.0,-2368.0,620.0,2785.0,1443.0
2842.0,2771.0,2799.0,3071.0,2997.0,0.795166,0.455444,-0.336182,0.217102,13.0,117.0,63.0,5451.0,3716.0,-1763.0,-548.0,-1021.0,-4703.0,1877.0,3570.0,-2680.0,0.732396,0.578336,0.358975,10250.0,5884.0,556.0,308.0,2698.0,1457.0
2851.0,2734.0,2847.0,3051.0,2971.0,0.326782,0.208557,-0.063721,-1.21228,19125.0,12291.0,7092.0,-4994.0,808.0,-21561.0,-1192.0,-1574.0,31451.0,-16841.0,3755.0,-17357.0,-0.464014,0.2908,1.528854,10404.0,3406.0,3814.0,69.0,2535.0,1411.0
2859.0,2775.0,2871.0,3093.0,3023.0,0.801392,0.439636,-0.315308,0.255005,1.0,106.0,60.0,5309.0,2484.0,446.0,-667.0,-1971.0,-2950.0,1733.0,1512.0,-2781.0,0.729589,0.543832,0.414557,10714.0,1668.0,5448.0,41.0,2440.0,1377.0
2855.0,2762.0,2861.0,3095.0,3023.0,0.804688,0.427979,-0.302429,0.278809,10.0,97.0,53.0,5369.0,1344.0,2014.0,-573.0,-2916.0,-1677.0,2100.0,-64.0,-2688.0,0.72537,0.520138,0.450627,11058.0,-640.0,8858.0,237.0,2236.0,1229.0
