flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2893.0,2811.0,2895.0,3127.0,3023.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2875.0,2819.0,2897.0,3151.0,3023.0,0.833862,-0.053894,-0.546082,0.059387,-53.0,159.0,10.0,10401.0,-2068.0,-4564.0,2992.0,-800.0,-7822.0,8392.0,-512.0,-281.0,0.904312,-0.154741,0.397744,25414.0,-6004.0,-9450.0,-1211.0,3643.0,248.0
2894.0,2832.0,2895.0,3153.0,3031.0,0.859924,-0.066223,-0.504211,0.043213,-56.0,306.0,-53.0,12492.0,-2401.0,-4664.0,5435.0,-1111.0,-8618.0,10181.0,-936.0,696.0,0.861444,-0.157471,0.482722,31560.0,-4942.0,-10306.0,-1263.0,7024.0,-1213.0
2885.0,2815.0,2896.0,3143.0,3031.0,0.901001,-0.070129,-0.428101,0.002869,-73.0,484.0,-164.0,14282.0,-2229.0,-4966.0,7965.0,-1173.0,-10074.0,12756.0,-1890.0,10.0,0.771036,-0.128829,0.623623,32767.0,-3888.0,-11252.0,-1662.0,11103.0,-3738.0
2895.0,2834.0,2887.0,3153.0,3039.0,0.924316,-0.069397,-0.374084,-0.029602,-91.0,582.0,-226.0,14519.0,-2413.0,-5357.0,8820.0,-1543.0,-11177.0,13854.0,-3231.0,-1641.0,0.695653,-0.106142,0.710482,28322.0,-6914.0,-13990.0,-2080.0,13344.0,-5160.0
2883.0,2819.0,2886.0,3155.0,3039.0,0.963318,-0.07135,-0.236816,-0.103821,-121.0,639.0,-228.0,8688.0,-4297.0,-7110.0,4828.0,-3573.0,-14299.0,9658.0,-6930.0,-9958.0,0.471074,-0.088293,0.877587,-8636.0,-14496.0,-17148.0,-2753.0,14655.0,-5203.0
2880.0,2821.0,2903.0,3152.0,3050.0,0.978577,-0.085205,-0.110962,-0.151001,-128.0,392.0,-95.0,-553.0,-4655.0,-4477.0,-2542.0,-3563.0,-12348.0,-1119.0,-5118.0,-12007.0,0.242902,-0.133249,0.960841,-27016.0,-9622.0,6814.0,-2910.0,8997.0,-2168.0
2887.0,2826.0,2893.0,3149.0,3023.0,0.980103,-0.09491,-0.04364,-0.168762,-25.0,119.0,-47.0,-6221.0,-4849.0,2753.0,-7184.0,-3445.0,-5260.0,-7634.0,-1925.0,-5399.0,0.117578,-0.171313,0.978169,-22022.0,-7548.0,30126.0,-569.0,2737.0,-1062.0
2887.0,2807.0,2883.0,3139.0,3053.0,0.979919,-0.090698,-0.031738,-0.174683,25.0,44.0,-49.0,-6812.0,-3683.0,6368.0,-7581.0,-2317.0,-1672.0,-7858.0,98.0,-1966.0,0.093889,-0.166666,0.981523,-15662.0,990.0,32767.0,583.0,1018.0,-1103.0
2885.0,2832.0,2903.0,3135.0,3053.0,0.97937,-0.077698,-0.032593,-0.183472,24.0,-51.0,-35.0,-5870.0,-376.0,10866.0,-6626.0,772.0,2790.0,-5982.0,3516.0,2030.0,0.092351,-0.14023,0.985728,-7340.0,7968.0,31310.0,552.0,-1168.0,-792.0
2879.0,2811.0,2890.0,3139.0,3029.0,0.978027,-0.073608,-0.052979,-0.187683,11.0,-119.0,-20.0,-4096.0,612.0,11995.0,-5171.0,1628.0,3937.0,-4466.0,3998.0,2991.0,0.131259,-0.124096,0.983538,-2006.0,1256.0,24714.0,274.0,-2725.0,-443.0
2883.0,2815.0,2885.0,3127.0,3031.0,0.97699,-0.07312,-0.069275,-0.187805,25.0,-146.0,-11.0,-2992.0,311.0,11841.0,-4325.0,1268.0,3815.0,-3911.0,3352.0,2884.0,0.162826,-0.116855,0.979634,640.0,-1686.0,22222.0,590.0,-3339.0,-246.0
2883.0,2813.0,2889.0,3135.0,3015.0,0.974121,-0.067139,-0.113159,-0.183716,81.0,-199.0,4.0,-1159.0,-468.0,10578.0,-3167.0,262.0,2669.0,-3296.0,1787.0,1776.0,0.24513,-0.089224,0.965351,2140.0,-2516.0,16164.0,1867.0,-4543.0,103.0
2879.0,2835.0,2898.0,3151.0,3015.0,0.968201,-0.051453,-0.174927,-0.171204,130.0,-274.0,31.0,-55.0,-357.0,8520.0,-2974.0,-31.0,872.0,-2908.0,1042.0,-244.0,0.356346,-0.039737,0.933477,3248.0,864.0,10282.0,2991.0,-6273.0,723.0
2877.0,2802.0,2895.0,3139.0,3025.0,0.962769,-0.041687,-0.212769,-0.161377,140.0,-305.0,44.0,832.0,144.0,7541.0,-2634.0,239.0,119.0,-2226.0,1015.0,-1009.0,0.423148,-0.011598,0.905958,7644.0,3724.0,9524.0,3219.0,-6972.0,1024.0
2881.0,2831.0,2897.0,3143.0,3055.0,0.945801,-0.024475,-0.29303,-0.137756,117.0,-316.0,66.0,2997.0,1519.0,5601.0,-1599.0,1236.0,-1174.0,-281.0,1432.0,-1825.0,0.561039,0.034436,0.82705,11786.0,6940.0,4758.0,2702.0,-7238.0,1524.0
2886.0,2827.0,2895.0,3153.0,3003.0,0.921265,-0.018616,-0.371826,-0.112305,67.0,-315.0,80.0,4815.0,2028.0,3346.0,-831.0,1624.0,-2574.0,1531.0,1439.0,-2353.0,0.689282,0.049216,0.72274,14930.0,3886.0,194.0,1537.0,-7211.0,1852.0
2885.0,2843.0,2894.0,3157.0,3031.0,0.906799,-0.020081,-0.409119,-0.09967,51.0,-305.0,84.0,5515.0,1718.0,2212.0,-596.0,1348.0,-3231.0,2265.0,1036.0,-2530.0,0.74598,0.045136,0.664438,14856.0,1116.0,-2530.0,1187.0,-6981.0,1944.0
2885.0,2823.0,2898.0,3138.0,3029.0,0.874817,-0.026062,-0.47821,-0.072754,54.0,-283.0,89.0,6468.0,152.0,27.0,-417.0,-44.0,-4406.0,3441.0,-508.0,-2736.0,0.840485,0.023984,0.541233,15164.0,-5012.0,-6676.0,1257.0,-6467.0,2058.0
2875.0,2839.0,2883.0,3123.0,3031.0,0.840393,-0.028931,-0.539551,-0.041504,80.0,-246.0,90.0,8020.0,-1070.0,-1551.0,571.0,-1038.0,-4959.0,4616.0,-1517.0,-1539.0,0.909271,-0.003839,0.416031,22942.0,-4050.0,-5846.0,1835.0,-5625.0,2080.0
2885.0,2831.0,2895.0,3131.0,3054.0,0.82489,-0.028137,-0.563965,-0.025513,83.0,-199.0,89.0,9126.0,-1057.0,-2031.0,1492.0,-912.0,-4998.0,5116.0,-1300.0,-404.0,0.931854,-0.017644,0.362247,24626.0,-1370.0,-7022.0,1914.0,-4548.0,2047.0
2891.0,2819.0,2895.0,3153.0,3019.0,0.802002,-0.026917,-0.59668,0.001892,53.0,-105.0,81.0,9891.0,-293.0,-3082.0,2051.0,79.0,-5428.0,5788.0,-71.0,404.0,0.956975,-0.045432,0.28646,19374.0,2038.0,-9398.0,1233.0,-2386.0,1866.0
2882.0,2812.0,2899.0,3135.0,3049.0,0.788086,-0.032715,-0.61438,0.018066,-1.0,-48.0,62.0,9201.0,30.0,-3799.0,1277.0,634.0,-5788.0,5931.0,549.0,-217.0,0.967186,-0.073763,0.242873,15970.0,-478.0,-9618.0,-11.0,-1087.0,1433.0
2889.0,2832.0,2881.0,3123.0,3007.0,0.783813,-0.038025,-0.619446,0.022156,-17.0,-22.0,49.0,8886.0,-338.0,-4121.0,944.0,375.0,-6002.0,6061.0,257.0,-496.0,0.969375,-0.087057,0.229695,16136.0,-3394.0,-10144.0,-384.0,-501.0,1127.0
2881.0,2814.0,2906.0,3151.0,3013.0,0.781494,-0.048462,-0.621521,0.025818,-19.0,37.0,20.0,8740.0,-1572.0,-4541.0,802.0,-688.0,-6365.0,6366.0,-881.0,-566.0,0.968928,-0.107838,0.222763,17572.0,-6632.0,-9868.0,-432.0,860.0,481.0
2894.0,2822.0,2903.0,3141.0,3023.0,0.783997,-0.051941,-0.618042,0.025757,-15.0,70.0,5.0,8878.0,-1992.0,-4578.0,961.0,-1064.0,-6467.0,6484.0,-1277.0,-442.0,0.96641,-0.113281,0.23064,18890.0,-6150.0,-9166.0,-336.0,1614.0,126.0
