,Acc_x,Acc_y,Acc_z,Label
0,2,6,8,Painting
1,8,31,25,Painting
2,-25,11,-5,Painting
3,9,-55,-32,Painting
4,6,-41,-4,Painting
5,-4,35,-15,Painting
6,-11,30,-9,Painting
7,1,21,-13,Painting
8,-23,-26,25,Painting
9,40,-41,-13,Painting
10,36,-39,-11,Painting
11,-38,22,20,Painting
12,-17,34,-4,Painting
13,2,22,-16,Painting
14,-22,11,12,Painting
15,16,-43,7,Painting
16,40,-25,-19,Painting
17,-12,-19,10,Painting
18,-19,34,-5,Painting
19,-10,24,-9,Painting
20,-1,20,-7,Painting
21,-6,-38,16,Painting
22,38,-27,-10,Painting
23,24,-32,4,Painting
24,-38,38,0,Painting
25,-11,32,-12,Painting
26,-4,29,-12,Painting
27,-19,-31,33,Painting
28,44,-35,-14,Painting
29,27,-27,-7,Painting
30,-48,42,8,Painting
31,-15,22,-13,Painting
32,-4,25,-17,Painting
33,-21,-6,16,Painting
34,40,-41,-3,Painting
35,35,-26,-7,Painting
36,-38,21,10,Painting
37,-17,32,-6,Painting
38,1,20,-14,Painting
39,-30,13,9,Painting
40,33,-41,-6,Painting
41,42,-24,-14,Painting
42,-30,-4,24,Painting
43,-12,36,-3,Painting
44,-8,27,-15,Painting
45,-16,6,9,Painting
46,48,-58,11,Painting
47,40,-32,-10,Painting
48,-62,26,27,Painting
49,-19,32,-9,Painting
50,-1,23,-9,Painting
51,-22,-10,20,Painting
52,45,-41,-5,Painting
53,29,-28,-5,Painting
54,-1,0,0,Painting
55,-11,28,-11,Painting
56,0,23,-15,Painting
57,-25,-10,25,Painting
58,50,-44,-11,Painting
59,29,-24,-5,Painting
60,-56,51,-16,Painting
61,-10,28,-20,Painting
62,0,24,-6,Painting
63,-16,-28,33,Painting
64,53,-37,-10,Painting
65,28,-25,-2,Painting
66,-48,47,-14,Painting
67,-13,25,-19,Painting
68,-3,18,-13,Painting
69,-14,-4,21,Painting
70,28,-32,-2,Painting
71,30,-28,-1,Painting
72,-29,28,-6,Painting
73,-13,27,-11,Painting
74,-6,25,-10,Painting
75,-2,-43,22,Painting
76,55,-28,-19,Painting
77,4,-27,16,Painting
78,-29,48,-15,Painting
79,-13,34,-18,Painting
80,-25,22,4,Painting
81,24,-51,7,Painting
82,54,-22,-20,Painting
83,-32,-13,18,Painting
84,-10,37,-24,Painting
85,-10,30,-5,Painting
86,-30,-3,0,Painting
87,55,-42,-2,Painting
88,37,-33,-2,Painting
89,-60,47,-3,Painting
90,-17,32,-10,Painting
91,-4,19,-5,Painting
92,-12,-14,9,Painting
93,43,-34,-7,Painting
94,35,-20,-3,Painting
95,-28,-1,11,Painting
96,-26,46,-12,Painting
97,-4,29,-13,Painting
98,-17,-31,16,Painting
99,49,-29,-15,Painting
100,23,-30,6,Painting
101,-45,29,-2,Painting
102,-24,40,-10,Painting
103,-7,16,-9,Painting
104,-8,-21,12,Painting
105,40,-29,-9,Painting
106,38,-35,4,Painting
107,-44,24,6,Painting
108,-22,37,-6,Painting
109,-5,22,-11,Painting
110,-13,-21,25,Painting
111,46,-35,-6,Painting
112,36,-33,4,Painting
113,-53,35,-24,Painting
114,-23,32,-11,Painting
115,-4,19,-4,Painting
116,-15,-9,4,Painting
117,42,-27,-1,Painting
118,26,-32,13,Painting
119,-22,42,-21,Painting
120,-20,32,-11,Painting
121,-12,17,-4,Painting
122,0,-26,12,Painting
123,52,-30,-5,Painting
124,13,-25,16,Painting
125,-19,49,-18,Painting
126,-11,26,-22,Painting
127,-15,19,3,Painting
128,11,-32,6,Painting
129,58,-30,-6,Painting
130,-8,-24,26,Painting
131,-14,39,-19,Painting
132,-6,27,-17,Painting
133,-25,13,12,Painting
134,28,-43,7,Painting
135,45,-22,-14,Painting
136,-21,-13,12,Painting
137,-6,35,-18,Painting
138,-21,27,0,Painting
139,-19,6,-8,Painting
140,46,-33,-4,Painting
141,37,-14,-12,Painting
142,-42,-8,17,Painting
143,-21,44,-13,Painting
144,-9,24,-12,Painting
145,-3,-31,19,Painting
146,48,-28,-7,Painting
147,35,-26,0,Painting
148,-56,52,-15,Painting
149,-17,31,-1,Painting
150,-11,25,-12,Painting
151,14,-35,6,Painting
152,48,-28,-3,Painting
153,-14,-12,14,Painting
154,-5,31,-20,Painting
155,-17,21,-2,Painting
156,-16,-1,7,Painting
157,36,-38,8,Painting
158,48,-20,-3,Painting
159,-38,-2,13,Painting
160,-29,35,-4,Painting
161,-15,26,-8,Painting
162,-8,-26,16,Painting
163,62,-34,-3,Painting
164,18,-33,11,Painting
165,-20,46,-33,Painting
166,-21,35,-10,Painting
167,-18,19,-6,Painting
168,20,-44,7,Painting
169,51,-23,-8,Painting
170,-34,-14,13,Painting
171,-14,33,-2,Painting
172,-20,26,-5,Painting
173,-15,4,-8,Painting
174,73,-51,26,Painting
175,24,-33,10,Painting
176,-29,33,-22,Painting
177,-19,38,-7,Painting
178,-20,25,-10,Painting
179,18,-42,5,Painting
180,58,-26,-6,Painting
181,-4,-30,11,Painting
182,-31,46,4,Painting
183,-15,33,-11,Painting
184,-21,-1,-1,Painting
185,39,-40,5,Painting
186,48,-27,-4,Painting
187,-62,18,-10,Painting
188,-31,36,-3,Painting
189,-10,25,-9,Painting
190,9,-42,21,Painting
191,61,-25,-5,Painting
192,-3,-28,9,Painting
193,-3,48,-20,Painting
194,-17,28,-11,Painting
195,-26,-6,14,Painting
196,44,-40,1,Painting
197,44,-26,-3,Painting
198,-49,5,1,Painting
199,-31,39,-5,Painting
200,-16,26,-6,Painting
201,5,-35,10,Painting
202,53,-25,-2,Painting
203,15,-30,6,Painting
204,-17,61,-14,Painting
205,-19,33,-16,Painting
206,-27,6,2,Painting
207,38,-37,4,Painting
208,49,-19,-9,Painting
209,-39,-12,18,Painting
210,-23,38,-18,Painting
211,-15,25,-9,Painting
212,5,-29,14,Painting
213,48,-34,3,Painting
214,-18,-20,10,Painting
215,-7,32,-6,Painting
216,-8,28,-9,Painting
217,-21,-12,9,Painting
218,50,-33,-3,Painting
219,24,-29,8,Painting
220,-51,40,-15,Painting
221,-30,38,-17,Painting
222,-19,16,-7,Painting
223,15,-34,8,Painting
224,49,-27,-16,Painting
225,0,-33,31,Painting
226,-9,51,-19,Painting
227,-18,35,-6,Painting
228,-14,-16,11,Painting
229,52,-38,-1,Painting
230,25,-35,4,Painting
231,-25,57,-11,Painting
232,-25,37,-4,Painting
233,-10,21,-8,Painting
234,17,-39,9,Painting
235,49,-30,-18,Painting
236,-47,1,24,Painting
237,-24,36,8,Painting
238,-12,33,-12,Painting
239,-14,-20,6,Painting
240,48,-35,-6,Painting
241,25,-29,5,Painting
242,-54,37,28,Painting
243,-15,40,-11,Painting
244,-26,13,-5,Painting
245,30,-42,0,Painting
246,51,-24,-10,Painting
247,-61,0,12,Painting
248,-29,43,-6,Painting
249,-11,22,-12,Painting
250,-8,-25,8,Painting
251,60,-39,-2,Painting
252,-18,-18,4,Painting
253,-19,45,-25,Painting
254,-24,29,-5,Painting
255,-13,-30,17,Painting
256,66,-33,-5,Painting
257,18,-31,9,Painting
258,-14,56,-20,Painting
259,-20,33,-5,Painting
260,-21,-3,9,Painting
261,39,-33,-2,Painting
262,46,-29,0,Painting
263,-41,11,13,Painting
264,-26,46,-13,Painting
265,-12,25,-8,Painting
266,6,-34,8,Painting
267,52,-19,-19,Painting
268,9,-30,0,Painting
269,-26,69,-19,Painting
270,-19,34,-9,Painting
271,-21,-8,-1,Painting
272,57,-41,0,Painting
273,27,-26,-1,Painting
274,-47,51,-10,Painting
275,-21,33,-4,Painting
276,-19,14,0,Painting
277,26,-40,4,Painting
278,51,-27,-15,Painting
279,-49,-3,14,Painting
280,-26,39,14,Painting
281,-10,26,-17,Painting
282,0,-32,9,Painting
283,59,-34,-11,Painting
284,-8,-26,19,Painting
285,-8,50,-15,Painting
286,-9,29,-6,Painting
287,-18,-15,10,Painting
288,58,-42,0,Painting
289,27,-32,-5,Painting
290,-57,67,14,Painting
291,-18,40,-8,Painting
292,-22,13,-7,Painting
293,39,-43,-2,Painting
294,40,-35,-1,Painting
295,-62,27,13,Painting
296,-22,43,4,Painting
297,-17,15,-10,Painting
298,31,-43,1,Painting
299,41,-34,-6,Painting
300,-70,43,4,Painting
301,-15,34,-19,Painting
302,-21,17,5,Painting
303,17,-40,9,Painting
304,55,-25,-21,Painting
305,-21,-27,11,Painting
306,-8,56,3,Painting
307,-13,28,-9,Painting
308,-6,-26,8,Painting
309,61,-40,-6,Painting
310,-4,-23,0,Painting
311,-30,53,-6,Painting
312,-17,38,-15,Painting
313,-22,-7,-1,Painting
314,60,-46,2,Painting
315,19,-34,5,Painting
316,-29,61,3,Painting
317,-21,32,-8,Painting
318,-22,4,3,Painting
319,47,-43,-4,Painting
320,37,-34,-7,Painting
321,-54,42,14,Painting
322,-22,45,-8,Painting
323,-8,17,-11,Painting
324,26,-45,-5,Painting
325,37,-43,-3,Painting
326,-43,51,25,Painting
327,-28,47,-11,Painting
328,-15,11,-6,Painting
329,37,-47,5,Painting
330,40,-36,-6,Painting
