,Flex_1,Flex_2,Flex_3,Flex_4,Flex_5,Yaw,Pitch,Roll,Gesture
0,-2.0,-4.0,-18.0,0.0,8.0,89.0,6.722235,6.360457,Come Here
1,-2.0,0.0,-16.0,2.0,12.0,89.0,6.700003,6.466939,Come Here
2,-8.0,-8.0,-18.0,0.0,12.0,89.0,6.635451,6.367587,Come Here
3,2.0,8.0,-8.0,8.0,12.0,89.0,0.968758,5.642951,Come Here
4,10.0,8.0,-8.0,8.0,12.0,89.0,2.179462,6.292349,Come Here
5,8.0,8.0,-8.0,12.0,12.0,89.0,2.322833,6.284311,Come Here
6,2.0,4.0,-10.0,8.0,12.0,89.0,2.061945,6.157755,Come Here
7,2.0,12.0,-4.0,12.0,12.0,89.0,2.182807,6.154456,Come Here
8,2.0,8.0,-8.0,12.0,12.0,89.0,2.207649,6.2571639999999995,Come Here
9,10.0,0.0,-12.0,6.0,8.0,1.0,-16.25535,1.134572,Go Away
10,8.0,0.0,-16.0,8.0,10.0,1.0,-16.569464,1.153373,Go Away
11,14.0,-8.0,-22.0,0.0,4.0,0.0,-15.356535000000001,2.962141,Go Away
12,14.0,-8.0,-18.0,2.0,4.0,0.0,-15.285746,2.916627,Go Away
13,18.0,-10.0,-20.0,-4.0,0.0,0.0,-13.282063,2.63246,Go Away
14,18.0,-8.0,-18.0,0.0,0.0,0.0,-13.365089999999999,2.117424,Go Away
15,18.0,-4.0,-18.0,0.0,0.0,0.0,-13.966631,1.6846729999999999,Go Away
16,18.0,-8.0,-20.0,0.0,0.0,0.0,-14.621329000000001,0.83845,Go Away
17,18.0,-8.0,-18.0,0.0,-2.0,0.0,-16.012707000000002,0.792678,Go Away
18,18.0,-8.0,-16.0,0.0,-2.0,0.0,-15.971472,0.5277930000000001,Go Away
19,50.0,64.0,64.0,96.0,76.0,1.0,-0.534141,2.186302,Fist
20,50.0,64.0,64.0,96.0,76.0,1.0,-1.315699,1.9058099999999998,Fist
21,50.0,64.0,60.0,96.0,74.0,1.0,-0.961725,1.73927,Fist
22,48.0,64.0,64.0,96.0,76.0,1.0,-0.948369,1.7478669999999998,Fist
23,50.0,64.0,64.0,96.0,76.0,1.0,-1.169949,1.802472,Fist
24,50.0,64.0,62.0,94.0,74.0,1.0,-1.282522,1.91598,Fist
25,46.0,64.0,64.0,96.0,74.0,1.0,-1.303626,1.7810080000000001,Fist
26,50.0,64.0,60.0,88.0,74.0,1.0,-1.359182,1.664981,Fist
27,48.0,64.0,62.0,96.0,74.0,1.0,-1.287847,1.625542,Fist
28,50.0,64.0,62.0,96.0,76.0,1.0,-1.167885,1.6529610000000001,Fist
29,-38.0,-28.0,-50.0,48.0,28.0,2.0,6.462306,3.6359550000000005,Finger Crossed
30,-30.0,-28.0,-48.0,48.0,60.0,2.0,6.123094,3.553118,Finger Crossed
31,-30.0,-26.0,-46.0,48.0,28.0,2.0,6.178239,3.6572400000000003,Finger Crossed
32,-30.0,-24.0,-46.0,48.0,28.0,2.0,6.246218,3.400275,Finger Crossed
33,-30.0,-24.0,-48.0,48.0,28.0,2.0,5.830918,3.182012,Finger Crossed
34,-30.0,-24.0,-46.0,48.0,28.0,2.0,5.525351000000001,3.134044,Finger Crossed
35,-30.0,-24.0,-46.0,48.0,28.0,2.0,5.1510169999999995,3.066847,Finger Crossed
36,-30.0,-26.0,-48.0,46.0,28.0,2.0,5.20718,2.978534,Finger Crossed
37,-24.0,-20.0,-44.0,48.0,28.0,2.0,4.718363,2.9382479999999997,Finger Crossed
38,-30.0,-20.0,-46.0,48.0,60.0,2.0,4.518661,2.8764819999999998,Finger Crossed
39,-46.0,24.0,24.0,64.0,28.0,3.0,-20.714312,66.81517,Cash
40,-46.0,30.0,32.0,62.0,28.0,3.0,-20.277651000000002,67.20174399999999,Cash
41,-38.0,28.0,28.0,64.0,28.0,3.0,-20.12191,67.313751,Cash
42,-38.0,28.0,36.0,68.0,28.0,3.0,-20.147982,67.019531,Cash
43,-46.0,28.0,38.0,72.0,62.0,3.0,-20.625622,66.57325,Cash
44,-38.0,32.0,32.0,72.0,60.0,3.0,-20.705029,66.592674,Cash
45,-38.0,24.0,32.0,72.0,60.0,3.0,-20.721609,66.508522,Cash
46,-38.0,28.0,32.0,72.0,60.0,3.0,-20.705915,66.476357,Cash
47,-38.0,32.0,38.0,72.0,60.0,3.0,-20.603003,66.60659,Cash
48,-38.0,28.0,38.0,72.0,64.0,3.0,-20.557791,66.610008,Cash
49,-2.0,-64.0,60.0,96.0,74.0,89.0,32.668243,24.262976000000002,One
50,-6.0,-64.0,60.0,96.0,76.0,89.0,33.038486,23.873785,One
51,2.0,-56.0,60.0,94.0,72.0,89.0,33.486538,23.84473,One
52,-2.0,-58.0,60.0,96.0,72.0,89.0,33.860825,24.019652999999998,One
53,-6.0,-56.0,56.0,96.0,68.0,90.0,33.681561,24.392854999999997,One
54,-6.0,-56.0,56.0,92.0,68.0,90.0,33.931923,24.375887,One
55,-2.0,-56.0,56.0,92.0,68.0,90.0,34.281013,24.388115,One
56,-2.0,-56.0,56.0,92.0,68.0,90.0,34.370613,24.430075,One
57,-2.0,-52.0,60.0,96.0,68.0,90.0,34.541969,24.742025,One
58,0.0,-56.0,60.0,96.0,72.0,89.0,34.618896,24.772245,One
59,10.0,-72.0,-82.0,72.0,74.0,87.0,40.435883000000004,25.213039000000002,Two
60,14.0,-68.0,-80.0,72.0,74.0,87.0,40.956238,25.151722,Two
61,16.0,-64.0,-72.0,80.0,76.0,87.0,41.278709,24.85153,Two
62,18.0,-64.0,-64.0,78.0,76.0,87.0,41.337494,24.769688000000002,Two
63,18.0,-64.0,-64.0,80.0,76.0,87.0,41.786961,24.548956,Two
64,14.0,-64.0,-64.0,78.0,76.0,87.0,42.286156,24.378687,Two
65,18.0,-64.0,-56.0,76.0,76.0,87.0,42.474987,24.039629,Two
66,18.0,-64.0,-60.0,80.0,76.0,87.0,42.530956,23.870516000000002,Two
67,14.0,-64.0,-64.0,76.0,74.0,87.0,42.630371000000004,23.980518,Two
68,10.0,-64.0,-64.0,76.0,72.0,87.0,42.726203999999996,24.038099,Two
69,18.0,-58.0,-100.0,-64.0,76.0,85.0,40.814926,26.376520000000003,Three
70,18.0,-56.0,-88.0,-60.0,76.0,85.0,41.054726,26.072592,Three
71,18.0,-56.0,-84.0,-60.0,76.0,85.0,41.252739,26.095209,Three
72,18.0,-56.0,-80.0,-58.0,76.0,85.0,41.497223,25.938019,Three
73,18.0,-54.0,-88.0,-56.0,76.0,85.0,41.541247999999996,26.286177000000002,Three
74,18.0,-56.0,-84.0,-58.0,74.0,85.0,41.856606,26.261364,Three
75,18.0,-64.0,-88.0,-58.0,72.0,85.0,41.983349,26.282225,Three
76,18.0,-58.0,-88.0,-56.0,72.0,85.0,42.14978,26.451164000000002,Three
77,18.0,-56.0,-82.0,-56.0,68.0,85.0,42.303738,26.591524,Three
78,18.0,-56.0,-82.0,-56.0,76.0,85.0,42.330036,26.818953000000004,Three
79,18.0,-60.0,-80.0,-80.0,-68.0,84.0,49.462784,21.774376,Four
80,18.0,-64.0,-80.0,-80.0,-64.0,84.0,49.524673,21.619446,Four
81,18.0,-56.0,-74.0,-74.0,-56.0,84.0,49.49218,21.365617999999998,Four
82,18.0,-58.0,-74.0,-80.0,-56.0,84.0,49.541065,21.589853,Four
83,18.0,-56.0,-72.0,-72.0,-52.0,84.0,49.919193,21.491484,Four
84,18.0,-56.0,-74.0,-72.0,-52.0,84.0,50.150581,21.298075,Four
85,18.0,-56.0,-80.0,-74.0,-54.0,84.0,50.279552,21.455309,Four
86,18.0,-54.0,-74.0,-72.0,-52.0,83.0,50.592278,21.165815,Four
87,18.0,-56.0,-72.0,-68.0,-52.0,83.0,50.778576,20.955919,Four
88,18.0,-56.0,-72.0,-66.0,-46.0,83.0,50.72974,21.123722,Four
89,-94.0,-56.0,-76.0,-64.0,-40.0,85.0,53.865826,7.363173,Five
90,-80.0,-54.0,-72.0,-64.0,-36.0,85.0,54.95665699999999,6.908257000000001,Five
91,-76.0,-52.0,-68.0,-62.0,-36.0,85.0,55.194115000000004,6.879685,Five
92,-78.0,-52.0,-72.0,-64.0,-36.0,85.0,54.97539499999999,6.860372999999999,Five
93,-76.0,-52.0,-68.0,-62.0,-36.0,85.0,55.099548,7.419736,Five
94,-76.0,-52.0,-72.0,-62.0,-36.0,84.0,55.197865,7.209996,Five
95,-74.0,-56.0,-68.0,-62.0,-36.0,84.0,55.189468000000005,7.291374,Five
96,-74.0,-50.0,-64.0,-60.0,-36.0,84.0,55.27621800000001,7.1177600000000005,Five
97,-74.0,-56.0,-72.0,-64.0,-36.0,84.0,55.303974,7.175782000000001,Five
98,-76.0,-56.0,-68.0,-62.0,-36.0,84.0,55.315922,7.512641,Five
99,-30.0,44.0,-58.0,-64.0,-44.0,79.0,78.76814300000001,7.232702000000001,Excellent
100,-38.0,44.0,-64.0,-64.0,-40.0,79.0,79.006584,6.9631240000000005,Excellent
101,-30.0,46.0,-64.0,-62.0,-36.0,78.0,79.163849,6.739545,Excellent
102,-30.0,40.0,-64.0,-62.0,-40.0,78.0,79.449112,6.658444,Excellent
103,-30.0,44.0,-58.0,-62.0,-36.0,78.0,79.77154499999999,6.263969,Excellent
104,-30.0,44.0,-64.0,-62.0,-36.0,77.0,80.05366500000001,6.432592,Excellent
105,-30.0,44.0,-64.0,-62.0,-36.0,77.0,80.150101,6.4960629999999995,Excellent
106,-30.0,44.0,-64.0,-62.0,-36.0,77.0,80.188202,6.592718,Excellent
107,-32.0,40.0,-64.0,-60.0,-36.0,77.0,80.39389,6.429179,Excellent
108,-32.0,40.0,-64.0,-60.0,-36.0,94.0,13.364076,1.510712,Excellent
109,-74.0,-64.0,-72.0,-72.0,-36.0,4.0,64.948921,-4.949488,Stop
110,-70.0,-64.0,-72.0,-68.0,-36.0,4.0,65.324844,-4.470319,Stop
111,-66.0,-64.0,-72.0,-70.0,-36.0,3.0,64.94503,-4.31346,Stop
112,-62.0,-58.0,-68.0,-70.0,-28.0,3.0,64.573288,-3.4498900000000003,Stop
113,-64.0,-58.0,-72.0,-66.0,-30.0,4.0,64.120407,-2.846556,Stop
114,-66.0,-58.0,-72.0,-68.0,-36.0,3.0,64.17319499999999,-2.5775900000000003,Stop
115,-62.0,-58.0,-64.0,-64.0,-36.0,4.0,64.456108,-2.825534,Stop
116,-64.0,-56.0,-64.0,-64.0,-36.0,3.0,64.126068,-2.8752,Stop
117,-62.0,-56.0,-66.0,-64.0,-36.0,3.0,63.968723,-2.794716,Stop
118,-62.0,-52.0,-64.0,-64.0,-24.0,3.0,63.932415,-2.680143,Stop
119,-78.0,48.0,48.0,76.0,64.0,4.0,3.6947769999999998,80.339752,Thumbs Up
120,-80.0,48.0,48.0,72.0,62.0,4.0,2.9651419999999997,79.575859,Thumbs Up
121,-78.0,44.0,48.0,72.0,62.0,3.0,2.2679270000000002,79.39364599999999,Thumbs Up
122,-78.0,44.0,48.0,72.0,62.0,3.0,1.8356009999999998,79.703049,Thumbs Up
